PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,28,106,28,46,32,68,38,255,9,1066,24,94,5,282,53,332,58,3.7857142857142856,2.4285714285714284,1.3571428571428572,3.5294117647058822,18.79432624113475,17.46987951807229
2024,DEBIL,HOME,19,78,24,36,18,50,28,169,8,709,20,64,4,182,35,237,43,4.105263157894737,2.6315789473684212,1.4736842105263157,4.733727810650888,19.23076923076923,18.143459915611814
2024,FUERTE,AWAY,29,117,18,56,43,71,46,266,11,1098,27,82,8,259,47,360,74,4.0344827586206895,2.4482758620689653,1.5862068965517242,4.135338345864661,18.146718146718147,20.555555555555557
2024,FUERTE,HOME,39,139,43,38,58,88,51,340,12,1369,42,100,8,301,55,451,97,3.5641025641025643,2.2564102564102564,1.3076923076923077,3.5294117647058822,18.272425249169434,21.507760532150776
2024,MEDIO,AWAY,24,92,31,39,22,51,41,221,11,897,23,76,9,201,38,284,48,3.8333333333333335,2.125,1.7083333333333333,4.97737556561086,18.90547263681592,16.901408450704224
2024,MEDIO,HOME,23,103,53,27,23,74,29,201,13,848,29,66,2,194,50,275,62,4.478260869565218,3.217391304347826,1.2608695652173914,6.467661691542289,25.77319587628866,22.545454545454547
2025,DEBIL,AWAY,22,93,31,22,40,55,38,202,12,828,29,59,2,181,39,258,53,4.2272727272727275,2.5,1.7272727272727273,5.9405940594059405,21.54696132596685,20.54263565891473
2025,DEBIL,HOME,24,113,37,40,36,65,48,210,17,891,25,86,1,232,53,285,58,4.708333333333333,2.7083333333333335,2.0,8.095238095238095,22.844827586206897,20.350877192982455
2025,FUERTE,AWAY,31,116,40,40,36,74,42,280,13,1140,44,90,6,221,48,360,64,3.7419354838709675,2.3870967741935485,1.3548387096774193,4.642857142857143,21.71945701357466,17.77777777777778
2025,FUERTE,HOME,28,127,38,52,37,73,54,243,12,1021,49,76,11,212,46,350,73,4.535714285714286,2.607142857142857,1.9285714285714286,4.938271604938271,21.69811320754717,20.857142857142858
2025,MEDIO,AWAY,28,118,42,36,40,76,42,260,9,1102,47,97,2,266,47,370,74,4.214285714285714,2.7142857142857144,1.5,3.4615384615384617,17.669172932330827,20.0
2025,MEDIO,HOME,29,106,41,36,29,79,27,253,8,1030,32,76,6,241,49,332,58,3.6551724137931036,2.7241379310344827,0.9310344827586207,3.1620553359683794,20.33195020746888,17.46987951807229
2026_CUTOFF,DEBIL,AWAY,17,96,31,36,29,63,33,155,13,695,27,90,1,194,40,223,46,5.647058823529412,3.7058823529411766,1.9411764705882353,8.387096774193548,20.61855670103093,20.62780269058296
2026_CUTOFF,DEBIL,HOME,13,65,34,17,14,50,15,117,8,493,13,36,6,133,31,157,32,5.0,3.8461538461538463,1.1538461538461537,6.837606837606837,23.30827067669173,20.38216560509554
2026_CUTOFF,FUERTE,AWAY,19,96,19,32,45,42,54,171,13,725,27,61,4,166,36,238,51,5.052631578947368,2.210526315789474,2.8421052631578947,7.60233918128655,21.686746987951807,21.428571428571427
2026_CUTOFF,FUERTE,HOME,18,50,19,20,11,32,18,160,3,652,10,46,4,167,28,207,41,2.7777777777777777,1.7777777777777777,1.0,1.875,16.766467065868262,19.806763285024154
2026_CUTOFF,MEDIO,AWAY,15,57,11,25,21,31,26,136,3,558,16,31,2,128,28,178,41,3.8,2.066666666666667,1.7333333333333334,2.2058823529411766,21.875,23.03370786516854
2026_CUTOFF,MEDIO,HOME,21,78,37,18,23,53,25,183,8,764,19,66,5,176,33,251,60,3.7142857142857144,2.5238095238095237,1.1904761904761905,4.371584699453552,18.75,23.904382470119522
