PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-20,745444,False,AWAY,135,San Diego Padres,FUERTE,5,2,0,1,4,1,1,0,9,1,1,4,0
2024,2024-03-21,746175,True,HOME,135,San Diego Padres,FUERTE,11,15,6,2,3,9,2,4,9,1,5,6,0
2024,2024-03-28,746165,True,HOME,138,St. Louis Cardinals,MEDIO,7,1,5,1,1,0,1,0,8,1,5,2,0
2024,2024-03-29,746167,True,HOME,138,St. Louis Cardinals,MEDIO,6,3,2,3,1,0,0,3,8,1,5,1,0
2024,2024-03-30,746168,True,HOME,138,St. Louis Cardinals,MEDIO,5,6,0,2,3,0,0,6,10,0,0,5,0
2024,2024-03-31,746166,True,HOME,138,St. Louis Cardinals,MEDIO,5,4,0,2,3,1,3,0,8,1,2,3,0
2024,2024-04-01,746170,True,HOME,137,San Francisco Giants,MEDIO,8,3,3,3,2,0,1,2,8,1,3,5,0
2024,2024-04-02,746169,True,HOME,137,San Francisco Giants,MEDIO,5,4,2,3,0,2,2,0,8,1,5,0,0
2024,2024-04-03,746163,True,HOME,137,San Francisco Giants,MEDIO,5,4,3,1,1,1,2,1,8,0,4,1,0
2024,2024-04-05,746897,False,AWAY,112,Chicago Cubs,MEDIO,7,9,2,3,2,6,3,0,9,1,5,2,0
2024,2024-04-06,746896,False,AWAY,112,Chicago Cubs,MEDIO,4,1,0,3,1,0,0,1,9,1,2,2,0
2024,2024-04-07,746895,False,AWAY,112,Chicago Cubs,MEDIO,1,8,0,0,1,5,3,0,9,0,0,1,0
2024,2024-04-08,745925,False,AWAY,142,Minnesota Twins,MEDIO,4,2,1,1,2,2,0,0,9,0,1,3,0
2024,2024-04-09,745924,False,AWAY,142,Minnesota Twins,MEDIO,6,3,0,6,0,0,0,3,9,2,6,0,0
2024,2024-04-10,745923,False,AWAY,142,Minnesota Twins,MEDIO,2,3,1,1,0,2,1,0,9,0,2,0,0
2024,2024-04-12,746162,True,HOME,135,San Diego Padres,FUERTE,7,8,7,0,0,3,1,4,11,1,7,0,0
2024,2024-04-13,746161,True,HOME,135,San Diego Padres,FUERTE,5,2,0,4,1,0,1,1,8,1,1,4,0
2024,2024-04-14,746164,True,HOME,135,San Diego Padres,FUERTE,3,6,0,3,0,0,3,3,9,1,3,0,0
2024,2024-04-15,746158,True,HOME,120,Washington Nationals,DEBIL,4,6,2,1,1,3,3,0,9,0,2,2,0
2024,2024-04-16,746157,True,HOME,120,Washington Nationals,DEBIL,6,2,3,1,2,2,0,0,8,0,5,1,0
2024,2024-04-17,746159,True,HOME,120,Washington Nationals,DEBIL,0,2,0,0,0,2,0,0,9,0,0,0,0
2024,2024-04-19,746160,True,HOME,121,New York Mets,MEDIO,4,9,0,4,0,4,0,5,9,0,2,2,0
2024,2024-04-20,746156,True,HOME,121,New York Mets,MEDIO,4,6,1,3,0,1,4,1,9,0,2,2,0
2024,2024-04-21,746154,True,HOME,121,New York Mets,MEDIO,10,0,2,8,0,0,0,0,8,1,8,2,0
2024,2024-04-23,744863,False,AWAY,120,Washington Nationals,DEBIL,4,1,0,1,3,1,0,0,9,0,0,4,0
2024,2024-04-24,744864,False,AWAY,120,Washington Nationals,DEBIL,11,2,4,2,5,2,0,0,9,1,6,5,0
2024,2024-04-25,744867,False,AWAY,120,Washington Nationals,DEBIL,2,1,1,0,1,0,0,1,9,0,1,1,0
2024,2024-04-26,744949,False,AWAY,141,Toronto Blue Jays,DEBIL,12,2,7,4,1,0,1,1,9,1,7,5,0
2024,2024-04-27,744946,False,AWAY,141,Toronto Blue Jays,DEBIL,4,2,3,1,0,0,0,2,9,0,4,0,0
2024,2024-04-28,744947,False,AWAY,141,Toronto Blue Jays,DEBIL,1,3,0,1,0,3,0,0,9,0,1,0,0
2024,2024-04-29,747211,False,AWAY,109,Arizona Diamondbacks,DEBIL,8,4,2,5,1,1,3,0,9,1,2,6,0
2024,2024-04-30,747210,False,AWAY,109,Arizona Diamondbacks,DEBIL,3,4,0,2,1,0,1,3,10,0,0,3,0
2024,2024-05-01,747207,False,AWAY,109,Arizona Diamondbacks,DEBIL,8,0,6,0,2,0,0,0,9,1,6,2,0
2024,2024-05-03,746152,True,HOME,144,Atlanta Braves,FUERTE,4,3,1,1,2,1,0,2,11,0,2,2,0
2024,2024-05-04,746155,True,HOME,144,Atlanta Braves,FUERTE,11,2,3,4,4,0,1,1,8,2,7,4,0
2024,2024-05-05,746153,True,HOME,144,Atlanta Braves,FUERTE,5,1,2,2,1,0,0,1,8,0,4,1,0
2024,2024-05-06,746149,True,HOME,146,Miami Marlins,DEBIL,6,3,6,0,0,3,0,0,8,1,6,0,0
2024,2024-05-07,746147,True,HOME,146,Miami Marlins,DEBIL,8,2,8,0,0,1,1,0,8,2,4,4,0
2024,2024-05-08,746151,True,HOME,146,Miami Marlins,DEBIL,3,1,1,2,0,0,1,0,8,0,3,0,0
2024,2024-05-10,745421,False,AWAY,135,San Diego Padres,FUERTE,1,2,0,0,1,1,0,1,9,0,0,1,0
2024,2024-05-11,745422,False,AWAY,135,San Diego Padres,FUERTE,5,0,1,4,0,0,0,0,9,1,2,3,0
2024,2024-05-12,745419,False,AWAY,135,San Diego Padres,FUERTE,0,4,0,0,0,2,2,0,9,0,0,0,0
2024,2024-05-13,745343,False,AWAY,137,San Francisco Giants,MEDIO,6,4,1,2,3,3,1,0,10,0,2,4,0
2024,2024-05-14,745342,False,AWAY,137,San Francisco Giants,MEDIO,10,2,0,5,5,0,1,1,9,2,5,5,0
2024,2024-05-15,745341,False,AWAY,137,San Francisco Giants,MEDIO,1,4,0,0,1,2,1,1,9,0,0,1,0
2024,2024-05-16,746150,True,HOME,113,Cincinnati Reds,MEDIO,2,7,0,0,2,3,1,3,9,0,0,2,0
2024,2024-05-17,746148,True,HOME,113,Cincinnati Reds,MEDIO,7,3,3,0,4,0,3,0,8,0,3,4,0
2024,2024-05-18,746142,True,HOME,113,Cincinnati Reds,MEDIO,4,0,0,3,1,0,0,0,8,0,3,1,0
2024,2024-05-19,746144,True,HOME,113,Cincinnati Reds,MEDIO,3,2,0,2,1,0,1,1,10,0,2,1,0
2024,2024-05-20,746146,True,HOME,109,Arizona Diamondbacks,DEBIL,6,4,6,0,0,1,0,3,8,1,0,6,0
2024,2024-05-21,746145,True,HOME,109,Arizona Diamondbacks,DEBIL,3,7,0,3,0,2,2,3,9,0,3,0,0
2024,2024-05-22,746143,True,HOME,109,Arizona Diamondbacks,DEBIL,0,6,0,0,0,0,4,2,9,0,0,0,0
2024,2024-05-24,746713,False,AWAY,113,Cincinnati Reds,MEDIO,6,9,4,1,1,3,6,0,9,1,5,1,0
2024,2024-05-25,746710,False,AWAY,113,Cincinnati Reds,MEDIO,1,3,1,0,0,2,1,0,9,0,1,0,0
2024,2024-05-26,746711,False,AWAY,113,Cincinnati Reds,MEDIO,1,4,0,0,1,4,0,0,9,0,0,1,0
2024,2024-05-28,745816,False,AWAY,121,New York Mets,MEDIO,3,0,2,1,0,0,0,0,9,0,3,0,0
2024,2024-05-28,745818,False,AWAY,121,New York Mets,MEDIO,5,2,0,0,5,2,0,0,10,1,0,5,0
2024,2024-05-29,745817,False,AWAY,121,New York Mets,MEDIO,10,3,1,2,7,0,3,0,9,1,3,7,0
2024,2024-05-31,746140,True,HOME,115,Colorado Rockies,DEBIL,1,4,0,0,1,3,1,0,9,0,1,0,0
2024,2024-06-01,746138,True,HOME,115,Colorado Rockies,DEBIL,4,1,2,2,0,1,0,0,8,0,4,0,0
2024,2024-06-02,746141,True,HOME,115,Colorado Rockies,DEBIL,4,0,3,0,1,0,0,0,8,0,3,1,0
2024,2024-06-04,745497,False,AWAY,134,Pittsburgh Pirates,DEBIL,0,1,0,0,0,1,0,0,9,0,0,0,0
2024,2024-06-05,745494,False,AWAY,134,Pittsburgh Pirates,DEBIL,6,10,2,2,2,7,1,2,9,0,3,3,0
2024,2024-06-06,745495,False,AWAY,134,Pittsburgh Pirates,DEBIL,11,7,4,7,0,4,0,3,9,2,5,6,0
2024,2024-06-07,745737,False,AWAY,147,New York Yankees,FUERTE,2,1,0,0,2,0,0,1,11,0,0,2,0
2024,2024-06-08,745735,False,AWAY,147,New York Yankees,FUERTE,11,3,2,2,7,2,0,1,9,2,4,7,0
2024,2024-06-09,745736,False,AWAY,147,New York Yankees,FUERTE,4,6,0,3,1,2,3,1,9,0,3,1,0
2024,2024-06-11,746139,True,HOME,140,Texas Rangers,MEDIO,15,2,3,11,1,1,0,1,8,3,6,9,0
2024,2024-06-12,746137,True,HOME,140,Texas Rangers,MEDIO,2,3,1,0,1,0,3,0,9,0,1,1,0
2024,2024-06-13,746136,True,HOME,140,Texas Rangers,MEDIO,1,3,0,0,1,3,0,0,9,0,1,0,0
2024,2024-06-14,746134,True,HOME,118,Kansas City Royals,FUERTE,4,3,0,3,1,0,3,0,8,1,3,1,0
2024,2024-06-15,746135,True,HOME,118,Kansas City Royals,FUERTE,2,7,0,2,0,0,5,2,9,0,2,0,0
2024,2024-06-16,746130,True,HOME,118,Kansas City Royals,FUERTE,3,0,1,2,0,0,0,0,8,0,3,0,0
2024,2024-06-17,746543,False,AWAY,115,Colorado Rockies,DEBIL,9,5,3,0,6,1,0,4,9,0,3,6,0
2024,2024-06-18,746542,False,AWAY,115,Colorado Rockies,DEBIL,11,9,2,1,8,6,2,1,9,1,4,7,0
2024,2024-06-19,746538,False,AWAY,115,Colorado Rockies,DEBIL,6,7,4,2,0,3,1,3,9,1,6,0,0
2024,2024-06-20,746539,False,AWAY,115,Colorado Rockies,DEBIL,5,3,3,2,0,0,2,1,9,0,5,0,0
2024,2024-06-21,746131,True,HOME,108,Los Angeles Angels,DEBIL,2,3,0,2,0,0,2,1,10,0,0,2,0
2024,2024-06-22,746132,True,HOME,108,Los Angeles Angels,DEBIL,7,2,4,3,0,0,1,1,8,1,6,1,0
2024,2024-06-24,746780,False,AWAY,145,Chicago White Sox,DEBIL,3,0,0,0,3,0,0,0,9,0,0,3,0
2024,2024-06-25,746775,False,AWAY,145,Chicago White Sox,DEBIL,4,3,3,1,0,3,0,0,9,0,4,0,0
2024,2024-06-26,746777,False,AWAY,145,Chicago White Sox,DEBIL,4,0,4,0,0,0,0,0,9,1,4,0,0
2024,2024-06-28,745319,False,AWAY,137,San Francisco Giants,MEDIO,3,5,0,2,1,0,3,2,9,0,2,1,0
2024,2024-06-29,745317,False,AWAY,137,San Francisco Giants,MEDIO,14,7,2,4,8,5,1,1,11,2,0,14,0
2024,2024-06-30,745320,False,AWAY,137,San Francisco Giants,MEDIO,4,10,0,1,3,4,5,1,9,0,1,3,0
2024,2024-07-02,746133,True,HOME,109,Arizona Diamondbacks,DEBIL,6,5,2,0,4,0,2,3,9,0,1,5,0
2024,2024-07-03,746128,True,HOME,109,Arizona Diamondbacks,DEBIL,4,12,4,0,0,4,4,4,9,1,4,0,0
2024,2024-07-04,746126,True,HOME,109,Arizona Diamondbacks,DEBIL,3,9,0,3,0,4,1,4,9,1,3,0,0
2024,2024-07-05,746127,True,HOME,158,Milwaukee Brewers,FUERTE,8,5,2,2,4,0,5,0,8,1,4,4,0
2024,2024-07-06,746129,True,HOME,158,Milwaukee Brewers,FUERTE,5,3,3,0,2,1,1,1,8,1,3,2,0
2024,2024-07-07,746122,True,HOME,158,Milwaukee Brewers,FUERTE,2,9,0,2,0,0,4,5,9,0,0,2,0
2024,2024-07-09,745557,False,AWAY,143,Philadelphia Phillies,MEDIO,1,10,0,1,0,3,6,1,9,0,1,0,0
2024,2024-07-10,745556,False,AWAY,143,Philadelphia Phillies,MEDIO,3,4,0,2,1,2,2,0,9,0,2,1,0
2024,2024-07-11,745558,False,AWAY,143,Philadelphia Phillies,MEDIO,1,5,0,1,0,2,2,1,9,0,1,0,0
2024,2024-07-12,746450,False,AWAY,116,Detroit Tigers,FUERTE,4,3,0,2,2,3,0,0,9,0,2,2,0
2024,2024-07-13,746447,False,AWAY,116,Detroit Tigers,FUERTE,9,11,2,4,3,2,2,7,10,1,5,4,0
2024,2024-07-14,746449,False,AWAY,116,Detroit Tigers,FUERTE,3,4,3,0,0,0,2,2,9,1,3,0,0
2024,2024-07-19,746123,True,HOME,111,Boston Red Sox,DEBIL,4,1,0,0,4,0,1,0,8,1,0,4,0
