PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745444,607192,STARTER,15,2,2,0,4,0,3,20
2024,745444,518489,BULLPEN,3,0,0,0,0,0,1,3
2024,745444,543339,BULLPEN,3,1,0,0,0,0,1,4
2024,745444,523260,BULLPEN,3,1,0,0,0,0,0,4
2024,745444,623465,BULLPEN,3,0,0,0,0,0,1,3
2024,746175,808967,STARTER,3,4,5,0,1,1,2,9
2024,746175,675627,BULLPEN,6,6,4,0,0,1,2,13
2024,746175,669165,BULLPEN,6,3,1,0,1,0,0,9
2024,746175,681911,BULLPEN,3,1,1,0,1,0,2,5
2024,746175,642232,BULLPEN,5,1,0,0,2,0,1,9
2024,746175,656420,BULLPEN,3,3,3,1,1,0,1,7
2024,746175,681402,BULLPEN,1,0,0,0,0,0,0,1
2024,746165,607192,STARTER,18,2,1,1,1,0,5,22
2024,746165,642232,BULLPEN,9,1,0,0,0,0,1,10
2024,746167,676272,STARTER,18,2,0,0,1,0,11,21
2024,746167,675627,BULLPEN,3,3,3,0,1,1,1,8
2024,746167,518489,BULLPEN,3,1,0,0,0,0,1,4
2024,746167,623465,BULLPEN,3,0,0,0,0,0,1,3
2024,746168,808967,STARTER,15,2,0,0,0,0,5,17
2024,746168,543339,BULLPEN,3,0,0,0,0,0,1,3
2024,746168,523260,BULLPEN,2,3,4,0,1,1,0,8
2024,746168,681911,BULLPEN,1,0,0,0,1,0,0,2
2024,746168,669165,BULLPEN,8,2,0,0,0,0,3,10
2024,746168,623465,BULLPEN,1,0,0,0,0,0,1,1
2024,746166,694813,STARTER,15,7,3,0,1,0,6,23
2024,746166,681911,BULLPEN,3,0,0,0,2,1,2,7
2024,746166,622503,BULLPEN,6,1,0,0,0,0,3,7
2024,746166,543339,BULLPEN,3,0,0,0,0,0,2,3
2024,746170,572020,STARTER,15,4,0,0,5,0,5,23
2024,746170,518489,BULLPEN,3,1,1,1,0,0,1,4
2024,746170,523260,BULLPEN,3,3,1,0,0,0,1,5
2024,746170,659275,BULLPEN,6,0,0,0,1,0,1,8
2024,746169,518489,STARTER,3,0,0,0,1,0,1,4
2024,746169,642232,BULLPEN,13,7,4,1,1,0,1,20
2024,746169,681911,BULLPEN,2,0,0,0,0,0,1,2
2024,746169,675627,BULLPEN,5,1,0,0,1,0,2,7
2024,746169,623465,BULLPEN,4,1,0,0,0,0,2,5
2024,746163,607192,STARTER,18,4,3,1,2,0,7,24
2024,746163,523260,BULLPEN,3,0,0,0,0,0,2,3
2024,746163,543339,BULLPEN,3,1,1,1,0,0,1,4
2024,746163,659275,BULLPEN,3,0,0,0,0,0,2,3
2024,746897,676272,STARTER,5,4,5,1,2,0,3,11
2024,746897,659275,BULLPEN,4,2,1,1,1,0,0,7
2024,746897,681911,BULLPEN,6,0,0,0,2,0,0,6
2024,746897,675627,BULLPEN,9,3,3,0,1,0,1,13
2024,746896,808967,STARTER,15,3,0,0,2,0,8,21
2024,746896,518489,BULLPEN,3,1,0,0,0,0,3,4
2024,746896,523260,BULLPEN,3,0,0,0,0,0,2,3
2024,746896,543339,BULLPEN,3,1,0,0,0,0,1,3
2024,746896,623465,BULLPEN,3,2,1,0,1,0,1,6
2024,746895,694813,STARTER,9,6,5,0,3,0,5,18
2024,746895,681402,BULLPEN,1,1,1,0,0,1,0,4
2024,746895,642232,BULLPEN,14,2,1,1,0,1,3,17
2024,745925,572020,STARTER,18,3,2,1,1,0,4,22
2024,745925,518489,BULLPEN,3,0,0,0,0,0,1,3
2024,745925,543339,BULLPEN,3,0,0,0,0,0,1,3
2024,745925,623465,BULLPEN,3,0,0,0,0,0,1,3
2024,745924,607192,STARTER,21,3,0,0,0,0,14,24
2024,745924,681911,BULLPEN,3,1,1,1,0,0,1,4
2024,745924,641401,BULLPEN,3,2,2,2,0,0,0,5
2024,745923,676272,STARTER,12,5,2,1,3,0,4,18
2024,745923,681911,BULLPEN,2,1,1,1,0,0,1,3
2024,745923,675627,BULLPEN,7,0,0,0,1,0,4,8
2024,745923,523260,BULLPEN,3,0,0,0,1,0,1,3
2024,746162,808967,STARTER,15,4,3,2,1,0,6,19
2024,746162,543339,BULLPEN,3,2,1,1,0,0,1,5
2024,746162,518489,BULLPEN,3,2,3,1,1,0,0,6
2024,746162,523260,BULLPEN,3,0,0,0,0,0,2,3
2024,746162,623465,BULLPEN,3,1,0,0,0,0,0,4
2024,746162,642232,BULLPEN,3,0,0,0,1,0,0,4
2024,746162,681911,BULLPEN,3,1,0,0,0,0,1,4
2024,746161,694813,STARTER,20,5,2,0,1,0,4,25
2024,746161,675627,BULLPEN,1,0,0,0,0,0,1,1
2024,746161,543339,BULLPEN,3,0,0,0,0,0,3,3
2024,746161,623465,BULLPEN,3,2,0,0,0,0,0,5
2024,746164,572020,STARTER,15,3,3,1,8,0,1,23
2024,746164,518489,BULLPEN,3,1,0,0,1,0,0,4
2024,746164,656420,BULLPEN,1,2,3,0,2,0,0,5
2024,746164,681911,BULLPEN,5,1,0,0,2,0,2,7
2024,746164,598286,BULLPEN,3,1,0,0,1,0,0,4
2024,746158,607192,STARTER,15,8,6,2,2,0,5,25
2024,746158,598286,BULLPEN,6,0,0,0,0,0,1,6
2024,746158,676568,BULLPEN,6,0,0,0,0,0,1,6
2024,746157,669165,STARTER,6,3,0,0,0,0,0,8
2024,746157,642232,BULLPEN,15,2,2,1,0,0,3,17
2024,746157,523260,BULLPEN,3,0,0,0,1,1,1,5
2024,746157,543339,BULLPEN,3,1,0,0,0,0,1,4
2024,746159,689017,STARTER,15,4,2,1,1,0,4,19
2024,746159,681911,BULLPEN,3,0,0,0,2,0,2,5
2024,746159,675627,BULLPEN,9,0,0,0,1,1,5,10
2024,746160,808967,STARTER,18,7,3,1,1,0,9,27
2024,746160,543339,BULLPEN,3,1,1,1,0,0,2,5
2024,746160,523260,BULLPEN,3,3,2,0,1,0,1,6
2024,746160,518489,BULLPEN,3,3,1,0,0,0,1,6
2024,746156,694813,STARTER,10,4,2,0,5,0,1,18
2024,746156,675627,BULLPEN,2,1,0,0,0,1,1,4
2024,746156,642232,BULLPEN,4,0,2,0,1,1,0,6
2024,746156,518489,BULLPEN,2,1,1,1,0,0,0,3
2024,746156,523260,BULLPEN,1,1,0,0,1,0,0,3
2024,746156,681911,BULLPEN,2,0,0,0,0,0,0,2
2024,746156,623465,BULLPEN,3,1,0,0,0,0,2,5
2024,746156,598286,BULLPEN,3,0,0,0,0,0,0,3
2024,746154,607192,STARTER,24,7,0,0,0,0,10,29
2024,746154,598286,BULLPEN,3,0,0,0,0,0,0,3
2024,744863,572020,STARTER,14,5,1,0,3,0,1,21
2024,744863,675627,BULLPEN,3,0,0,0,1,0,1,4
2024,744863,681911,BULLPEN,4,1,0,0,0,0,1,4
2024,744863,543339,BULLPEN,3,0,0,0,1,0,0,4
2024,744863,623465,BULLPEN,3,1,0,0,3,0,2,6
