PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745444,506433,STARTER,4
2024,745444,593974,BULLPEN,8
2024,745444,666745,BULLPEN,8
2024,745444,666745,BULLPEN,8
2024,745444,670970,BULLPEN,8
2024,746175,605397,STARTER,1
2024,746175,605397,STARTER,2
2024,746175,605397,STARTER,3
2024,746175,605397,STARTER,3
2024,746175,676680,BULLPEN,3
2024,746175,605397,STARTER,3
2024,746175,650633,BULLPEN,5
2024,746175,650633,BULLPEN,5
2024,746175,650633,BULLPEN,7
2024,746175,663568,BULLPEN,8
2024,746175,663568,BULLPEN,8
2024,746165,571945,STARTER,1
2024,746165,571945,STARTER,1
2024,746165,571945,STARTER,3
2024,746165,571945,STARTER,3
2024,746165,571945,STARTER,3
2024,746165,669467,BULLPEN,6
2024,746165,676617,BULLPEN,7
2024,746167,668868,STARTER,1
2024,746167,668868,STARTER,2
2024,746167,668868,STARTER,4
2024,746167,668868,STARTER,4
2024,746167,668868,STARTER,4
2024,746167,606149,BULLPEN,7
2024,746168,669461,BULLPEN,5
2024,746168,669461,BULLPEN,5
2024,746168,668941,BULLPEN,7
2024,746168,664854,BULLPEN,9
2024,746168,664854,BULLPEN,9
2024,746166,571927,STARTER,6
2024,746166,571927,STARTER,6
2024,746166,669467,BULLPEN,8
2024,746166,667463,BULLPEN,8
2024,746166,669467,BULLPEN,8
2024,746170,676775,STARTER,1
2024,746170,676775,STARTER,3
2024,746170,676775,STARTER,3
2024,746170,643511,BULLPEN,6
2024,746170,669062,BULLPEN,6
2024,746170,669062,BULLPEN,6
2024,746170,687014,BULLPEN,7
2024,746170,687014,BULLPEN,7
2024,746169,657277,STARTER,1
2024,746169,657277,STARTER,3
2024,746169,657277,STARTER,4
2024,746169,657277,STARTER,4
2024,746169,657277,STARTER,4
2024,746163,690986,STARTER,2
2024,746163,690986,STARTER,3
2024,746163,690986,STARTER,3
2024,746163,690986,STARTER,4
2024,746163,573124,BULLPEN,7
2024,746897,543294,STARTER,1
2024,746897,543294,STARTER,1
2024,746897,543294,STARTER,5
2024,746897,543294,STARTER,5
2024,746897,543294,STARTER,5
2024,746897,592767,BULLPEN,7
2024,746897,592767,BULLPEN,7
2024,746896,696136,STARTER,5
2024,746896,621016,BULLPEN,5
