PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,34,232,91,54,87,119,113,308,28,1422,50,149,4,447,105,461,119,6.823529411764706,3.5,3.323529411764706,9.090909090909092,23.48993288590604,25.81344902386117
2024,DEBIL,HOME,26,121,60,32,29,77,44,225,12,954,40,91,2,241,48,304,71,4.653846153846154,2.9615384615384617,1.6923076923076923,5.333333333333333,19.91701244813278,23.355263157894736
2024,FUERTE,AWAY,23,103,29,34,40,58,45,211,11,892,26,94,7,233,46,314,68,4.478260869565218,2.5217391304347827,1.9565217391304348,5.213270142180095,19.742489270386265,21.656050955414013
2024,FUERTE,HOME,25,130,35,52,43,80,50,215,18,944,47,89,9,230,48,318,71,5.2,3.2,2.0,8.372093023255815,20.869565217391305,22.32704402515723
2024,MEDIO,AWAY,24,104,18,44,42,51,53,220,12,937,27,70,5,247,57,290,58,4.333333333333333,2.125,2.2083333333333335,5.454545454545454,23.076923076923077,20.0
2024,MEDIO,HOME,30,152,53,63,36,97,55,255,13,1118,43,109,4,305,71,350,70,5.066666666666666,3.2333333333333334,1.8333333333333333,5.098039215686274,23.278688524590162,20.0
2025,DEBIL,AWAY,29,153,53,43,57,76,77,265,16,1162,42,95,7,326,69,378,89,5.275862068965517,2.6206896551724137,2.6551724137931036,6.037735849056604,21.165644171779142,23.544973544973544
2025,DEBIL,HOME,33,206,81,56,69,110,96,282,30,1268,59,130,6,334,94,416,105,6.242424242424242,3.3333333333333335,2.909090909090909,10.638297872340425,28.143712574850298,25.240384615384617
2025,FUERTE,AWAY,31,128,40,40,48,64,64,282,12,1174,42,118,5,247,52,396,82,4.129032258064516,2.064516129032258,2.064516129032258,4.25531914893617,21.05263157894737,20.707070707070706
2025,FUERTE,HOME,22,91,39,32,20,60,31,190,13,799,30,66,5,165,31,255,47,4.136363636363637,2.727272727272727,1.4090909090909092,6.842105263157895,18.78787878787879,18.431372549019606
2025,MEDIO,AWAY,21,97,28,43,26,58,39,196,8,828,18,72,1,225,53,263,59,4.619047619047619,2.761904761904762,1.8571428571428572,4.081632653061225,23.555555555555557,22.433460076045627
2025,MEDIO,HOME,26,150,47,64,39,82,68,220,19,964,53,99,5,233,52,320,69,5.769230769230769,3.1538461538461537,2.6153846153846154,8.636363636363637,22.317596566523605,21.5625
2026_CUTOFF,DEBIL,AWAY,25,180,61,63,56,93,87,225,25,1061,41,114,5,329,76,332,80,7.2,3.72,3.48,11.11111111111111,23.10030395136778,24.096385542168676
2026_CUTOFF,DEBIL,HOME,13,68,29,30,9,49,19,112,8,482,20,38,5,130,25,131,21,5.230769230769231,3.769230769230769,1.4615384615384615,7.142857142857143,19.23076923076923,16.03053435114504
2026_CUTOFF,FUERTE,AWAY,6,28,2,10,16,12,16,54,5,237,4,36,1,64,14,71,10,4.666666666666667,2.0,2.6666666666666665,9.25925925925926,21.875,14.084507042253522
2026_CUTOFF,FUERTE,HOME,12,32,7,11,14,14,18,103,2,419,9,38,2,83,20,133,23,2.6666666666666665,1.1666666666666667,1.5,1.941747572815534,24.096385542168676,17.293233082706767
2026_CUTOFF,MEDIO,AWAY,22,105,34,37,34,53,52,198,9,858,25,87,6,222,46,257,55,4.7727272727272725,2.409090909090909,2.3636363636363638,4.545454545454546,20.72072072072072,21.40077821011673
2026_CUTOFF,MEDIO,HOME,25,122,46,40,36,67,55,211,13,909,35,95,2,208,52,284,61,4.88,2.68,2.2,6.161137440758294,25.0,21.47887323943662
