PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-29,745848,False,AWAY,121,New York Mets,MEDIO,3,1,0,2,1,1,0,0,9,0,2,1,0
2024,2024-03-30,745850,False,AWAY,121,New York Mets,MEDIO,7,6,5,1,1,2,0,4,9,1,6,1,0
2024,2024-03-31,745845,False,AWAY,121,New York Mets,MEDIO,4,1,2,2,0,1,0,0,9,0,2,2,0
2024,2024-04-02,746009,True,HOME,142,Minnesota Twins,MEDIO,3,2,3,0,0,0,1,1,8,0,3,0,0
2024,2024-04-03,746008,True,HOME,142,Minnesota Twins,MEDIO,3,7,1,2,0,0,1,6,9,0,2,1,0
2024,2024-04-05,746007,True,HOME,136,Seattle Mariners,FUERTE,6,5,2,2,2,0,3,2,9,0,4,2,0
2024,2024-04-06,746006,True,HOME,136,Seattle Mariners,FUERTE,3,5,0,0,3,3,0,2,9,1,0,3,0
2024,2024-04-07,746003,True,HOME,136,Seattle Mariners,FUERTE,12,4,6,4,2,2,0,2,8,3,8,4,0
2024,2024-04-08,746735,False,AWAY,113,Cincinnati Reds,MEDIO,8,10,0,6,2,2,7,1,9,2,6,2,0
2024,2024-04-09,746732,False,AWAY,113,Cincinnati Reds,MEDIO,9,5,3,3,3,0,1,4,9,2,5,4,0
2024,2024-04-10,746728,False,AWAY,113,Cincinnati Reds,MEDIO,7,2,5,2,0,0,2,0,9,1,7,0,0
2024,2024-04-12,747055,False,AWAY,110,Baltimore Orioles,MEDIO,11,1,4,6,1,0,1,0,9,3,4,7,0
2024,2024-04-13,747054,False,AWAY,110,Baltimore Orioles,MEDIO,11,5,4,4,3,5,0,0,9,3,8,3,0
2024,2024-04-14,747056,False,AWAY,110,Baltimore Orioles,MEDIO,4,6,2,1,1,3,0,3,9,0,3,1,0
2024,2024-04-15,746002,True,HOME,135,San Diego Padres,FUERTE,3,7,3,0,0,0,7,0,9,0,3,0,0
2024,2024-04-16,746004,True,HOME,135,San Diego Padres,FUERTE,3,6,1,0,2,4,0,2,9,0,1,2,0
2024,2024-04-17,746005,True,HOME,135,San Diego Padres,FUERTE,1,0,0,0,1,0,0,0,8,0,1,0,0
2024,2024-04-19,745189,False,AWAY,138,St. Louis Cardinals,MEDIO,2,1,1,0,1,0,0,1,10,0,1,1,0
2024,2024-04-20,745190,False,AWAY,138,St. Louis Cardinals,MEDIO,12,5,2,7,3,4,0,1,9,2,5,7,0
2024,2024-04-21,745192,False,AWAY,138,St. Louis Cardinals,MEDIO,2,0,0,0,2,0,0,0,9,0,2,0,0
2024,2024-04-22,745519,False,AWAY,134,Pittsburgh Pirates,DEBIL,2,4,0,1,1,1,3,0,9,0,1,1,0
2024,2024-04-23,745516,False,AWAY,134,Pittsburgh Pirates,DEBIL,1,2,0,0,1,1,1,0,9,0,1,0,0
2024,2024-04-24,745513,False,AWAY,134,Pittsburgh Pirates,DEBIL,3,2,3,0,0,2,0,0,9,1,2,1,0
2024,2024-04-25,745512,False,AWAY,134,Pittsburgh Pirates,DEBIL,7,5,3,1,3,3,2,0,9,0,4,3,0
2024,2024-04-26,746000,True,HOME,147,New York Yankees,FUERTE,7,6,4,1,2,2,3,1,11,0,5,2,0
2024,2024-04-27,745998,True,HOME,147,New York Yankees,FUERTE,3,15,1,0,2,6,5,4,9,0,1,2,0
2024,2024-04-28,746001,True,HOME,147,New York Yankees,FUERTE,5,15,0,5,0,1,10,4,9,1,4,1,0
2024,2024-04-29,745999,True,HOME,139,Tampa Bay Rays,FUERTE,0,1,0,0,0,1,0,0,9,0,0,0,0
2024,2024-04-30,745997,True,HOME,139,Tampa Bay Rays,FUERTE,8,2,3,3,2,1,1,0,8,1,3,5,0
2024,2024-05-01,745996,True,HOME,139,Tampa Bay Rays,FUERTE,7,1,2,1,4,0,0,1,8,1,3,4,0
2024,2024-05-03,746890,False,AWAY,112,Chicago Cubs,MEDIO,3,1,0,0,3,0,1,0,9,1,0,3,0
2024,2024-05-04,746884,False,AWAY,112,Chicago Cubs,MEDIO,5,6,0,0,5,4,1,1,9,1,0,5,0
2024,2024-05-05,746883,False,AWAY,112,Chicago Cubs,MEDIO,0,5,0,0,0,0,4,1,9,0,0,0,0
2024,2024-05-06,746313,False,AWAY,118,Kansas City Royals,FUERTE,2,3,0,2,0,0,0,3,9,0,2,0,0
2024,2024-05-07,746315,False,AWAY,118,Kansas City Royals,FUERTE,6,5,2,0,4,0,4,1,9,1,3,3,0
2024,2024-05-08,746312,False,AWAY,118,Kansas City Royals,FUERTE,4,6,1,0,3,2,1,3,9,0,1,3,0
2024,2024-05-09,745995,True,HOME,138,St. Louis Cardinals,MEDIO,7,1,4,2,1,1,0,0,8,1,6,1,0
2024,2024-05-10,745993,True,HOME,138,St. Louis Cardinals,MEDIO,11,2,0,7,4,0,0,2,8,2,5,6,0
2024,2024-05-11,745994,True,HOME,138,St. Louis Cardinals,MEDIO,5,3,1,1,3,0,3,0,8,1,2,3,0
2024,2024-05-12,745990,True,HOME,138,St. Louis Cardinals,MEDIO,3,4,3,0,0,1,2,1,9,1,3,0,0
2024,2024-05-13,745991,True,HOME,134,Pittsburgh Pirates,DEBIL,6,8,0,0,6,3,0,5,9,1,0,6,0
2024,2024-05-14,745989,True,HOME,134,Pittsburgh Pirates,DEBIL,4,3,4,0,0,0,2,1,8,1,4,0,0
2024,2024-05-15,745992,True,HOME,134,Pittsburgh Pirates,DEBIL,10,2,5,5,0,1,0,1,8,2,9,1,0
2024,2024-05-17,746388,False,AWAY,117,Houston Astros,FUERTE,4,5,1,3,0,2,3,0,9,1,4,0,0
2024,2024-05-18,746389,False,AWAY,117,Houston Astros,FUERTE,4,2,0,4,0,1,1,0,9,1,4,0,0
2024,2024-05-19,746392,False,AWAY,117,Houston Astros,FUERTE,4,9,1,0,3,4,2,3,9,1,4,0,0
2024,2024-05-20,746066,False,AWAY,146,Miami Marlins,DEBIL,2,3,0,2,0,0,0,3,10,0,2,0,0
2024,2024-05-21,746058,False,AWAY,146,Miami Marlins,DEBIL,7,5,2,2,3,1,4,0,9,1,4,3,0
2024,2024-05-22,746063,False,AWAY,146,Miami Marlins,DEBIL,0,1,0,0,0,1,0,0,9,0,0,0,0
2024,2024-05-24,746956,False,AWAY,111,Boston Red Sox,DEBIL,7,2,3,3,1,0,2,0,9,2,6,1,0
2024,2024-05-25,746958,False,AWAY,111,Boston Red Sox,DEBIL,6,3,5,0,1,0,0,3,9,1,5,1,0
2024,2024-05-26,746957,False,AWAY,111,Boston Red Sox,DEBIL,1,2,0,1,0,0,1,1,9,0,1,0,0
2024,2024-05-27,745986,True,HOME,112,Chicago Cubs,MEDIO,5,1,0,0,5,0,0,1,8,1,0,5,0
2024,2024-05-28,745987,True,HOME,112,Chicago Cubs,MEDIO,3,6,0,0,3,1,0,5,10,0,0,3,0
2024,2024-05-29,745988,True,HOME,112,Chicago Cubs,MEDIO,10,6,7,0,3,1,3,2,8,2,7,3,0
2024,2024-05-30,745985,True,HOME,112,Chicago Cubs,MEDIO,6,4,3,0,3,1,0,3,8,1,3,3,0
2024,2024-05-31,745983,True,HOME,145,Chicago White Sox,DEBIL,12,5,1,3,8,3,2,0,8,2,4,8,0
2024,2024-06-01,745980,True,HOME,145,Chicago White Sox,DEBIL,4,3,1,0,3,1,2,0,10,0,1,3,0
