DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-29,745848,3,2024
2024-03-30,745850,7,2024
2024-03-31,745845,4,2024
2024-04-02,746009,3,2024
2024-04-03,746008,3,2024
2024-04-05,746007,6,2024
2024-04-06,746006,3,2024
2024-04-07,746003,12,2024
2024-04-08,746735,8,2024
2024-04-09,746732,9,2024
2024-04-10,746728,7,2024
2024-04-12,747055,11,2024
2024-04-13,747054,11,2024
2024-04-14,747056,4,2024
2024-04-15,746002,3,2024
2024-04-16,746004,3,2024
2024-04-17,746005,1,2024
2024-04-19,745189,2,2024
2024-04-20,745190,12,2024
2024-04-21,745192,2,2024
2024-04-22,745519,2,2024
2024-04-23,745516,1,2024
2024-04-24,745513,3,2024
2024-04-25,745512,7,2024
2024-04-26,746000,7,2024
2024-04-27,745998,3,2024
2024-04-28,746001,5,2024
2024-04-29,745999,0,2024
2024-04-30,745997,8,2024
2024-05-01,745996,7,2024
2024-05-03,746890,3,2024
2024-05-04,746884,5,2024
2024-05-05,746883,0,2024
2024-05-06,746313,2,2024
2024-05-07,746315,6,2024
2024-05-08,746312,4,2024
2024-05-09,745995,7,2024
2024-05-10,745993,11,2024
2024-05-11,745994,5,2024
2024-05-12,745990,3,2024
2024-05-13,745991,6,2024
2024-05-14,745989,4,2024
2024-05-15,745992,10,2024
2024-05-17,746388,4,2024
2024-05-18,746389,4,2024
2024-05-19,746392,4,2024
2024-05-20,746066,2,2024
2024-05-21,746058,7,2024
2024-05-22,746063,0,2024
2024-05-24,746956,7,2024
2024-05-25,746958,6,2024
2024-05-26,746957,1,2024
2024-05-27,745986,5,2024
2024-05-28,745987,3,2024
2024-05-29,745988,10,2024
2024-05-30,745985,6,2024
2024-05-31,745983,12,2024
2024-06-01,745980,4,2024
2024-06-02,745984,6,2024
2024-06-03,745569,1,2024
2024-06-04,745568,1,2024
2024-06-05,745570,0,2024
2024-06-07,746466,10,2024
2024-06-08,746461,5,2024
2024-06-09,746463,2,2024
2024-06-10,745982,3,2024
2024-06-11,745981,0,2024
2024-06-12,745978,5,2024
2024-06-14,745979,5,2024
2024-06-15,745976,3,2024
2024-06-16,745977,5,2024
2024-06-17,746215,3,2024
2024-06-18,746217,6,2024
2024-06-19,746219,2,2024
2024-06-20,745401,6,2024
2024-06-21,745403,5,2024
2024-06-22,745402,4,2024
2024-06-23,745396,6,2024
2024-06-24,745974,6,2024
2024-06-25,745973,3,2024
2024-06-26,745975,6,2024
2024-06-28,745970,4,2024
2024-06-29,745972,3,2024
2024-06-30,745971,7,2024
2024-07-01,746535,7,2024
2024-07-02,746537,4,2024
2024-07-03,746534,3,2024
2024-07-04,746532,3,2024
2024-07-05,746127,5,2024
2024-07-06,746129,3,2024
2024-07-07,746122,9,2024
2024-07-09,745968,2,2024
2024-07-10,745969,9,2024
2024-07-11,745967,0,2024
2024-07-12,745965,2,2024
2024-07-13,745963,5,2024
2024-07-14,745962,9,2024
2024-07-20,745880,8,2024
2024-07-21,745882,8,2024
2024-07-22,746850,1,2024
2024-07-23,746848,1,2024
2024-07-24,746851,3,2024
2024-07-26,745964,2,2024
2024-07-27,745966,3,2024
2024-07-28,745961,6,2024
2024-07-29,745959,8,2024
2024-07-30,745958,1,2024
2024-07-31,745960,2,2024
2024-08-02,744825,8,2024
2024-08-03,744823,4,2024
2024-08-04,744826,3,2024
2024-08-06,747086,10,2024
2024-08-07,747085,8,2024
2024-08-08,747081,16,2024
2024-08-09,745957,8,2024
2024-08-10,745955,1,2024
2024-08-11,745956,3,2024
2024-08-12,745953,2,2024
2024-08-13,745954,2,2024
2024-08-14,745951,5,2024
2024-08-15,745950,6,2024
2024-08-16,745949,5,2024
2024-08-17,745952,2,2024
2024-08-18,745948,2,2024
2024-08-20,745136,3,2024
2024-08-21,745138,6,2024
2024-08-22,745137,0,2024
2024-08-23,745625,11,2024
2024-08-24,745617,9,2024
2024-08-25,745618,3,2024
2024-08-27,745946,4,2024
2024-08-28,745943,5,2024
2024-08-29,745945,6,2024
2024-08-30,746665,14,2024
2024-08-30,746730,5,2024
2024-08-31,746667,5,2024
2024-09-01,746669,3,2024
2024-09-02,745947,9,2024
2024-09-03,745944,4,2024
2024-09-04,745938,2,2024
2024-09-06,745941,2,2024
2024-09-07,745942,5,2024
2024-09-08,745940,1,2024
2024-09-10,745291,3,2024
2024-09-11,745285,2,2024
2024-09-12,745288,3,2024
2024-09-13,747153,2,2024
2024-09-14,747148,15,2024
2024-09-15,747151,10,2024
2024-09-16,745939,6,2024
2024-09-17,745935,1,2024
2024-09-18,745933,2,2024
2024-09-19,745937,1,2024
2024-09-20,745934,4,2024
2024-09-21,745936,0,2024
2024-09-22,745929,10,2024
2024-09-24,745441,7,2024
2024-09-25,745442,1,2024
2024-09-26,745443,5,2024
2024-09-27,745930,8,2024
2024-09-28,745931,6,2024
2024-09-29,745932,0,2024
2025-03-27,778557,2,2025
2025-03-29,778538,9,2025
2025-03-30,778523,3,2025
2025-03-31,778504,1,2025
2025-04-01,778488,5,2025
2025-04-02,778477,3,2025
2025-04-03,778468,1,2025
2025-04-04,778453,3,2025
2025-04-05,778439,7,2025
2025-04-06,778421,8,2025
2025-04-08,778394,7,2025
2025-04-09,778379,17,2025
2025-04-10,778371,2,2025
2025-04-11,778364,7,2025
2025-04-12,778350,4,2025
2025-04-13,778332,2,2025
2025-04-14,778323,1,2025
2025-04-15,778310,5,2025
2025-04-16,778295,5,2025
2025-04-18,778261,5,2025
2025-04-19,778253,1,2025
2025-04-20,778239,14,2025
2025-04-21,778226,2,2025
2025-04-22,778210,11,2025
2025-04-23,778198,2,2025
2025-04-24,778194,5,2025
2025-04-25,778184,2,2025
2025-04-26,778164,5,2025
2025-04-27,778150,7,2025
2025-04-29,778125,7,2025
2025-04-30,778111,6,2025
2025-05-01,778094,0,2025
2025-05-02,778080,0,2025
2025-05-03,778071,2,2025
2025-05-04,778054,4,2025
2025-05-05,778042,5,2025
2025-05-06,778031,4,2025
2025-05-07,778015,1,2025
2025-05-09,778002,3,2025
2025-05-10,777981,2,2025
2025-05-11,777964,4,2025
2025-05-12,777960,0,2025
2025-05-13,777944,0,2025
2025-05-14,777925,9,2025
2025-05-16,777898,0,2025
2025-05-17,777883,0,2025
2025-05-18,777865,5,2025
2025-05-19,777860,5,2025
2025-05-20,777844,5,2025
2025-05-21,777826,4,2025
2025-05-22,777814,8,2025
2025-05-23,777806,5,2025
2025-05-24,777794,1,2025
2025-05-25,777776,6,2025
2025-05-26,777764,3,2025
2025-05-27,777747,5,2025
2025-05-28,777736,6,2025
2025-05-30,777715,6,2025
2025-05-31,777702,17,2025
2025-06-01,777688,5,2025
2025-06-02,777671,3,2025
2025-06-03,777668,2,2025
2025-06-04,777647,9,2025
2025-06-06,777617,0,2025
2025-06-07,777597,4,2025
2025-06-08,777586,0,2025
2025-06-09,777575,1,2025
2025-06-10,777568,4,2025
2025-06-11,777554,2,2025
2025-06-12,777532,6,2025
2025-06-13,777525,3,2025
2025-06-14,777512,5,2025
2025-06-15,777492,3,2025
2025-06-17,777482,3,2025
2025-06-19,777450,8,2025
2025-06-20,777434,17,2025
2025-06-21,777412,9,2025
2025-06-22,777401,9,2025
2025-06-23,777391,4,2025
2025-06-24,777374,9,2025
2025-06-25,777361,4,2025
2025-06-27,777339,10,2025
2025-06-28,777321,5,2025
2025-06-29,777301,3,2025
2025-07-02,777276,3,2025
2025-07-02,777289,7,2025
2025-07-03,777257,2,2025
2025-07-04,777254,6,2025
2025-07-05,777238,2,2025
2025-07-06,777224,3,2025
2025-07-07,777201,9,2025
2025-07-08,777193,3,2025
2025-07-09,777175,3,2025
2025-07-11,777149,8,2025
2025-07-12,777135,6,2025
2025-07-13,777123,8,2025
2025-07-18,777103,2,2025
2025-07-19,777085,8,2025
2025-07-20,777070,6,2025
2025-07-21,777050,6,2025
2025-07-22,777035,0,2025
2025-07-23,777024,10,2025
2025-07-25,777008,1,2025
2025-07-26,776996,4,2025
2025-07-27,776978,3,2025
2025-07-28,776965,8,2025
2025-07-29,776956,9,2025
2025-07-30,776929,3,2025
2025-08-01,776917,16,2025
2025-08-02,776903,8,2025
2025-08-03,776894,14,2025
