PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745848,642547,STARTER,18,1,1,1,1,0,8,19
2024,745848,656730,BULLPEN,3,0,0,0,1,0,0,4
2024,745848,606303,BULLPEN,3,0,0,0,0,0,2,3
2024,745848,682842,BULLPEN,3,0,0,0,0,0,0,3
2024,745850,669084,STARTER,12,6,2,1,2,1,1,20
2024,745850,665625,BULLPEN,6,0,0,0,0,0,0,6
2024,745850,656730,BULLPEN,3,2,0,0,0,0,3,5
2024,745850,669060,BULLPEN,1,2,2,0,0,0,0,3
2024,745850,571948,BULLPEN,2,1,1,1,0,0,0,3
2024,745850,682842,BULLPEN,3,1,1,1,0,0,2,4
2024,745845,607067,STARTER,15,5,1,0,2,0,2,22
2024,745845,663542,BULLPEN,9,2,0,0,0,0,4,11
2024,745845,606303,BULLPEN,3,0,0,0,0,0,1,3
2024,746009,596001,STARTER,12,3,1,0,1,0,4,16
2024,746009,665625,BULLPEN,6,0,0,0,1,0,3,7
2024,746009,571948,BULLPEN,3,0,0,0,1,0,1,5
2024,746009,606303,BULLPEN,3,0,0,0,0,0,0,3
2024,746009,682842,BULLPEN,3,0,0,0,1,0,0,3
2024,746008,605452,STARTER,11,2,0,0,5,0,3,18
2024,746008,571948,BULLPEN,2,2,1,0,0,0,0,4
2024,746008,656266,BULLPEN,5,0,0,0,1,0,1,6
2024,746008,606303,BULLPEN,1,4,4,0,0,0,0,5
2024,746008,669060,BULLPEN,5,2,1,1,0,0,2,7
2024,746008,600986,BULLPEN,3,1,1,0,1,0,0,5
2024,746007,642547,STARTER,17,4,3,0,1,2,7,24
2024,746007,663542,BULLPEN,4,0,0,0,0,1,1,5
2024,746007,665625,BULLPEN,3,1,0,0,0,0,2,4
2024,746007,682842,BULLPEN,3,3,2,0,1,0,0,7
2024,746006,669084,STARTER,16,8,3,0,2,0,5,25
2024,746006,669060,BULLPEN,8,1,1,1,1,0,5,9
2024,746006,571948,BULLPEN,2,1,1,1,0,0,0,3
2024,746006,656266,BULLPEN,1,0,0,0,0,0,1,1
2024,746003,607067,STARTER,18,7,1,0,0,0,3,25
2024,746003,600986,BULLPEN,9,1,2,1,1,0,5,11
2024,746735,676879,STARTER,11,6,4,1,2,0,2,22
2024,746735,656266,BULLPEN,4,2,1,1,0,0,1,6
2024,746735,606303,BULLPEN,3,0,0,0,0,0,1,3
2024,746735,663542,BULLPEN,3,2,1,1,1,0,0,6
2024,746735,669060,BULLPEN,3,0,0,0,0,0,2,3
2024,746732,605452,STARTER,19,5,2,0,1,0,7,26
2024,746732,665625,BULLPEN,4,4,2,0,0,0,2,8
2024,746732,663542,BULLPEN,1,0,0,0,0,0,0,1
2024,746732,682842,BULLPEN,3,1,0,0,1,0,3,5
2024,746728,489119,STARTER,12,1,1,0,2,1,0,14
2024,746728,669060,BULLPEN,9,3,1,1,0,0,1,11
2024,746728,571948,BULLPEN,3,0,0,0,0,0,0,3
2024,746728,656266,BULLPEN,3,0,0,0,0,0,1,3
2024,747055,642547,STARTER,18,5,1,1,0,0,11,23
2024,747055,656266,BULLPEN,3,0,0,0,0,0,1,3
2024,747055,600986,BULLPEN,6,1,0,0,1,0,2,8
2024,747054,669084,STARTER,10,8,5,3,1,1,4,19
2024,747054,665625,BULLPEN,5,1,0,0,1,0,2,7
2024,747054,663542,BULLPEN,3,1,0,0,0,0,2,4
2024,747054,656266,BULLPEN,2,1,0,0,0,0,1,3
2024,747054,571948,BULLPEN,4,0,0,0,0,0,1,4
2024,747054,606303,BULLPEN,3,1,0,0,0,0,0,4
2024,747056,607067,STARTER,17,5,3,2,1,1,6,24
2024,747056,663542,BULLPEN,1,0,0,0,0,0,1,1
2024,747056,682842,BULLPEN,3,3,2,0,0,0,0,5
2024,747056,571948,BULLPEN,3,3,1,1,1,0,0,6
2024,746002,605452,STARTER,14,9,6,0,2,0,4,26
2024,746002,600986,BULLPEN,7,0,0,0,2,0,2,9
2024,746002,657649,BULLPEN,6,3,0,0,0,0,1,9
2024,746004,489119,STARTER,9,5,4,1,2,0,2,16
2024,746004,682842,BULLPEN,5,3,0,0,1,0,2,8
2024,746004,571948,BULLPEN,4,0,0,0,0,0,3,4
2024,746004,665625,BULLPEN,1,3,2,0,1,0,0,5
2024,746004,657649,BULLPEN,5,0,0,0,0,0,1,5
2024,746004,606303,BULLPEN,3,0,0,0,0,0,2,3
2024,746005,669060,STARTER,11,2,0,0,1,0,2,14
2024,746005,663542,BULLPEN,7,0,0,0,1,0,0,7
2024,746005,665625,BULLPEN,3,2,0,0,0,0,0,4
2024,746005,682842,BULLPEN,3,1,0,0,0,0,1,4
2024,746005,606303,BULLPEN,3,0,0,0,0,0,0,3
2024,745189,642547,STARTER,18,4,0,0,2,0,7,24
2024,745189,665625,BULLPEN,3,0,0,0,0,0,1,3
2024,745189,656730,BULLPEN,5,1,1,0,2,0,1,8
2024,745189,606303,BULLPEN,1,0,0,0,1,1,0,3
2024,745189,571948,BULLPEN,3,0,0,0,1,0,2,4
2024,745190,669084,STARTER,11,5,4,0,5,0,3,20
2024,745190,669060,BULLPEN,4,0,0,0,0,0,0,4
2024,745190,571948,BULLPEN,4,0,0,0,0,0,1,4
2024,745190,682842,BULLPEN,5,0,0,0,2,0,2,7
2024,745190,600986,BULLPEN,3,1,1,0,1,1,1,6
2024,745192,607067,STARTER,15,5,0,0,3,0,3,23
2024,745192,663542,BULLPEN,7,0,0,0,0,0,4,7
2024,745192,665625,BULLPEN,2,1,0,0,1,0,0,4
2024,745192,606303,BULLPEN,3,0,0,0,0,0,1,3
2024,745519,605452,STARTER,16,6,1,1,1,0,4,21
2024,745519,571948,BULLPEN,1,2,0,0,1,0,0,5
2024,745519,600986,BULLPEN,7,1,0,0,2,0,3,10
2024,745516,668964,STARTER,15,4,1,1,1,0,4,19
2024,745516,657649,BULLPEN,6,3,1,0,0,0,1,9
2024,745516,682842,BULLPEN,3,0,0,0,1,0,1,3
2024,745513,669060,STARTER,13,3,2,1,3,0,3,19
2024,745513,663542,BULLPEN,5,1,0,0,0,0,1,6
2024,745513,665625,BULLPEN,3,0,0,0,1,0,1,3
2024,745513,656730,BULLPEN,3,0,0,0,0,0,1,3
2024,745513,606303,BULLPEN,3,0,0,0,0,0,2,5
2024,745512,642547,STARTER,14,5,5,1,5,0,5,24
2024,745512,571948,BULLPEN,1,0,0,0,0,0,1,1
2024,745512,682842,BULLPEN,3,0,0,0,0,0,3,3
2024,745512,657649,BULLPEN,3,2,0,0,1,0,0,5
2024,745512,606303,BULLPEN,3,1,0,0,1,0,0,5
2024,745512,656730,BULLPEN,3,0,0,0,0,0,0,3
2024,746000,607067,STARTER,18,4,5,3,3,0,4,25
2024,746000,571948,BULLPEN,3,1,0,0,0,0,1,4
2024,746000,665625,BULLPEN,3,0,0,0,0,0,1,2
2024,746000,663542,BULLPEN,3,0,0,0,2,0,1,4
2024,746000,657649,BULLPEN,6,1,0,0,1,0,1,8
2024,745998,605452,STARTER,15,8,6,1,3,1,5,28
2024,745998,600986,BULLPEN,3,4,4,2,2,0,1,9
2024,745998,676083,BULLPEN,3,2,0,0,0,0,1,4
2024,745998,680911,BULLPEN,6,5,4,1,1,0,0,12
2024,746001,668964,STARTER,15,5,4,2,0,0,5,20
2024,746001,682842,BULLPEN,2,2,5,0,3,0,0,7
2024,746001,665625,BULLPEN,1,2,2,0,1,0,0,4
2024,746001,676083,BULLPEN,6,8,4,1,0,0,0,13
2024,746001,641343,BULLPEN,3,1,0,0,2,0,0,6
2024,745999,669060,STARTER,18,4,1,0,2,1,6,23
2024,745999,663542,BULLPEN,6,1,0,0,1,0,3,7
2024,745999,656730,BULLPEN,3,1,0,0,0,0,1,3
2024,745997,642547,STARTER,16,1,2,1,0,2,7,18
2024,745997,665625,BULLPEN,5,3,0,0,0,0,3,8
2024,745997,682842,BULLPEN,1,0,0,0,0,0,0,1
2024,745997,571948,BULLPEN,2,0,0,0,0,0,1,2
2024,745997,600986,BULLPEN,3,1,0,0,0,0,2,4
2024,745996,607067,STARTER,18,4,0,0,2,0,5,25
2024,745996,663542,BULLPEN,3,0,0,0,0,0,2,3
2024,745996,682842,BULLPEN,3,1,1,0,2,0,0,6
2024,745996,600986,BULLPEN,3,0,0,0,0,0,0,3
2024,746890,605452,STARTER,18,6,1,1,0,0,4,23
2024,746890,665625,BULLPEN,3,1,0,0,0,0,0,3
2024,746890,606303,BULLPEN,3,1,0,0,0,0,0,4
2024,746890,656730,BULLPEN,3,0,0,0,0,0,1,3
2024,746884,668964,STARTER,9,3,4,2,4,0,2,16
2024,746884,657649,BULLPEN,3,0,0,0,0,0,1,3
2024,746884,571948,BULLPEN,3,1,0,0,0,0,2,4
2024,746884,600986,BULLPEN,3,2,1,1,0,0,2,5
2024,746884,663542,BULLPEN,6,2,1,0,0,0,2,8
2024,746883,642547,STARTER,15,3,3,0,6,1,5,23
2024,746883,600986,BULLPEN,3,1,1,1,0,0,0,4
2024,746883,676083,BULLPEN,6,3,1,0,1,0,2,10
2024,746313,669060,STARTER,18,1,0,0,3,1,6,22
2024,746313,657649,BULLPEN,1,1,3,1,1,1,1,4
2024,746313,665625,BULLPEN,0,2,0,0,1,0,0,3
2024,746313,571948,BULLPEN,5,1,0,0,0,0,1,5
2024,746315,607067,STARTER,14,7,4,0,1,0,2,22
2024,746315,571948,BULLPEN,4,1,0,0,0,0,3,5
2024,746315,600986,BULLPEN,2,2,1,0,0,0,1,4
2024,746315,657649,BULLPEN,4,2,0,0,0,0,0,5
2024,746315,656730,BULLPEN,3,0,0,0,0,0,1,3
2024,746312,605452,STARTER,15,3,3,0,2,0,2,20
2024,746312,663542,BULLPEN,6,1,0,0,1,0,2,8
2024,746312,606303,BULLPEN,1,5,3,1,1,0,0,7
2024,746312,643361,BULLPEN,2,0,0,0,0,0,0,2
2024,745995,668964,STARTER,12,3,1,1,4,0,6,19
2024,745995,657649,BULLPEN,6,1,0,0,0,0,2,7
2024,745995,571948,BULLPEN,3,0,0,0,0,0,1,3
2024,745995,600986,BULLPEN,6,2,0,0,0,1,3,9
2024,745993,688107,STARTER,18,2,0,0,0,1,4,20
2024,745993,643361,BULLPEN,9,3,2,1,1,0,0,13
2024,745994,642547,STARTER,18,8,3,0,1,0,8,27
2024,745994,571948,BULLPEN,3,1,0,0,0,0,1,4
2024,745994,663542,BULLPEN,3,1,0,0,0,0,2,4
2024,745994,656730,BULLPEN,3,2,0,0,0,0,0,5
2024,745990,669060,STARTER,12,5,2,1,5,0,1,22
2024,745990,657649,BULLPEN,6,3,1,0,0,0,2,10
2024,745990,665625,BULLPEN,3,2,1,0,0,0,1,4
2024,745990,571948,BULLPEN,3,0,0,0,0,0,1,3
2024,745990,600986,BULLPEN,3,1,0,0,2,0,0,5
2024,745991,607067,STARTER,18,6,3,1,1,0,5,25
2024,745991,600986,BULLPEN,1,4,2,0,0,0,0,5
2024,745991,669952,BULLPEN,5,1,2,1,1,0,1,7
2024,745991,606303,BULLPEN,3,2,1,1,1,0,2,6
2024,745989,605452,STARTER,15,2,2,1,1,0,6,19
2024,745989,663542,BULLPEN,6,0,0,0,0,0,3,6
2024,745989,665625,BULLPEN,3,0,0,0,0,0,2,3
2024,745989,656730,BULLPEN,3,1,1,1,0,0,2,4
