PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745848,500779,STARTER,4
2024,745848,500779,STARTER,5
2024,745848,605347,BULLPEN,7
2024,745850,622663,STARTER,1
2024,745850,622663,STARTER,1
2024,745850,622663,STARTER,1
2024,745850,622663,STARTER,3
2024,745850,622663,STARTER,3
2024,745850,622663,STARTER,5
2024,745850,493603,BULLPEN,8
2024,745845,656731,STARTER,1
2024,745845,656731,STARTER,2
2024,745845,670990,BULLPEN,5
2024,745845,670990,BULLPEN,6
2024,746009,686973,STARTER,2
2024,746009,686973,STARTER,3
2024,746009,686973,STARTER,3
2024,746008,663978,STARTER,2
2024,746008,663978,STARTER,4
2024,746008,650960,BULLPEN,5
2024,746007,669302,STARTER,2
2024,746007,669302,STARTER,2
2024,746007,669302,STARTER,4
2024,746007,669302,STARTER,6
2024,746007,592773,BULLPEN,8
2024,746007,662253,BULLPEN,9
2024,746006,608723,BULLPEN,8
2024,746006,608723,BULLPEN,8
2024,746006,608723,BULLPEN,8
2024,746003,676106,STARTER,1
2024,746003,676106,STARTER,1
2024,746003,676106,STARTER,1
2024,746003,676106,STARTER,2
2024,746003,676106,STARTER,2
2024,746003,676106,STARTER,2
2024,746003,676106,STARTER,4
2024,746003,676106,STARTER,4
2024,746003,676092,BULLPEN,4
2024,746003,676092,BULLPEN,4
2024,746003,668942,BULLPEN,8
2024,746003,668942,BULLPEN,8
2024,746735,668933,STARTER,5
2024,746735,668933,STARTER,5
2024,746735,668933,STARTER,5
2024,746735,668933,STARTER,6
2024,746735,668933,STARTER,6
2024,746735,668933,STARTER,6
2024,746735,458677,BULLPEN,7
2024,746735,458677,BULLPEN,7
2024,746732,593423,STARTER,3
2024,746732,593423,STARTER,3
2024,746732,593423,STARTER,3
2024,746732,593423,STARTER,5
2024,746732,593423,STARTER,5
2024,746732,686730,BULLPEN,6
2024,746732,686730,BULLPEN,7
2024,746732,686730,BULLPEN,7
2024,746732,686730,BULLPEN,7
2024,746728,668881,STARTER,1
2024,746728,668881,STARTER,1
2024,746728,668881,STARTER,2
2024,746728,668881,STARTER,2
2024,746728,668881,STARTER,2
2024,746728,668881,STARTER,4
2024,746728,668881,STARTER,6
2024,747055,669330,STARTER,2
2024,747055,669330,STARTER,2
2024,747055,669330,STARTER,2
2024,747055,669330,STARTER,3
2024,747055,669169,BULLPEN,5
2024,747055,669169,BULLPEN,5
2024,747055,669169,BULLPEN,5
2024,747055,669169,BULLPEN,6
2024,747055,669169,BULLPEN,6
2024,747055,669169,BULLPEN,6
2024,747055,657097,BULLPEN,9
2024,747054,665152,STARTER,2
2024,747054,665152,STARTER,3
2024,747054,665152,STARTER,3
2024,747054,665152,STARTER,3
2024,747054,665152,STARTER,4
2024,747054,665152,STARTER,4
2024,747054,665152,STARTER,4
2024,747054,665152,STARTER,4
2024,747054,670990,BULLPEN,8
2024,747054,670990,BULLPEN,8
2024,747054,657508,BULLPEN,8
2024,747056,669203,STARTER,1
2024,747056,669203,STARTER,3
2024,747056,669203,STARTER,4
2024,747056,666974,BULLPEN,7
2024,746002,605397,STARTER,1
2024,746002,605397,STARTER,2
2024,746002,605397,STARTER,2
2024,746004,656302,STARTER,1
2024,746004,670970,BULLPEN,7
2024,746004,666745,BULLPEN,9
2024,746005,650633,STARTER,8
2024,745189,502043,STARTER,3
2024,745189,664854,BULLPEN,10
2024,745190,571945,STARTER,1
2024,745190,571945,STARTER,1
2024,745190,571945,STARTER,4
2024,745190,571945,STARTER,4
2024,745190,571945,STARTER,4
2024,745190,668868,BULLPEN,6
2024,745190,668868,BULLPEN,6
2024,745190,668868,BULLPEN,6
2024,745190,606149,BULLPEN,6
2024,745190,669467,BULLPEN,7
2024,745190,669467,BULLPEN,9
2024,745190,669467,BULLPEN,9
2024,745192,543243,STARTER,7
2024,745192,543243,STARTER,7
2024,745519,683003,STARTER,5
2024,745519,547973,BULLPEN,8
2024,745516,663559,STARTER,8
2024,745513,676596,STARTER,3
2024,745513,676596,STARTER,3
2024,745513,682847,BULLPEN,3
2024,745512,656605,STARTER,1
2024,745512,656605,STARTER,3
2024,745512,656605,STARTER,3
2024,745512,656605,STARTER,5
2024,745512,547973,BULLPEN,8
2024,745512,547973,BULLPEN,8
2024,745512,672710,BULLPEN,9
2024,746000,661563,STARTER,2
2024,746000,661563,STARTER,2
2024,746000,661563,STARTER,3
2024,746000,661563,STARTER,3
2024,746000,661563,STARTER,6
2024,746000,543859,BULLPEN,10
2024,746000,543859,BULLPEN,11
2024,745998,607074,STARTER,1
2024,745998,624431,BULLPEN,9
2024,745998,624431,BULLPEN,9
2024,746001,573186,STARTER,5
2024,746001,573186,STARTER,5
2024,746001,573186,STARTER,5
2024,746001,573186,STARTER,5
2024,746001,676760,BULLPEN,6
2024,745997,641302,STARTER,1
2024,745997,641302,STARTER,2
2024,745997,641302,STARTER,2
2024,745997,682052,BULLPEN,5
2024,745997,682052,BULLPEN,5
2024,745997,682052,BULLPEN,5
2024,745997,682052,BULLPEN,7
2024,745997,682052,BULLPEN,7
2024,745996,621107,STARTER,3
2024,745996,621107,STARTER,3
2024,745996,621107,STARTER,6
2024,745996,541640,BULLPEN,7
2024,745996,541640,BULLPEN,7
2024,745996,541640,BULLPEN,7
2024,745996,541640,BULLPEN,7
2024,746890,640470,BULLPEN,8
2024,746890,640470,BULLPEN,8
2024,746890,640470,BULLPEN,8
2024,746884,624522,BULLPEN,7
2024,746884,624522,BULLPEN,7
2024,746884,624522,BULLPEN,7
2024,746884,624522,BULLPEN,7
2024,746884,593576,BULLPEN,9
2024,746313,666142,STARTER,4
2024,746313,666142,STARTER,4
2024,746315,607625,STARTER,2
2024,746315,607625,STARTER,2
2024,746315,607625,STARTER,7
2024,746315,663704,BULLPEN,9
2024,746315,663704,BULLPEN,9
2024,746315,663704,BULLPEN,9
2024,746312,663903,STARTER,1
2024,746312,623433,BULLPEN,7
2024,746312,608648,BULLPEN,9
2024,746312,608648,BULLPEN,9
2024,745995,543243,STARTER,1
2024,745995,543243,STARTER,1
2024,745995,543243,STARTER,1
2024,745995,543243,STARTER,2
2024,745995,543243,STARTER,4
2024,745995,543243,STARTER,5
2024,745995,687798,BULLPEN,7
2024,745993,458681,STARTER,4
2024,745993,458681,STARTER,4
2024,745993,458681,STARTER,5
2024,745993,458681,STARTER,5
2024,745993,669461,BULLPEN,5
2024,745993,458681,STARTER,5
2024,745993,669461,BULLPEN,5
2024,745993,681517,BULLPEN,7
2024,745993,681517,BULLPEN,7
2024,745993,681517,BULLPEN,7
2024,745993,681517,BULLPEN,7
2024,745994,502043,STARTER,3
2024,745994,502043,STARTER,6
2024,745994,552640,BULLPEN,7
2024,745994,552640,BULLPEN,7
2024,745994,552640,BULLPEN,7
2024,745990,571945,STARTER,1
2024,745990,571945,STARTER,1
2024,745990,571945,STARTER,1
2024,745991,676596,BULLPEN,7
2024,745991,676596,BULLPEN,7
2024,745991,676596,BULLPEN,8
2024,745991,676596,BULLPEN,8
2024,745991,676596,BULLPEN,8
2024,745991,676596,BULLPEN,8
2024,745989,682990,STARTER,2
2024,745989,682990,STARTER,2
2024,745989,682990,STARTER,2
2024,745989,682990,STARTER,2
2024,745992,527048,STARTER,3
2024,745992,527048,STARTER,3
2024,745992,527048,STARTER,3
2024,745992,527048,STARTER,3
2024,745992,527048,STARTER,3
2024,745992,527048,STARTER,4
2024,745992,527048,STARTER,5
2024,745992,527048,STARTER,6
2024,745992,527048,STARTER,6
2024,745992,682847,BULLPEN,6
2024,746388,686613,STARTER,2
2024,746388,686613,STARTER,4
2024,746388,686613,STARTER,4
2024,746388,686613,STARTER,4
2024,746389,434378,STARTER,5
2024,746389,434378,STARTER,5
2024,746389,434378,STARTER,5
2024,746389,434378,STARTER,5
2024,746392,681293,STARTER,1
2024,746392,681293,STARTER,7
2024,746392,681293,STARTER,7
2024,746392,681293,STARTER,7
2024,746066,677960,STARTER,5
2024,746066,677960,STARTER,6
2024,746058,669432,STARTER,1
2024,746058,669432,STARTER,2
2024,746058,669432,STARTER,4
2024,746058,669432,STARTER,4
2024,746058,640462,BULLPEN,8
2024,746058,640462,BULLPEN,8
2024,746058,640462,BULLPEN,8
2024,746956,676710,STARTER,3
2024,746956,676710,STARTER,3
2024,746956,676710,STARTER,3
2024,746956,676710,STARTER,5
2024,746956,676710,STARTER,5
2024,746956,676710,STARTER,5
2024,746956,502624,BULLPEN,9
2024,746958,601713,STARTER,3
2024,746958,601713,STARTER,3
2024,746958,601713,STARTER,3
2024,746958,601713,STARTER,3
2024,746958,601713,STARTER,3
2024,746958,677161,BULLPEN,8
2024,746957,656557,STARTER,5
2024,745986,643410,BULLPEN,8
2024,745986,669713,BULLPEN,8
2024,745986,643410,BULLPEN,8
