PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,29,142,50,49,43,86,56,264,20,1149,28,118,5,347,72,377,77,4.896551724137931,2.9655172413793105,1.9310344827586208,7.575757575757576,20.7492795389049,20.424403183023873
2024,DEBIL,HOME,25,111,39,39,33,68,43,215,15,928,27,85,3,256,56,322,82,4.44,2.72,1.72,6.976744186046512,21.875,25.46583850931677
2024,FUERTE,AWAY,16,96,34,35,27,62,34,144,14,659,18,65,3,199,52,221,59,6.0,3.875,2.125,9.722222222222221,26.13065326633166,26.69683257918552
2024,FUERTE,HOME,18,78,31,22,25,46,32,156,10,659,20,67,1,188,36,215,33,4.333333333333333,2.5555555555555554,1.7777777777777777,6.410256410256411,19.148936170212767,15.348837209302326
2024,MEDIO,AWAY,36,172,42,60,70,86,86,333,22,1415,40,117,11,376,98,436,83,4.777777777777778,2.388888888888889,2.388888888888889,6.606606606606607,26.06382978723404,19.03669724770642
2024,MEDIO,HOME,38,178,64,71,43,118,60,325,26,1371,44,145,6,364,80,451,90,4.684210526315789,3.1052631578947367,1.5789473684210527,8.0,21.978021978021978,19.955654101995567
2025,DEBIL,AWAY,24,155,48,42,65,76,79,217,21,989,21,84,6,318,78,305,73,6.458333333333333,3.1666666666666665,3.2916666666666665,9.67741935483871,24.528301886792452,23.934426229508198
2025,DEBIL,HOME,32,168,60,54,54,101,67,276,21,1207,29,111,6,362,91,383,77,5.25,3.15625,2.09375,7.608695652173913,25.138121546961326,20.10443864229765
2025,FUERTE,AWAY,26,120,42,43,35,68,52,237,17,1028,25,95,2,267,67,333,86,4.615384615384615,2.6153846153846154,2.0,7.172995780590718,25.093632958801496,25.825825825825827
2025,FUERTE,HOME,27,127,44,53,30,71,56,234,15,1007,31,106,5,262,59,330,73,4.703703703703703,2.6296296296296298,2.074074074074074,6.410256410256411,22.519083969465647,22.12121212121212
2025,MEDIO,AWAY,31,149,42,69,38,90,59,282,20,1219,37,98,14,296,67,409,104,4.806451612903226,2.903225806451613,1.903225806451613,7.092198581560283,22.635135135135137,25.4278728606357
2025,MEDIO,HOME,22,87,27,38,22,55,32,188,8,787,23,70,9,199,38,257,47,3.9545454545454546,2.5,1.4545454545454546,4.25531914893617,19.09547738693467,18.28793774319066
2026_CUTOFF,DEBIL,AWAY,24,119,37,32,50,62,57,222,14,971,26,103,7,278,47,317,65,4.958333333333333,2.5833333333333335,2.375,6.306306306306307,16.906474820143885,20.50473186119874
2026_CUTOFF,DEBIL,HOME,14,69,18,24,27,38,31,121,9,532,15,65,1,141,29,185,35,4.928571428571429,2.7142857142857144,2.2142857142857144,7.43801652892562,20.56737588652482,18.91891891891892
2026_CUTOFF,FUERTE,AWAY,12,57,13,18,26,33,24,109,7,478,2,52,2,150,36,150,31,4.75,2.75,2.0,6.422018348623853,24.0,20.666666666666668
2026_CUTOFF,FUERTE,HOME,15,65,24,19,22,37,28,130,9,551,13,61,6,150,35,177,31,4.333333333333333,2.466666666666667,1.8666666666666667,6.923076923076923,23.333333333333332,17.51412429378531
2026_CUTOFF,MEDIO,AWAY,13,68,24,15,29,38,30,119,9,528,12,44,2,161,40,166,39,5.230769230769231,2.923076923076923,2.3076923076923075,7.563025210084033,24.84472049689441,23.49397590361446
2026_CUTOFF,MEDIO,HOME,24,136,42,62,32,68,68,201,21,917,26,100,3,294,73,288,64,5.666666666666667,2.8333333333333335,2.8333333333333335,10.447761194029852,24.829931972789115,22.22222222222222
