PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746335,False,AWAY,118,Kansas City Royals,FUERTE,4,1,2,0,2,1,0,0,9,0,2,2,0
2024,2024-03-30,746333,False,AWAY,118,Kansas City Royals,FUERTE,5,1,0,0,5,0,1,0,9,1,0,5,0
2024,2024-03-31,746332,False,AWAY,118,Kansas City Royals,FUERTE,0,11,0,0,0,10,1,0,9,0,0,0,0
2024,2024-04-02,746009,False,AWAY,158,Milwaukee Brewers,FUERTE,2,3,0,1,1,3,0,0,9,0,1,1,0
2024,2024-04-03,746008,False,AWAY,158,Milwaukee Brewers,FUERTE,7,3,0,1,6,1,2,0,9,1,0,7,0
2024,2024-04-04,745928,True,HOME,114,Cleveland Guardians,FUERTE,2,4,0,1,1,0,4,0,9,0,1,1,0
2024,2024-04-06,745926,True,HOME,114,Cleveland Guardians,FUERTE,1,3,1,0,0,3,0,0,9,0,1,0,0
2024,2024-04-08,745925,True,HOME,119,Los Angeles Dodgers,MEDIO,2,4,2,0,0,1,1,2,9,0,2,0,0
2024,2024-04-09,745924,True,HOME,119,Los Angeles Dodgers,MEDIO,3,6,0,0,3,0,6,0,9,0,0,3,0
2024,2024-04-10,745923,True,HOME,119,Los Angeles Dodgers,MEDIO,3,2,2,1,0,1,1,0,8,0,2,1,0
2024,2024-04-12,746491,False,AWAY,116,Detroit Tigers,FUERTE,2,8,0,0,2,1,6,1,9,0,0,2,0
2024,2024-04-13,746489,False,AWAY,116,Detroit Tigers,FUERTE,11,5,1,1,9,2,1,2,12,1,2,9,0
2024,2024-04-13,746490,False,AWAY,116,Detroit Tigers,FUERTE,4,1,2,2,0,1,0,0,9,0,4,0,0
2024,2024-04-14,746492,False,AWAY,116,Detroit Tigers,FUERTE,3,4,2,1,0,0,0,4,9,0,3,0,0
2024,2024-04-15,747053,False,AWAY,110,Baltimore Orioles,MEDIO,4,7,1,1,2,4,3,0,9,0,2,2,0
2024,2024-04-16,747051,False,AWAY,110,Baltimore Orioles,MEDIO,3,11,0,2,1,7,2,2,9,0,2,1,0
2024,2024-04-17,747049,False,AWAY,110,Baltimore Orioles,MEDIO,2,4,0,0,2,1,0,3,9,0,0,2,0
2024,2024-04-19,745922,True,HOME,116,Detroit Tigers,FUERTE,4,5,2,2,0,3,1,1,9,0,4,0,0
2024,2024-04-20,745921,True,HOME,116,Detroit Tigers,FUERTE,4,3,2,2,0,0,1,2,8,0,4,0,0
2024,2024-04-21,745920,True,HOME,116,Detroit Tigers,FUERTE,1,6,0,0,1,4,0,2,9,0,0,1,0
2024,2024-04-22,745916,True,HOME,145,Chicago White Sox,DEBIL,7,0,5,1,1,0,0,0,8,1,6,1,0
2024,2024-04-23,745917,True,HOME,145,Chicago White Sox,DEBIL,6,5,1,0,5,0,3,2,9,0,1,5,0
2024,2024-04-24,745919,True,HOME,145,Chicago White Sox,DEBIL,6,3,4,2,0,2,1,0,8,1,5,1,0
2024,2024-04-25,745918,True,HOME,145,Chicago White Sox,DEBIL,6,3,0,3,3,1,1,1,8,1,2,4,0
2024,2024-04-26,746243,False,AWAY,108,Los Angeles Angels,DEBIL,5,3,2,2,1,0,1,2,9,0,4,1,0
2024,2024-04-27,746245,False,AWAY,108,Los Angeles Angels,DEBIL,16,5,7,4,5,4,0,1,9,4,4,12,0
2024,2024-04-28,746237,False,AWAY,108,Los Angeles Angels,DEBIL,11,5,0,5,6,0,4,1,9,2,5,6,0
2024,2024-04-29,746804,False,AWAY,145,Chicago White Sox,DEBIL,3,2,2,0,1,2,0,0,9,0,2,1,0
2024,2024-04-30,746806,False,AWAY,145,Chicago White Sox,DEBIL,6,5,0,3,3,1,3,1,9,0,2,4,0
2024,2024-05-01,746800,False,AWAY,145,Chicago White Sox,DEBIL,10,5,1,3,6,3,1,1,9,1,2,8,0
2024,2024-05-03,745914,True,HOME,111,Boston Red Sox,DEBIL,5,2,1,0,4,0,0,2,8,1,4,1,0
2024,2024-05-04,745911,True,HOME,111,Boston Red Sox,DEBIL,3,1,1,2,0,1,0,0,8,0,1,2,0
2024,2024-05-05,745913,True,HOME,111,Boston Red Sox,DEBIL,2,9,1,0,1,0,3,6,9,0,1,1,0
2024,2024-05-06,745912,True,HOME,136,Seattle Mariners,FUERTE,3,1,0,1,2,0,0,1,8,0,3,0,0
2024,2024-05-07,745915,True,HOME,136,Seattle Mariners,FUERTE,6,10,4,0,2,2,0,8,9,1,4,2,0
2024,2024-05-08,745906,True,HOME,136,Seattle Mariners,FUERTE,6,3,3,1,2,0,1,2,8,0,4,2,0
2024,2024-05-09,745910,True,HOME,136,Seattle Mariners,FUERTE,11,1,6,3,2,1,0,0,8,1,8,3,0
2024,2024-05-10,744940,False,AWAY,141,Toronto Blue Jays,DEBIL,3,2,1,1,1,1,0,1,9,0,2,1,0
2024,2024-05-11,744943,False,AWAY,141,Toronto Blue Jays,DEBIL,8,10,7,1,0,3,5,2,9,2,7,1,0
2024,2024-05-12,744941,False,AWAY,141,Toronto Blue Jays,DEBIL,5,1,0,0,5,0,0,1,9,1,3,2,0
2024,2024-05-14,745909,True,HOME,147,New York Yankees,FUERTE,1,5,1,0,0,3,2,0,9,0,1,0,0
2024,2024-05-15,745908,True,HOME,147,New York Yankees,FUERTE,0,4,0,0,0,3,0,1,9,0,0,0,0
2024,2024-05-16,745907,True,HOME,147,New York Yankees,FUERTE,0,5,0,0,0,3,1,1,9,0,0,0,0
2024,2024-05-17,746641,False,AWAY,114,Cleveland Guardians,FUERTE,2,3,1,0,1,0,2,1,9,0,1,1,0
2024,2024-05-18,746642,False,AWAY,114,Cleveland Guardians,FUERTE,4,11,0,0,4,4,3,4,9,1,0,4,0
2024,2024-05-19,746636,False,AWAY,114,Cleveland Guardians,FUERTE,2,5,1,0,1,2,0,3,9,0,1,1,0
2024,2024-05-20,744857,False,AWAY,120,Washington Nationals,DEBIL,3,12,1,2,0,2,8,2,9,0,3,0,0
2024,2024-05-21,744860,False,AWAY,120,Washington Nationals,DEBIL,10,0,4,4,2,0,0,0,9,0,8,2,0
2024,2024-05-22,744856,False,AWAY,120,Washington Nationals,DEBIL,3,2,1,1,1,0,0,2,9,0,2,1,0
2024,2024-05-24,745905,True,HOME,140,Texas Rangers,MEDIO,3,2,2,1,0,2,0,0,8,0,3,0,0
2024,2024-05-25,745901,True,HOME,140,Texas Rangers,MEDIO,5,3,1,0,4,0,3,0,8,1,1,4,0
2024,2024-05-26,745902,True,HOME,140,Texas Rangers,MEDIO,2,6,0,2,0,2,4,0,9,0,1,1,0
2024,2024-05-27,745904,True,HOME,118,Kansas City Royals,FUERTE,6,5,2,3,1,0,1,4,8,1,5,1,0
2024,2024-05-28,745903,True,HOME,118,Kansas City Royals,FUERTE,4,2,2,1,1,0,2,0,8,0,3,1,0
2024,2024-05-29,745900,True,HOME,118,Kansas City Royals,FUERTE,1,6,1,0,0,4,2,0,9,0,1,0,0
2024,2024-05-30,745898,True,HOME,118,Kansas City Royals,FUERTE,7,6,0,7,0,3,1,2,8,1,3,4,0
