DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,746335,4,2024
2024-03-30,746333,5,2024
2024-03-31,746332,0,2024
2024-04-02,746009,2,2024
2024-04-03,746008,7,2024
2024-04-04,745928,2,2024
2024-04-06,745926,1,2024
2024-04-08,745925,2,2024
2024-04-09,745924,3,2024
2024-04-10,745923,3,2024
2024-04-12,746491,2,2024
2024-04-13,746489,11,2024
2024-04-13,746490,4,2024
2024-04-14,746492,3,2024
2024-04-15,747053,4,2024
2024-04-16,747051,3,2024
2024-04-17,747049,2,2024
2024-04-19,745922,4,2024
2024-04-20,745921,4,2024
2024-04-21,745920,1,2024
2024-04-22,745916,7,2024
2024-04-23,745917,6,2024
2024-04-24,745919,6,2024
2024-04-25,745918,6,2024
2024-04-26,746243,5,2024
2024-04-27,746245,16,2024
2024-04-28,746237,11,2024
2024-04-29,746804,3,2024
2024-04-30,746806,6,2024
2024-05-01,746800,10,2024
2024-05-03,745914,5,2024
2024-05-04,745911,3,2024
2024-05-05,745913,2,2024
2024-05-06,745912,3,2024
2024-05-07,745915,6,2024
2024-05-08,745906,6,2024
2024-05-09,745910,11,2024
2024-05-10,744940,3,2024
2024-05-11,744943,8,2024
2024-05-12,744941,5,2024
2024-05-14,745909,1,2024
2024-05-15,745908,0,2024
2024-05-16,745907,0,2024
2024-05-17,746641,2,2024
2024-05-18,746642,4,2024
2024-05-19,746636,2,2024
2024-05-20,744857,3,2024
2024-05-21,744860,10,2024
2024-05-22,744856,3,2024
2024-05-24,745905,3,2024
2024-05-25,745901,5,2024
2024-05-26,745902,2,2024
2024-05-27,745904,6,2024
2024-05-28,745903,4,2024
2024-05-29,745900,1,2024
2024-05-30,745898,7,2024
2024-05-31,746387,6,2024
2024-06-01,746384,2,2024
2024-06-02,746383,4,2024
2024-06-04,745739,1,2024
2024-06-05,745740,5,2024
2024-06-06,745738,5,2024
2024-06-07,745496,0,2024
2024-06-08,745492,0,2024
2024-06-09,745491,11,2024
2024-06-10,745897,5,2024
2024-06-11,745899,4,2024
2024-06-12,745896,17,2024
2024-06-13,745894,6,2024
2024-06-14,745892,6,2024
2024-06-16,745891,8,2024
2024-06-16,745895,6,2024
2024-06-18,745893,7,2024
2024-06-19,745887,2,2024
2024-06-20,745889,6,2024
2024-06-21,745649,5,2024
2024-06-22,745644,10,2024
2024-06-23,745648,3,2024
2024-06-25,747188,4,2024
2024-06-26,747184,8,2024
2024-06-27,747185,13,2024
2024-06-28,745238,2,2024
2024-06-29,745239,5,2024
2024-06-30,745243,5,2024
2024-07-02,745886,5,2024
2024-07-03,745888,2,2024
2024-07-04,745890,12,2024
2024-07-05,745884,12,2024
2024-07-06,745885,9,2024
2024-07-07,745883,3,2024
2024-07-08,746771,8,2024
2024-07-10,746772,1,2024
2024-07-10,746773,3,2024
2024-07-12,745312,1,2024
2024-07-13,745311,4,2024
2024-07-14,745314,2,2024
2024-07-20,745880,4,2024
2024-07-21,745882,7,2024
2024-07-22,745881,7,2024
2024-07-23,745878,0,2024
2024-07-24,745877,5,2024
2024-07-26,746448,9,2024
2024-07-27,746446,2,2024
2024-07-28,746445,5,2024
2024-07-29,745791,2,2024
2024-07-30,745787,0,2024
2024-07-31,745789,8,2024
2024-08-02,745875,10,2024
2024-08-03,745876,6,2024
2024-08-04,745879,13,2024
2024-08-05,746847,3,2024
2024-08-06,746840,3,2024
2024-08-07,746842,2,2024
2024-08-09,745871,6,2024
2024-08-09,745927,4,2024
2024-08-10,745873,1,2024
2024-08-11,745872,3,2024
2024-08-12,745874,8,2024
2024-08-13,745867,13,2024
2024-08-14,745869,1,2024
2024-08-15,744980,3,2024
2024-08-16,744974,4,2024
2024-08-17,744977,5,2024
2024-08-18,744975,5,2024
2024-08-19,745380,3,2024
2024-08-20,745374,5,2024
2024-08-21,745375,11,2024
2024-08-23,745870,1,2024
2024-08-24,745868,6,2024
2024-08-25,745863,2,2024
2024-08-26,745865,6,2024
2024-08-27,745864,6,2024
2024-08-28,745866,1,2024
2024-08-30,745862,2,2024
2024-08-31,745859,0,2024
2024-09-01,745861,4,2024
2024-09-02,745046,5,2024
2024-09-03,745047,1,2024
2024-09-04,745045,4,2024
2024-09-05,745042,4,2024
2024-09-06,746257,0,2024
2024-09-07,746259,2,2024
2024-09-08,746258,0,2024
2024-09-09,745860,2,2024
2024-09-10,745856,10,2024
2024-09-11,745857,6,2024
2024-09-13,745855,4,2024
2024-09-14,745858,1,2024
2024-09-15,745852,9,2024
2024-09-16,746588,3,2024
2024-09-17,746587,4,2024
2024-09-18,746582,4,2024
2024-09-19,746579,2,2024
2024-09-20,746905,4,2024
2024-09-22,746903,1,2024
2024-09-22,746906,3,2024
2024-09-24,745851,1,2024
2024-09-25,745854,8,2024
2024-09-26,745853,6,2024
2024-09-27,745847,2,2024
2024-09-28,745849,2,2024
2024-09-29,745846,2,2024
2025-03-27,778551,3,2025
2025-03-29,778528,1,2025
2025-03-30,778517,2,2025
2025-03-31,778506,0,2025
2025-04-01,778490,8,2025
2025-04-02,778474,6,2025
2025-04-03,778462,2,2025
2025-04-05,778440,6,2025
2025-04-06,778419,7,2025
2025-04-07,778412,2,2025
2025-04-08,778400,1,2025
2025-04-09,778388,4,2025
2025-04-10,778373,2,2025
2025-04-11,778363,6,2025
2025-04-12,778348,0,2025
2025-04-13,778335,5,2025
2025-04-14,778324,1,2025
2025-04-15,778307,6,2025
2025-04-16,778299,4,2025
2025-04-18,778284,4,2025
2025-04-19,778267,3,2025
2025-04-20,778249,2,2025
2025-04-22,778216,4,2025
2025-04-23,778201,6,2025
2025-04-24,778189,0,2025
2025-04-25,778186,11,2025
2025-04-26,778166,5,2025
2025-04-27,778144,5,2025
2025-04-28,778139,11,2025
2025-04-29,778129,1,2025
2025-04-30,778116,2,2025
2025-05-01,778108,3,2025
2025-05-02,778089,1,2025
2025-05-03,778073,4,2025
2025-05-04,778063,5,2025
2025-05-06,778028,9,2025
2025-05-07,778011,5,2025
2025-05-08,778007,5,2025
2025-05-09,777992,3,2025
2025-05-10,777974,2,2025
2025-05-11,777956,7,2025
2025-05-14,777924,6,2025
2025-05-14,777938,8,2025
2025-05-15,777911,4,2025
2025-05-16,777898,3,2025
2025-05-17,777883,7,2025
2025-05-18,777865,2,2025
2025-05-19,777861,6,2025
2025-05-21,777829,1,2025
