PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746335,641154,STARTER,21,4,1,1,0,0,7,24
2024,746335,592779,BULLPEN,3,1,0,0,0,0,0,4
2024,746335,643377,BULLPEN,3,0,0,0,1,0,1,4
2024,746333,657746,STARTER,16,3,1,0,1,0,5,20
2024,746333,595345,BULLPEN,3,1,0,0,1,0,2,5
2024,746333,660896,BULLPEN,2,0,0,0,0,0,0,2
2024,746333,643377,BULLPEN,3,0,0,0,1,0,1,3
2024,746333,592779,BULLPEN,3,1,0,0,0,0,3,4
2024,746332,641927,STARTER,4,9,8,3,1,0,1,14
2024,746332,681892,BULLPEN,5,3,1,1,1,0,1,9
2024,746332,650960,BULLPEN,6,1,0,0,1,0,2,8
2024,746332,663485,BULLPEN,6,1,1,1,0,0,2,7
2024,746332,543351,BULLPEN,3,0,0,0,0,0,1,3
2024,746009,686973,STARTER,12,6,3,1,2,1,4,21
2024,746009,660896,BULLPEN,6,1,0,0,2,0,2,9
2024,746009,543351,BULLPEN,6,0,0,0,1,0,2,6
2024,746008,663978,STARTER,12,6,2,1,2,0,2,18
2024,746008,650960,BULLPEN,6,1,1,1,0,0,1,7
2024,746008,592779,BULLPEN,3,0,0,0,0,0,2,3
2024,746008,643377,BULLPEN,3,0,0,0,0,0,1,3
2024,746008,595345,BULLPEN,3,0,0,0,1,0,3,4
2024,745928,641154,STARTER,17,6,3,0,1,0,2,24
2024,745928,681892,BULLPEN,6,0,0,0,2,1,2,9
2024,745928,663485,BULLPEN,4,1,0,0,0,1,3,6
2024,745926,657746,STARTER,18,5,3,1,0,1,7,24
2024,745926,660896,BULLPEN,6,1,0,0,0,0,2,6
2024,745926,543351,BULLPEN,3,1,0,0,0,0,2,4
2024,745925,641927,STARTER,15,3,1,0,2,0,7,19
2024,745925,595345,BULLPEN,3,3,1,0,0,0,1,6
2024,745925,543351,BULLPEN,3,2,2,2,0,0,1,5
2024,745925,643377,BULLPEN,3,1,0,0,1,0,1,5
2024,745925,681892,BULLPEN,3,1,0,0,0,0,2,4
2024,745924,686973,STARTER,15,7,6,2,3,0,6,24
2024,745924,663485,BULLPEN,6,1,0,0,1,0,4,8
2024,745924,592779,BULLPEN,3,1,0,0,2,0,2,6
2024,745924,660896,BULLPEN,3,0,0,0,0,0,2,3
2024,745923,663978,STARTER,14,6,2,1,2,0,5,22
2024,745923,681892,BULLPEN,2,1,0,0,0,0,1,3
2024,745923,660896,BULLPEN,2,0,0,0,0,0,1,1
2024,745923,592779,BULLPEN,3,1,0,0,1,0,0,4
2024,745923,643377,BULLPEN,3,0,0,0,0,0,3,3
2024,745923,595345,BULLPEN,3,1,0,0,0,0,1,4
2024,746491,641154,STARTER,12,6,5,1,3,0,7,21
2024,746491,681892,BULLPEN,3,1,0,0,0,0,3,4
2024,746491,543859,BULLPEN,6,2,2,0,2,1,5,11
2024,746491,543351,BULLPEN,2,1,1,0,1,0,0,4
2024,746491,650489,BULLPEN,1,0,0,0,0,0,0,1
2024,746489,657746,STARTER,18,6,1,1,1,0,12,26
2024,746489,595345,BULLPEN,3,0,0,0,0,0,2,3
2024,746489,643377,BULLPEN,3,0,0,0,0,0,0,3
2024,746489,592779,BULLPEN,3,0,0,0,1,0,1,4
2024,746489,660896,BULLPEN,6,1,0,0,1,0,2,8
2024,746489,543351,BULLPEN,3,1,0,0,0,0,0,4
2024,746490,680573,STARTER,18,2,1,0,1,0,5,21
2024,746490,681892,BULLPEN,2,2,0,0,0,0,2,4
2024,746490,663485,BULLPEN,7,0,0,0,0,0,3,7
2024,746492,641927,STARTER,18,3,0,0,0,0,3,21
2024,746492,592779,BULLPEN,3,0,0,0,1,0,0,3
2024,746492,573204,BULLPEN,1,3,3,1,0,0,0,4
2024,746492,643377,BULLPEN,2,2,1,0,0,0,1,4
2024,747053,686973,STARTER,15,11,4,2,0,0,6,27
2024,747053,621199,BULLPEN,9,1,1,1,1,1,2,12
2024,747051,663978,STARTER,16,12,9,2,1,1,2,30
2024,747051,573204,BULLPEN,2,1,0,0,0,0,1,3
2024,747051,543351,BULLPEN,6,2,2,1,1,0,3,9
2024,747049,641154,STARTER,18,2,1,1,0,0,7,20
2024,747049,595345,BULLPEN,2,3,1,1,0,0,1,5
2024,747049,592779,BULLPEN,4,1,0,0,0,0,3,5
2024,747049,643377,BULLPEN,1,2,2,1,0,0,1,3
2024,745922,657746,STARTER,16,7,3,0,1,0,6,23
2024,745922,681892,BULLPEN,2,0,0,0,0,0,0,1
2024,745922,592779,BULLPEN,3,1,0,0,0,0,1,4
