PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746335,666142,STARTER,1
2024,746335,666142,STARTER,3
2024,746335,608717,BULLPEN,9
2024,746335,608717,BULLPEN,9
2024,746333,663704,BULLPEN,8
2024,746333,519293,BULLPEN,9
2024,746333,519293,BULLPEN,9
2024,746333,519293,BULLPEN,9
2024,746333,519293,BULLPEN,9
2024,746009,596001,STARTER,4
2024,746009,665625,BULLPEN,7
2024,746008,571948,BULLPEN,5
2024,746008,606303,BULLPEN,7
2024,746008,606303,BULLPEN,7
2024,746008,669060,BULLPEN,7
2024,746008,606303,BULLPEN,7
2024,746008,606303,BULLPEN,7
2024,746008,600986,BULLPEN,9
2024,745928,676440,STARTER,5
2024,745928,682120,BULLPEN,7
2024,745926,471911,STARTER,1
2024,745925,572020,STARTER,3
2024,745925,572020,STARTER,3
2024,745924,681911,BULLPEN,8
2024,745924,641401,BULLPEN,9
2024,745924,641401,BULLPEN,9
2024,745923,676272,STARTER,1
2024,745923,676272,STARTER,3
2024,745923,681911,BULLPEN,5
2024,746491,676684,BULLPEN,9
2024,746491,676684,BULLPEN,9
2024,746489,628317,STARTER,3
2024,746489,628317,STARTER,5
2024,746489,571946,BULLPEN,8
2024,746489,671345,BULLPEN,11
2024,746489,656638,BULLPEN,12
2024,746489,656638,BULLPEN,12
2024,746489,656638,BULLPEN,12
2024,746489,656638,BULLPEN,12
2024,746489,656716,BULLPEN,12
2024,746489,656638,BULLPEN,12
2024,746489,656716,BULLPEN,12
2024,746490,666159,STARTER,1
2024,746490,666159,STARTER,3
2024,746490,666159,STARTER,6
2024,746490,666159,STARTER,6
2024,746492,656427,STARTER,2
2024,746492,656427,STARTER,2
2024,746492,656427,STARTER,4
2024,747053,608344,STARTER,2
2024,747053,608344,STARTER,4
2024,747053,669211,BULLPEN,7
2024,747053,669211,BULLPEN,7
2024,747051,680570,STARTER,4
2024,747051,680570,STARTER,6
2024,747051,657508,BULLPEN,9
2024,747049,543056,BULLPEN,7
2024,747049,657097,BULLPEN,7
2024,745922,656427,STARTER,1
2024,745922,656427,STARTER,1
2024,745922,656427,STARTER,6
2024,745922,656427,STARTER,6
2024,745921,681857,STARTER,2
2024,745921,681857,STARTER,3
2024,745921,681857,STARTER,5
2024,745921,681857,STARTER,5
2024,745920,656412,BULLPEN,9
2024,745916,686563,STARTER,1
2024,745916,686563,STARTER,1
2024,745916,686563,STARTER,3
2024,745916,686563,STARTER,3
2024,745916,686563,STARTER,3
2024,745916,686563,STARTER,4
2024,745916,623167,BULLPEN,7
2024,745917,607200,STARTER,1
2024,745917,673929,BULLPEN,7
2024,745917,656629,BULLPEN,8
2024,745917,656629,BULLPEN,8
2024,745917,621051,BULLPEN,9
2024,745917,621051,BULLPEN,9
2024,745919,676979,STARTER,2
2024,745919,676979,STARTER,2
2024,745919,676979,STARTER,2
2024,745919,676979,STARTER,2
2024,745919,676979,STARTER,5
2024,745919,665620,BULLPEN,5
2024,745918,647336,STARTER,6
2024,745918,647336,STARTER,6
2024,745918,621383,BULLPEN,6
2024,745918,605154,BULLPEN,7
2024,745918,621051,BULLPEN,8
2024,745918,621051,BULLPEN,8
2024,746243,663776,STARTER,2
2024,746243,663776,STARTER,3
2024,746243,663776,STARTER,5
2024,746243,663776,STARTER,6
2024,746243,519043,BULLPEN,9
2024,746245,667755,STARTER,1
2024,746245,667755,STARTER,2
2024,746245,667755,STARTER,2
2024,746245,667755,STARTER,2
2024,746245,660761,BULLPEN,3
2024,746245,660761,BULLPEN,3
2024,746245,660761,BULLPEN,3
2024,746245,542585,BULLPEN,4
2024,746245,542585,BULLPEN,4
2024,746245,542585,BULLPEN,4
2024,746245,608334,BULLPEN,6
2024,746245,608334,BULLPEN,7
2024,746245,608334,BULLPEN,7
2024,746245,608334,BULLPEN,7
2024,746245,543305,BULLPEN,9
2024,746245,543305,BULLPEN,9
2024,746237,672282,STARTER,4
2024,746237,672282,STARTER,5
2024,746237,672282,STARTER,5
2024,746237,672282,STARTER,5
2024,746237,672282,STARTER,5
2024,746237,472610,BULLPEN,7
2024,746237,472610,BULLPEN,7
2024,746237,472610,BULLPEN,7
2024,746237,472610,BULLPEN,7
2024,746237,670219,BULLPEN,8
2024,746237,670219,BULLPEN,8
2024,746804,676979,STARTER,2
2024,746804,676979,STARTER,2
2024,746804,605154,BULLPEN,9
2024,746806,647336,STARTER,5
2024,746806,647336,STARTER,5
2024,746806,621383,BULLPEN,6
2024,746806,673929,BULLPEN,8
2024,746806,673929,BULLPEN,8
2024,746806,656629,BULLPEN,9
2024,746800,623167,STARTER,3
2024,746800,623167,STARTER,5
2024,746800,621051,BULLPEN,6
2024,746800,621051,BULLPEN,6
2024,746800,608678,BULLPEN,7
2024,746800,608678,BULLPEN,7
2024,746800,621383,BULLPEN,9
2024,746800,621383,BULLPEN,9
2024,746800,605154,BULLPEN,9
2024,746800,605154,BULLPEN,9
2024,745914,656557,STARTER,3
2024,745914,656557,STARTER,7
2024,745914,656557,STARTER,7
2024,745914,656557,STARTER,7
2024,745914,683822,BULLPEN,7
2024,745911,657514,STARTER,1
2024,745911,592155,BULLPEN,4
2024,745911,686580,BULLPEN,6
2024,745913,681867,STARTER,3
2024,745913,670174,BULLPEN,8
2024,745912,622491,STARTER,5
2024,745912,622491,STARTER,7
2024,745912,622491,STARTER,7
2024,745915,676106,STARTER,3
2024,745915,676106,STARTER,3
2024,745915,676106,STARTER,3
2024,745915,676106,STARTER,3
2024,745915,668338,BULLPEN,7
2024,745915,642048,BULLPEN,8
2024,745906,669923,STARTER,1
2024,745906,669923,STARTER,1
2024,745906,669923,STARTER,2
2024,745906,669923,STARTER,4
2024,745906,675989,BULLPEN,8
2024,745906,675989,BULLPEN,8
2024,745910,669302,STARTER,1
2024,745910,669302,STARTER,1
2024,745910,669302,STARTER,1
2024,745910,669302,STARTER,1
2024,745910,669302,STARTER,1
2024,745910,669302,STARTER,2
2024,745910,669302,STARTER,4
2024,745910,669302,STARTER,4
2024,745910,660825,BULLPEN,5
2024,745910,668338,BULLPEN,7
2024,745910,668338,BULLPEN,7
2024,744940,579328,STARTER,1
2024,744940,579328,STARTER,5
2024,744940,663878,BULLPEN,9
2024,744943,592332,STARTER,1
2024,744943,592332,STARTER,1
2024,744943,592332,STARTER,1
2024,744943,592332,STARTER,2
2024,744943,592332,STARTER,3
2024,744943,592332,STARTER,3
2024,744943,592332,STARTER,3
2024,744943,647315,BULLPEN,4
2024,744941,666201,STARTER,7
2024,744941,666201,STARTER,7
2024,744941,666201,STARTER,7
2024,744941,657024,BULLPEN,8
2024,744941,657024,BULLPEN,8
2024,745909,607074,STARTER,1
2024,746641,663474,STARTER,3
2024,746641,605130,BULLPEN,8
2024,746642,658648,BULLPEN,9
2024,746642,658648,BULLPEN,9
2024,746642,658648,BULLPEN,9
2024,746642,658648,BULLPEN,9
2024,746636,676440,STARTER,3
2024,746636,661403,BULLPEN,9
2024,744857,680730,STARTER,2
2024,744857,680730,STARTER,6
2024,744857,680730,STARTER,6
2024,744860,571578,STARTER,2
2024,744860,571578,STARTER,2
2024,744860,571578,STARTER,3
2024,744860,571578,STARTER,3
2024,744860,571578,STARTER,5
2024,744860,571578,STARTER,5
2024,744860,571578,STARTER,6
2024,744860,571578,STARTER,6
2024,744860,606930,BULLPEN,7
2024,744860,606930,BULLPEN,7
2024,744856,663623,STARTER,2
2024,744856,663623,STARTER,6
2024,744856,640451,BULLPEN,9
2024,745905,570632,STARTER,2
2024,745905,570632,STARTER,2
2024,745905,570632,STARTER,4
2024,745901,547179,STARTER,1
2024,745901,622786,BULLPEN,7
2024,745901,502085,BULLPEN,8
2024,745901,502085,BULLPEN,8
2024,745901,502085,BULLPEN,8
2024,745902,642520,STARTER,4
2024,745902,642546,BULLPEN,5
2024,745904,679525,STARTER,3
2024,745904,679525,STARTER,3
2024,745904,679525,STARTER,5
2024,745904,679525,STARTER,5
2024,745904,679525,STARTER,5
2024,745904,623433,BULLPEN,8
2024,745903,666142,STARTER,1
2024,745903,666142,STARTER,1
2024,745903,666142,STARTER,4
2024,745903,672578,BULLPEN,8
2024,745900,607625,STARTER,2
2024,745898,663738,STARTER,4
2024,745898,663738,STARTER,4
2024,745898,663738,STARTER,5
2024,745898,608717,BULLPEN,6
2024,745898,608717,BULLPEN,6
2024,745898,608717,BULLPEN,6
2024,745898,608717,BULLPEN,6
2024,746387,669854,STARTER,3
2024,746387,669854,STARTER,3
2024,746387,669854,STARTER,5
2024,746387,669854,STARTER,5
2024,746387,656786,BULLPEN,6
2024,746387,666208,BULLPEN,8
2024,746384,664285,STARTER,7
2024,746384,650556,BULLPEN,8
2024,746383,686613,STARTER,1
2024,746383,686613,STARTER,2
2024,746383,686613,STARTER,6
2024,746383,519151,BULLPEN,8
2024,745739,592454,BULLPEN,7
2024,745740,607074,STARTER,6
2024,745740,607074,STARTER,6
2024,745740,642701,BULLPEN,7
2024,745740,642701,BULLPEN,7
2024,745740,642701,BULLPEN,8
2024,745738,573186,STARTER,1
2024,745738,573186,STARTER,3
2024,745738,573186,STARTER,5
2024,745738,573186,STARTER,5
2024,745738,573186,STARTER,5
2024,745491,683003,STARTER,1
2024,745491,683003,STARTER,1
2024,745491,683003,STARTER,1
2024,745491,693312,BULLPEN,6
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745491,621294,BULLPEN,10
2024,745897,641712,STARTER,3
2024,745897,641712,STARTER,4
2024,745897,683232,BULLPEN,8
2024,745897,683232,BULLPEN,8
2024,745897,683232,BULLPEN,8
2024,745899,680767,BULLPEN,7
2024,745899,680767,BULLPEN,7
2024,745899,641755,BULLPEN,9
2024,745899,641755,BULLPEN,9
2024,745896,596295,STARTER,1
2024,745896,596295,STARTER,1
2024,745896,596295,STARTER,1
2024,745896,596295,STARTER,1
2024,745896,596295,STARTER,1
2024,745896,596295,STARTER,4
2024,745896,596295,STARTER,4
2024,745896,596295,STARTER,4
2024,745896,683409,BULLPEN,6
2024,745896,683409,BULLPEN,6
2024,745896,683232,BULLPEN,8
2024,745896,683232,BULLPEN,8
2024,745896,683232,BULLPEN,8
2024,745896,683232,BULLPEN,8
2024,745896,683232,BULLPEN,8
2024,745896,642028,BULLPEN,8
2024,745896,642028,BULLPEN,8
2024,745894,665622,STARTER,2
2024,745894,665622,STARTER,2
2024,745894,665622,STARTER,3
2024,745894,665622,STARTER,4
2024,745894,656794,BULLPEN,7
2024,745894,656794,BULLPEN,7
2024,745892,687765,STARTER,2
2024,745892,687765,STARTER,6
2024,745892,687765,STARTER,6
2024,745892,687765,STARTER,6
2024,745892,668674,BULLPEN,8
2024,745892,518397,BULLPEN,10
2024,745891,683155,STARTER,1
2024,745891,683155,STARTER,1
2024,745891,683155,STARTER,2
2024,745891,683155,STARTER,2
2024,745891,683155,STARTER,2
2024,745891,683155,STARTER,3
2024,745891,518397,BULLPEN,6
2024,745891,666204,BULLPEN,8
2024,745895,676664,STARTER,1
2024,745895,676664,STARTER,1
2024,745895,676664,STARTER,1
2024,745895,676664,STARTER,4
2024,745895,669620,BULLPEN,7
2024,745895,669620,BULLPEN,7
2024,745893,650644,STARTER,4
2024,745893,650644,STARTER,4
2024,745893,650644,STARTER,4
2024,745893,650644,STARTER,4
2024,745893,542888,BULLPEN,5
2024,745893,542888,BULLPEN,5
2024,745893,664126,BULLPEN,9
2024,745887,671737,STARTER,3
2024,745887,671737,STARTER,5
2024,745889,641793,STARTER,2
2024,745889,641793,STARTER,3
2024,745889,606965,BULLPEN,9
2024,745889,664126,BULLPEN,9
2024,745889,606965,BULLPEN,9
2024,745889,606965,BULLPEN,9
2024,745649,683155,STARTER,1
2024,745649,683155,STARTER,6
2024,745649,613534,BULLPEN,7
2024,745649,613534,BULLPEN,7
2024,745649,613534,BULLPEN,7
2024,745644,676664,STARTER,1
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,676664,STARTER,2
2024,745644,674370,BULLPEN,3
2024,745644,674370,BULLPEN,7
2024,745648,663687,STARTER,2
2024,745648,663687,STARTER,7
2024,745648,663687,STARTER,7
2024,747188,694297,STARTER,5
2024,747188,694297,STARTER,7
2024,747188,694297,STARTER,7
2024,747188,694297,STARTER,7
2024,747184,669194,STARTER,2
2024,747184,669194,STARTER,2
