PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,27,157,53,44,60,86,71,249,20,1094,31,80,11,322,82,340,74,5.814814814814815,3.185185185185185,2.6296296296296298,8.032128514056225,25.46583850931677,21.764705882352942
2024,DEBIL,HOME,26,155,56,33,66,84,71,221,19,994,39,90,6,279,65,319,82,5.961538461538462,3.230769230769231,2.730769230769231,8.597285067873303,23.29749103942652,25.705329153605014
2024,FUERTE,AWAY,38,145,43,44,58,80,65,348,12,1431,36,102,8,354,63,466,82,3.8157894736842106,2.1052631578947367,1.7105263157894737,3.4482758620689653,17.796610169491526,17.59656652360515
2024,FUERTE,HOME,37,175,65,55,55,110,65,324,16,1402,45,107,15,388,75,470,119,4.72972972972973,2.972972972972973,1.7567567567567568,4.938271604938271,19.329896907216494,25.319148936170212
2024,MEDIO,AWAY,16,51,18,15,18,34,17,145,4,576,14,36,1,111,21,170,25,3.1875,2.125,1.0625,2.7586206896551726,18.91891891891892,14.705882352941176
2024,MEDIO,HOME,18,59,18,12,29,29,30,156,7,635,18,58,0,142,25,195,31,3.2777777777777777,1.6111111111111112,1.6666666666666667,4.487179487179487,17.6056338028169,15.897435897435898
2025,DEBIL,AWAY,25,116,29,46,41,56,60,225,14,954,35,89,10,222,50,312,72,4.64,2.24,2.4,6.222222222222222,22.52252252252252,23.076923076923077
2025,DEBIL,HOME,22,98,31,43,24,53,45,189,10,831,21,79,10,249,48,268,56,4.454545454545454,2.409090909090909,2.0454545454545454,5.291005291005291,19.27710843373494,20.895522388059703
2025,FUERTE,AWAY,29,90,27,36,27,53,37,265,4,1080,28,62,3,251,48,356,71,3.103448275862069,1.8275862068965518,1.2758620689655173,1.509433962264151,19.12350597609562,19.9438202247191
2025,FUERTE,HOME,33,136,47,53,36,74,62,291,14,1215,35,94,5,294,67,387,86,4.121212121212121,2.242424242424242,1.878787878787879,4.810996563573883,22.789115646258505,22.22222222222222
2025,MEDIO,AWAY,27,119,36,46,37,72,47,243,14,1022,41,85,5,230,38,349,74,4.407407407407407,2.6666666666666665,1.7407407407407407,5.761316872427984,16.52173913043478,21.20343839541547
2025,MEDIO,HOME,26,119,30,64,25,72,47,230,11,974,31,86,9,263,58,304,54,4.576923076923077,2.769230769230769,1.8076923076923077,4.782608695652174,22.0532319391635,17.763157894736842
2026_CUTOFF,DEBIL,AWAY,12,67,22,22,23,42,25,108,8,462,18,44,2,109,28,148,33,5.583333333333333,3.5,2.0833333333333335,7.407407407407407,25.68807339449541,22.2972972972973
2026_CUTOFF,DEBIL,HOME,16,67,26,25,16,47,20,140,8,587,17,43,4,143,29,186,38,4.1875,2.9375,1.25,5.714285714285714,20.27972027972028,20.43010752688172
2026_CUTOFF,FUERTE,AWAY,18,79,26,28,25,46,33,164,9,714,23,53,12,202,44,227,43,4.388888888888889,2.5555555555555554,1.8333333333333333,5.487804878048781,21.782178217821784,18.94273127753304
2026_CUTOFF,FUERTE,HOME,25,116,50,35,31,80,36,214,16,941,26,97,7,249,59,302,54,4.64,3.2,1.44,7.4766355140186915,23.694779116465863,17.880794701986755
2026_CUTOFF,MEDIO,AWAY,22,113,46,37,30,68,45,200,15,849,29,71,5,215,57,282,63,5.136363636363637,3.090909090909091,2.0454545454545454,7.5,26.511627906976745,22.340425531914892
2026_CUTOFF,MEDIO,HOME,10,53,9,30,14,35,18,84,6,362,13,30,0,95,26,100,19,5.3,3.5,1.8,7.142857142857143,27.36842105263158,19.0
