PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-29,745848,True,HOME,158,Milwaukee Brewers,FUERTE,1,3,1,0,0,0,2,1,9,0,1,0,0
2024,2024-03-30,745850,True,HOME,158,Milwaukee Brewers,FUERTE,6,7,2,0,4,5,1,1,9,1,2,4,0
2024,2024-03-31,745845,True,HOME,158,Milwaukee Brewers,FUERTE,1,4,1,0,0,2,2,0,9,0,1,0,0
2024,2024-04-01,745842,True,HOME,116,Detroit Tigers,FUERTE,0,5,0,0,0,0,0,5,10,0,0,0,0
2024,2024-04-04,745843,True,HOME,116,Detroit Tigers,FUERTE,2,1,0,0,2,1,0,0,9,0,0,2,0
2024,2024-04-04,745844,True,HOME,116,Detroit Tigers,FUERTE,3,6,2,1,0,0,1,5,11,0,3,0,0
2024,2024-04-05,746733,False,AWAY,113,Cincinnati Reds,MEDIO,3,2,0,1,2,1,0,1,9,0,1,2,0
2024,2024-04-06,746731,False,AWAY,113,Cincinnati Reds,MEDIO,6,9,0,5,1,2,2,5,9,1,5,1,0
2024,2024-04-07,746734,False,AWAY,113,Cincinnati Reds,MEDIO,3,1,2,1,0,0,1,0,9,0,3,0,0
2024,2024-04-08,747142,False,AWAY,144,Atlanta Braves,FUERTE,8,7,0,4,4,4,1,2,9,2,4,4,0
2024,2024-04-09,747138,False,AWAY,144,Atlanta Braves,FUERTE,5,6,0,0,5,4,2,0,9,1,0,5,0
2024,2024-04-11,747137,False,AWAY,144,Atlanta Braves,FUERTE,16,4,7,0,9,0,3,1,9,3,7,9,0
2024,2024-04-12,745838,True,HOME,118,Kansas City Royals,FUERTE,6,1,1,4,1,1,0,0,8,0,5,1,0
2024,2024-04-13,745839,True,HOME,118,Kansas City Royals,FUERTE,7,11,4,1,2,4,7,0,9,1,4,3,0
2024,2024-04-14,745841,True,HOME,118,Kansas City Royals,FUERTE,2,1,0,0,2,0,0,1,8,0,0,2,0
2024,2024-04-15,745840,True,HOME,134,Pittsburgh Pirates,DEBIL,6,3,0,3,3,0,3,0,8,2,3,3,0
2024,2024-04-16,745837,True,HOME,134,Pittsburgh Pirates,DEBIL,3,1,0,0,3,0,1,0,8,1,0,3,0
2024,2024-04-17,745836,True,HOME,134,Pittsburgh Pirates,DEBIL,9,1,2,4,3,1,0,0,8,2,2,7,0
2024,2024-04-19,746160,False,AWAY,119,Los Angeles Dodgers,MEDIO,9,4,4,0,5,0,4,0,9,0,4,5,0
2024,2024-04-20,746156,False,AWAY,119,Los Angeles Dodgers,MEDIO,6,4,1,4,1,1,3,0,9,1,2,4,0
2024,2024-04-21,746154,False,AWAY,119,Los Angeles Dodgers,MEDIO,0,10,0,0,0,2,8,0,9,0,0,0,0
2024,2024-04-22,745351,False,AWAY,137,San Francisco Giants,MEDIO,2,5,0,1,1,4,1,0,9,0,1,1,0
2024,2024-04-23,745348,False,AWAY,137,San Francisco Giants,MEDIO,1,5,0,0,1,0,3,2,9,0,0,1,0
2024,2024-04-24,745346,False,AWAY,137,San Francisco Giants,MEDIO,8,2,2,4,2,0,0,2,9,1,0,8,0
2024,2024-04-26,745835,True,HOME,138,St. Louis Cardinals,MEDIO,2,4,0,2,0,4,0,0,9,0,2,0,0
2024,2024-04-27,745833,True,HOME,138,St. Louis Cardinals,MEDIO,4,7,0,4,0,5,1,1,9,1,4,0,0
2024,2024-04-28,745834,True,HOME,138,St. Louis Cardinals,MEDIO,4,2,0,1,3,0,1,1,11,1,1,3,0
2024,2024-04-29,745832,True,HOME,112,Chicago Cubs,MEDIO,1,3,1,0,0,0,0,3,9,0,1,0,0
2024,2024-04-30,745831,True,HOME,112,Chicago Cubs,MEDIO,4,2,1,3,0,1,0,1,8,1,1,3,0
2024,2024-05-01,745829,True,HOME,112,Chicago Cubs,MEDIO,0,1,0,0,0,0,1,0,9,0,0,0,0
2024,2024-05-02,745830,True,HOME,112,Chicago Cubs,MEDIO,7,6,0,5,2,1,4,1,11,1,2,5,0
2024,2024-05-03,745101,False,AWAY,139,Tampa Bay Rays,FUERTE,8,10,3,4,1,8,2,0,9,2,7,1,0
2024,2024-05-04,745100,False,AWAY,139,Tampa Bay Rays,FUERTE,1,3,1,0,0,1,0,2,9,0,1,0,0
