PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745848,500779,STARTER,14,6,2,1,2,0,4,21
2024,745848,622098,BULLPEN,4,0,0,0,0,0,1,4
2024,745848,605347,BULLPEN,3,2,1,0,0,0,0,4
2024,745848,543859,BULLPEN,6,0,0,0,1,0,2,7
2024,745850,622663,STARTER,15,11,3,1,0,0,6,27
2024,745850,518617,BULLPEN,3,0,0,0,0,0,1,3
2024,745850,670990,BULLPEN,1,0,0,0,0,0,1,2
2024,745850,605347,BULLPEN,2,0,0,0,1,0,1,3
2024,745850,493603,BULLPEN,3,3,1,0,0,0,2,6
2024,745850,621242,BULLPEN,3,1,0,0,0,0,1,4
2024,745845,656731,STARTER,12,3,1,0,3,1,4,18
2024,745845,670990,BULLPEN,9,5,2,0,2,0,2,15
2024,745845,622098,BULLPEN,3,1,0,0,1,0,2,5
2024,745845,548384,BULLPEN,3,0,0,0,0,0,2,3
2024,745842,640455,STARTER,18,1,0,0,2,0,8,20
2024,745842,605347,BULLPEN,3,0,0,0,1,0,1,4
2024,745842,548384,BULLPEN,3,1,0,0,0,0,1,3
2024,745842,621242,BULLPEN,3,0,0,0,0,0,2,3
2024,745842,543859,BULLPEN,3,2,0,1,0,1,0,7
2024,745843,676130,STARTER,18,3,1,0,3,0,6,23
2024,745843,657585,BULLPEN,9,2,0,0,1,0,4,11
2024,745844,605288,STARTER,15,3,1,0,3,0,3,20
2024,745844,548384,BULLPEN,3,0,0,0,0,0,0,3
2024,745844,622098,BULLPEN,2,1,0,0,1,0,0,4
2024,745844,518617,BULLPEN,1,0,0,0,1,0,1,2
2024,745844,493603,BULLPEN,3,1,1,1,0,0,1,4
2024,745844,621242,BULLPEN,3,0,0,0,0,0,2,3
2024,745844,605347,BULLPEN,3,0,0,0,0,0,0,3
2024,745844,543859,BULLPEN,3,4,2,0,0,1,1,8
2024,746733,500779,STARTER,17,5,1,1,4,0,4,26
2024,746733,622098,BULLPEN,3,2,0,0,0,0,1,5
2024,746733,548384,BULLPEN,1,0,0,0,1,0,1,2
2024,746733,493603,BULLPEN,3,0,0,0,0,0,2,3
2024,746733,621242,BULLPEN,3,0,0,0,1,0,1,5
2024,746731,622663,STARTER,15,3,1,0,2,0,7,21
2024,746731,518617,BULLPEN,3,1,2,0,1,1,1,6
2024,746731,670990,BULLPEN,6,4,5,1,2,0,3,13
2024,746734,640455,STARTER,15,3,1,0,2,2,6,21
2024,746734,605347,BULLPEN,3,0,0,0,1,0,2,4
2024,746734,548384,BULLPEN,3,0,0,0,2,0,0,5
2024,746734,493603,BULLPEN,3,0,0,0,0,0,2,3
2024,746734,621242,BULLPEN,3,0,0,0,0,0,2,3
2024,747142,527054,STARTER,8,6,4,1,2,0,3,16
2024,747142,657585,BULLPEN,7,1,0,0,1,0,5,8
2024,747142,642121,BULLPEN,3,2,1,0,1,0,1,6
2024,747142,518617,BULLPEN,3,0,1,0,1,0,1,3
2024,747142,622098,BULLPEN,3,1,0,0,2,0,2,6
2024,747142,605347,BULLPEN,3,2,1,0,0,0,0,5
2024,747138,605288,STARTER,15,8,5,0,2,2,1,25
2024,747138,673380,BULLPEN,6,3,1,0,0,0,3,9
2024,747138,642121,BULLPEN,3,0,0,0,0,0,1,3
2024,747137,500779,STARTER,16,5,3,0,2,0,4,23
2024,747137,622098,BULLPEN,5,0,0,0,0,0,2,5
2024,747137,664079,BULLPEN,6,5,1,0,1,0,1,12
2024,745838,622663,STARTER,15,1,1,1,4,0,4,20
2024,745838,518617,BULLPEN,2,1,0,0,0,0,1,3
2024,745838,657585,BULLPEN,4,0,0,0,0,0,2,4
2024,745838,493603,BULLPEN,3,0,0,0,0,0,1,3
2024,745838,605347,BULLPEN,3,1,0,0,0,0,2,4
2024,745839,640455,STARTER,11,9,6,1,3,0,4,24
2024,745839,642121,BULLPEN,5,3,3,0,2,0,2,10
2024,745839,605347,BULLPEN,2,1,0,0,0,1,0,4
2024,745839,518617,BULLPEN,3,0,0,0,0,0,1,3
2024,745839,664079,BULLPEN,6,0,0,0,0,0,0,6
2024,745841,676130,STARTER,18,2,0,0,1,1,9,21
2024,745841,493603,BULLPEN,3,0,0,0,0,0,2,3
2024,745841,548384,BULLPEN,3,0,0,0,0,0,2,3
2024,745841,621242,BULLPEN,3,1,1,1,0,0,1,4
2024,745840,605288,STARTER,16,2,2,0,5,0,5,23
2024,745840,622098,BULLPEN,2,1,1,0,1,0,0,4
2024,745840,548384,BULLPEN,3,0,0,0,0,0,2,3
2024,745840,493603,BULLPEN,3,0,0,0,0,0,2,3
2024,745840,621242,BULLPEN,3,0,0,0,1,0,1,4
2024,745837,500779,STARTER,15,4,1,0,3,0,4,21
2024,745837,657585,BULLPEN,6,1,0,0,1,0,6,8
2024,745837,605347,BULLPEN,3,0,0,0,0,0,1,3
2024,745837,622098,BULLPEN,3,0,0,0,0,0,2,3
2024,745836,622663,STARTER,18,5,0,0,3,0,4,24
2024,745836,605347,BULLPEN,3,0,0,0,0,0,1,3
2024,745836,518617,BULLPEN,3,0,0,0,0,0,2,3
2024,745836,701643,BULLPEN,3,0,0,0,0,0,0,3
2024,746160,640455,STARTER,15,4,2,0,3,0,3,21
2024,746160,657585,BULLPEN,3,1,0,0,0,1,1,7
2024,746160,548384,BULLPEN,2,1,0,0,0,0,1,3
2024,746160,493603,BULLPEN,4,0,0,0,0,0,2,5
2024,746160,518617,BULLPEN,3,0,0,0,2,0,2,5
2024,746156,676130,STARTER,13,3,2,0,5,1,6,22
2024,746156,543859,BULLPEN,3,1,2,0,0,1,2,5
2024,746156,622098,BULLPEN,2,1,0,0,2,0,1,5
2024,746156,605347,BULLPEN,4,1,0,0,1,0,0,5
2024,746156,621242,BULLPEN,2,0,0,0,2,0,2,4
2024,746156,657585,BULLPEN,3,0,0,0,0,0,3,3
2024,746154,605288,STARTER,12,7,8,1,4,0,3,22
2024,746154,701643,BULLPEN,6,1,2,1,2,1,1,10
2024,746154,543859,BULLPEN,6,1,0,0,1,0,1,8
2024,745351,500779,STARTER,15,7,5,1,3,0,4,24
2024,745351,605347,BULLPEN,3,1,0,0,0,0,1,4
2024,745351,656887,BULLPEN,3,0,0,0,2,0,1,5
2024,745351,677020,BULLPEN,3,0,0,0,0,0,1,3
2024,745348,622663,STARTER,18,5,3,0,0,1,5,24
2024,745348,622098,BULLPEN,3,3,2,0,0,0,0,6
2024,745348,518617,BULLPEN,3,0,0,0,0,0,2,3
2024,745346,640455,STARTER,14,4,0,0,4,0,6,21
2024,745346,657585,BULLPEN,6,2,1,1,1,0,4,9
2024,745346,493603,BULLPEN,4,0,0,0,1,0,3,5
2024,745346,621242,BULLPEN,3,2,0,0,0,0,0,5
2024,745835,676130,STARTER,17,4,4,2,3,1,4,24
2024,745835,677020,BULLPEN,2,1,0,0,1,0,1,4
2024,745835,605347,BULLPEN,5,0,0,0,0,0,3,5
2024,745835,656887,BULLPEN,3,0,0,0,0,0,2,3
2024,745833,605288,STARTER,13,9,6,0,2,0,2,24
2024,745833,677020,BULLPEN,4,0,0,0,0,0,1,4
2024,745833,673380,BULLPEN,3,0,0,0,1,0,3,4
2024,745833,518617,BULLPEN,4,1,1,0,1,0,1,6
2024,745833,656887,BULLPEN,3,0,0,0,0,0,2,3
2024,745834,500779,STARTER,24,3,1,0,1,0,3,29
2024,745834,621242,BULLPEN,3,0,0,0,0,0,2,3
2024,745834,657585,BULLPEN,6,1,0,0,2,0,2,7
2024,745832,622663,STARTER,24,1,1,0,2,1,5,27
2024,745832,621242,BULLPEN,3,2,2,1,0,0,3,5
2024,745831,640455,STARTER,15,3,1,0,4,0,3,21
2024,745831,656887,BULLPEN,3,0,0,0,1,0,1,4
2024,745831,657585,BULLPEN,3,0,0,0,1,0,1,4
2024,745831,493603,BULLPEN,3,0,0,0,0,0,1,3
2024,745831,605347,BULLPEN,3,1,1,0,0,0,0,4
2024,745829,676130,STARTER,18,4,1,0,2,0,6,23
2024,745829,605347,BULLPEN,2,1,0,0,0,0,1,3
2024,745829,518617,BULLPEN,1,0,0,0,0,0,1,1
2024,745829,493603,BULLPEN,3,0,0,0,1,0,2,4
2024,745829,656887,BULLPEN,3,0,0,0,0,0,3,3
2024,745830,605288,STARTER,15,4,4,1,4,0,2,23
2024,745830,673380,BULLPEN,3,2,1,0,0,0,1,5
2024,745830,518617,BULLPEN,3,0,0,0,1,0,2,4
2024,745830,657585,BULLPEN,3,1,0,0,1,0,0,5
2024,745830,621242,BULLPEN,6,0,0,0,0,0,2,5
2024,745830,664849,BULLPEN,3,2,0,0,1,0,1,5
2024,745101,500779,STARTER,8,10,8,0,1,0,2,19
2024,745101,673380,BULLPEN,7,1,1,1,1,0,3,8
2024,745101,605347,BULLPEN,3,2,1,0,2,0,0,6
2024,745101,664849,BULLPEN,6,0,0,0,2,0,2,8
2024,745100,681035,STARTER,20,5,1,0,1,0,6,25
2024,745100,657585,BULLPEN,1,0,0,0,0,0,1,1
2024,745100,493603,BULLPEN,2,2,2,0,2,0,1,6
2024,745100,656887,BULLPEN,1,0,0,0,1,0,1,2
2024,745103,622663,STARTER,15,4,4,0,6,0,6,26
2024,745103,605347,BULLPEN,3,1,0,0,0,0,1,4
2024,745103,657585,BULLPEN,3,1,0,0,1,0,1,4
2024,745103,656887,BULLPEN,3,0,0,0,1,0,1,3
2024,745103,621242,BULLPEN,3,2,1,1,0,0,2,5
2024,745103,518617,BULLPEN,0,1,1,0,1,0,0,2
2024,745182,640455,STARTER,18,6,3,0,1,0,1,24
2024,745182,518617,BULLPEN,3,1,0,0,0,0,1,4
2024,745182,493603,BULLPEN,3,1,0,0,0,0,1,4
2024,745182,621242,BULLPEN,3,0,0,0,0,0,1,3
2024,745186,676130,STARTER,15,5,3,1,3,0,3,22
2024,745186,642121,BULLPEN,3,1,1,1,0,0,3,4
2024,745186,656887,BULLPEN,1,1,0,0,1,0,0,3
2024,745186,605347,BULLPEN,2,1,0,0,0,0,1,3
2024,745186,657585,BULLPEN,3,1,0,0,0,0,2,4
2024,745186,493603,BULLPEN,3,2,1,1,1,0,2,6
2024,745827,500779,STARTER,15,6,4,3,2,0,3,22
2024,745827,670990,BULLPEN,6,0,0,0,0,0,3,6
2024,745827,605288,BULLPEN,6,1,0,0,2,0,0,9
2024,745828,681035,STARTER,18,6,3,1,2,0,8,25
2024,745828,656887,BULLPEN,6,0,0,0,0,0,2,6
2024,745828,605347,BULLPEN,3,1,1,0,2,1,0,7
2024,745825,622663,STARTER,15,4,2,1,3,1,4,22
2024,745825,657585,BULLPEN,6,1,0,0,1,0,3,7
2024,745825,493603,BULLPEN,1,1,1,0,1,0,0,3
2024,745825,518617,BULLPEN,2,0,0,0,1,0,0,3
2024,745825,621242,BULLPEN,3,0,0,0,0,0,1,3
2024,745826,640455,STARTER,18,4,1,0,1,0,6,23
2024,745826,605347,BULLPEN,1,2,1,0,0,0,0,3
2024,745826,493603,BULLPEN,5,0,0,0,0,0,1,5
2024,745826,621242,BULLPEN,3,2,2,1,2,1,2,8
2024,745826,656887,BULLPEN,3,0,0,0,1,0,1,3
2024,745821,676130,STARTER,15,1,2,0,4,1,4,21
2024,745821,670990,BULLPEN,3,2,0,0,0,0,2,5
2024,745821,518617,BULLPEN,2,0,0,0,3,0,0,4
2024,745821,605347,BULLPEN,4,0,0,0,1,0,1,5
2024,745821,656887,BULLPEN,3,4,2,0,0,0,0,7
2024,745582,664192,STARTER,13,5,5,1,4,0,2,21
2024,745582,701643,BULLPEN,5,2,1,0,0,1,0,8
2024,745582,605288,BULLPEN,6,3,1,0,1,0,1,11
2024,745580,500779,STARTER,16,4,2,0,0,1,4,21
2024,745580,657585,BULLPEN,5,2,1,0,1,0,2,8
2024,745580,493603,BULLPEN,3,1,0,0,0,0,0,4
2024,745580,621242,BULLPEN,3,1,1,0,1,0,2,5
2024,745580,605347,BULLPEN,3,0,0,0,1,0,0,3
2024,745580,518617,BULLPEN,3,1,0,0,1,0,1,5
2024,746065,681035,STARTER,12,7,4,1,1,1,3,21
2024,746065,677020,BULLPEN,6,3,2,0,1,0,2,10
2024,746065,701643,BULLPEN,6,3,2,0,2,0,3,10
2024,746067,622663,STARTER,20,6,5,1,3,0,3,28
2024,746067,657585,BULLPEN,1,2,0,0,0,0,0,3
2024,746067,493603,BULLPEN,3,0,0,0,0,0,1,3
2024,746067,621242,BULLPEN,1,4,4,1,0,0,0,5
2024,746067,518617,BULLPEN,2,0,0,0,0,0,2,2
2024,746067,605347,BULLPEN,1,1,0,0,0,0,0,2
2024,746064,640455,STARTER,15,5,2,1,1,0,4,21
2024,746064,656887,BULLPEN,3,1,0,0,1,0,2,5
2024,746064,518617,BULLPEN,3,1,1,1,0,1,1,4
2024,746064,657585,BULLPEN,6,1,0,0,0,0,4,7
2024,746637,656731,STARTER,15,4,2,0,2,0,7,21
2024,746637,677020,BULLPEN,6,0,0,0,0,0,1,6
2024,746637,605347,BULLPEN,3,0,0,0,0,0,0,3
2024,746633,605288,STARTER,15,6,6,1,1,1,4,23
2024,746633,518617,BULLPEN,2,1,1,1,1,0,2,4
2024,746633,605347,BULLPEN,4,0,0,0,0,0,1,3
2024,746633,656887,BULLPEN,3,0,0,0,1,0,1,4
2024,746634,500779,STARTER,18,4,3,1,0,1,4,21
2024,746634,657585,BULLPEN,3,2,1,0,1,0,2,6
2024,746634,493603,BULLPEN,2,2,2,0,1,1,1,6
2024,746634,677020,BULLPEN,1,0,0,0,1,0,1,2
2024,745822,681035,STARTER,18,2,2,1,1,0,4,21
2024,745822,621242,BULLPEN,3,1,0,0,0,0,2,4
2024,745822,657585,BULLPEN,3,4,5,1,1,0,0,8
2024,745822,605347,BULLPEN,3,2,1,1,0,0,0,4
2024,745823,622663,STARTER,21,2,1,0,3,0,6,26
2024,745823,493603,BULLPEN,3,1,0,0,0,1,1,5
2024,745823,621242,BULLPEN,3,2,1,0,0,0,1,4
2024,745823,656887,BULLPEN,2,2,0,0,1,0,1,6
2024,745823,677020,BULLPEN,1,1,0,0,0,0,0,2
2024,745824,640455,STARTER,15,5,2,1,1,0,6,21
2024,745824,605288,BULLPEN,12,2,1,0,1,0,2,14
2024,745816,500779,STARTER,18,8,3,2,0,0,3,26
2024,745816,673380,BULLPEN,6,1,0,0,1,0,3,8
2024,745816,677020,BULLPEN,3,1,0,0,0,0,0,3
2024,745818,656731,STARTER,21,3,0,0,1,0,9,25
2024,745818,657585,BULLPEN,1,1,0,0,0,0,0,3
2024,745818,518617,BULLPEN,2,1,0,0,0,0,1,3
2024,745818,493603,BULLPEN,3,3,1,0,0,0,1,5
2024,745818,605347,BULLPEN,3,3,2,1,0,0,2,6
2024,745817,656849,STARTER,15,7,2,1,1,0,3,22
2024,745817,656887,BULLPEN,4,2,0,0,1,0,2,6
2024,745817,518617,BULLPEN,2,0,0,0,0,0,1,2
2024,745817,493603,BULLPEN,1,3,4,1,1,0,1,5
2024,745817,605347,BULLPEN,1,2,2,1,1,0,0,4
2024,745817,677020,BULLPEN,4,2,1,1,0,0,2,6
2024,745819,681035,STARTER,15,4,2,0,1,0,4,20
2024,745819,605288,BULLPEN,6,0,0,0,1,0,2,7
2024,745819,664849,BULLPEN,3,0,0,0,0,0,2,3
2024,745819,657585,BULLPEN,3,0,0,0,1,0,0,4
2024,745820,622663,STARTER,16,6,4,1,1,1,4,25
2024,745820,673380,BULLPEN,2,0,0,0,0,0,2,2
2024,745820,518617,BULLPEN,3,0,0,0,0,0,1,3
2024,745820,656887,BULLPEN,4,1,2,0,2,0,1,7
2024,745820,657585,BULLPEN,2,2,2,2,0,0,1,4
2024,745812,640455,STARTER,17,6,5,1,2,0,10,25
2024,745812,677020,BULLPEN,7,5,4,0,3,0,2,15
2024,745812,664849,BULLPEN,3,0,0,0,0,0,1,3
2024,745813,500779,STARTER,12,4,3,2,3,2,4,21
2024,745813,673380,BULLPEN,4,1,0,0,0,0,3,5
2024,745813,664849,BULLPEN,2,1,0,0,0,0,1,3
2024,745813,657585,BULLPEN,3,0,0,0,0,0,3,3
2024,745813,493603,BULLPEN,3,0,0,0,0,0,2,3
2024,745813,518617,BULLPEN,1,2,2,1,0,0,0,3
2024,745813,656887,BULLPEN,2,1,0,0,0,0,0,3
2024,744854,656731,STARTER,15,7,4,1,3,0,4,25
2024,744854,605288,BULLPEN,7,2,0,0,2,0,0,11
2024,744854,622098,BULLPEN,2,0,0,0,0,0,1,2
2024,744854,493603,BULLPEN,1,2,2,0,1,1,0,5
2024,744854,518617,BULLPEN,2,0,0,0,0,0,1,2
2024,744850,656849,STARTER,20,5,2,0,2,2,2,28
2024,744850,673380,BULLPEN,4,0,0,0,0,0,1,4
2024,744850,657585,BULLPEN,3,1,1,0,2,0,2,6
2024,744852,622663,STARTER,24,7,1,0,0,0,4,27
