PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745848,642547,STARTER,2
2024,745850,669084,STARTER,2
2024,745850,669084,STARTER,3
2024,745850,571948,BULLPEN,8
2024,745850,669060,BULLPEN,8
2024,745850,669060,BULLPEN,8
2024,745850,682842,BULLPEN,9
2024,745845,607067,STARTER,2
2024,745843,656412,BULLPEN,9
2024,745843,656412,BULLPEN,9
2024,745844,663554,STARTER,3
2024,745844,663554,STARTER,3
2024,745844,663554,STARTER,5
2024,746733,668881,STARTER,5
2024,746733,518585,BULLPEN,7
2024,746733,641941,BULLPEN,8
2024,746731,607259,STARTER,4
2024,746731,607259,STARTER,4
2024,746731,607259,STARTER,4
2024,746731,607259,STARTER,4
2024,746731,607259,STARTER,5
2024,746731,664747,BULLPEN,9
2024,746734,671096,STARTER,1
2024,746734,671096,STARTER,2
2024,746734,671096,STARTER,4
2024,747142,450203,STARTER,4
2024,747142,450203,STARTER,5
2024,747142,450203,STARTER,5
2024,747142,450203,STARTER,5
2024,747142,621345,BULLPEN,7
2024,747142,572955,BULLPEN,8
2024,747142,572955,BULLPEN,8
2024,747142,572955,BULLPEN,8
2024,747138,554431,BULLPEN,8
2024,747138,554431,BULLPEN,8
2024,747138,554431,BULLPEN,8
2024,747138,628452,BULLPEN,9
2024,747138,628452,BULLPEN,9
2024,747137,642216,STARTER,1
2024,747137,642216,STARTER,2
2024,747137,642216,STARTER,2
2024,747137,642216,STARTER,3
2024,747137,642216,STARTER,3
2024,747137,642216,STARTER,3
2024,747137,642216,STARTER,3
2024,747137,669276,BULLPEN,7
2024,747137,669276,BULLPEN,7
2024,747137,669276,BULLPEN,7
2024,747137,554431,BULLPEN,8
2024,747137,554431,BULLPEN,8
2024,747137,641645,BULLPEN,9
2024,747137,641645,BULLPEN,9
2024,747137,641645,BULLPEN,9
2024,747137,641645,BULLPEN,9
2024,745838,608379,STARTER,3
2024,745838,608379,STARTER,4
2024,745838,608379,STARTER,4
2024,745838,608379,STARTER,5
2024,745838,608379,STARTER,5
2024,745838,519293,BULLPEN,8
2024,745839,679525,STARTER,1
2024,745839,679525,STARTER,1
