PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,33,152,40,68,44,90,62,300,18,1280,36,92,8,335,68,414,91,4.606060606060606,2.727272727272727,1.878787878787879,6.0,20.29850746268657,21.980676328502415
2024,DEBIL,HOME,28,167,56,61,50,99,68,234,27,1044,39,101,5,298,81,327,74,5.964285714285714,3.5357142857142856,2.4285714285714284,11.538461538461538,27.181208053691275,22.629969418960243
2024,FUERTE,AWAY,24,105,23,35,47,54,51,217,12,911,33,62,10,208,46,292,55,4.375,2.25,2.125,5.529953917050691,22.115384615384617,18.835616438356166
2024,FUERTE,HOME,24,105,40,34,31,62,43,213,14,902,34,92,4,226,46,308,69,4.375,2.5833333333333335,1.7916666666666667,6.572769953051643,20.353982300884955,22.4025974025974
2024,MEDIO,AWAY,24,129,37,55,37,77,52,218,16,953,32,68,6,253,64,307,73,5.375,3.2083333333333335,2.1666666666666665,7.339449541284404,25.296442687747035,23.778501628664497
2024,MEDIO,HOME,29,110,28,51,31,57,53,262,13,1082,33,99,6,258,50,341,68,3.793103448275862,1.9655172413793103,1.8275862068965518,4.961832061068702,19.37984496124031,19.941348973607038
2025,DEBIL,AWAY,31,166,46,48,72,85,81,283,21,1248,44,125,10,364,70,380,76,5.354838709677419,2.7419354838709675,2.6129032258064515,7.420494699646643,19.23076923076923,20.0
2025,DEBIL,HOME,29,152,68,42,42,86,66,247,21,1087,48,103,5,268,55,377,100,5.241379310344827,2.9655172413793105,2.2758620689655173,8.502024291497976,20.52238805970149,26.52519893899204
2025,FUERTE,AWAY,28,91,28,34,29,47,44,252,9,1014,35,81,1,203,38,318,51,3.25,1.6785714285714286,1.5714285714285714,3.5714285714285716,18.7192118226601,16.037735849056602
2025,FUERTE,HOME,24,112,41,31,40,69,43,208,15,891,35,72,1,212,54,300,68,4.666666666666667,2.875,1.7916666666666667,7.211538461538462,25.471698113207548,22.666666666666668
2025,MEDIO,AWAY,22,105,39,31,35,63,42,201,13,871,29,86,5,251,51,280,57,4.7727272727272725,2.8636363636363638,1.9090909090909092,6.467661691542289,20.318725099601593,20.357142857142858
2025,MEDIO,HOME,28,140,48,54,38,92,48,244,18,1068,33,96,7,284,72,361,91,5.0,3.2857142857142856,1.7142857142857142,7.377049180327869,25.35211267605634,25.20775623268698
2026_CUTOFF,DEBIL,AWAY,17,94,26,33,35,54,40,157,14,677,19,55,2,196,54,210,44,5.529411764705882,3.176470588235294,2.3529411764705883,8.9171974522293,27.551020408163264,20.952380952380953
2026_CUTOFF,DEBIL,HOME,21,91,32,36,23,61,30,185,13,776,23,66,2,186,41,258,48,4.333333333333333,2.9047619047619047,1.4285714285714286,7.027027027027027,22.043010752688172,18.6046511627907
2026_CUTOFF,FUERTE,AWAY,16,50,16,16,18,29,21,146,4,585,17,39,5,102,22,205,49,3.125,1.8125,1.3125,2.73972602739726,21.568627450980394,23.902439024390244
2026_CUTOFF,FUERTE,HOME,15,82,26,33,23,41,41,132,8,571,21,57,2,145,30,195,46,5.466666666666667,2.7333333333333334,2.7333333333333334,6.0606060606060606,20.689655172413794,23.58974358974359
2026_CUTOFF,MEDIO,AWAY,21,60,23,16,21,39,21,193,3,781,25,63,6,169,19,262,49,2.857142857142857,1.8571428571428572,1.0,1.5544041450777202,11.242603550295858,18.702290076335878
2026_CUTOFF,MEDIO,HOME,13,42,11,20,11,20,22,117,6,483,16,44,3,102,14,171,35,3.230769230769231,1.5384615384615385,1.6923076923076923,5.128205128205129,13.72549019607843,20.46783625730994
