PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746418,False,AWAY,117,Houston Astros,FUERTE,5,4,0,4,1,4,0,0,9,1,3,2,0
2024,2024-03-29,746412,False,AWAY,117,Houston Astros,FUERTE,7,1,0,0,7,1,0,0,9,1,0,7,0
2024,2024-03-30,746410,False,AWAY,117,Houston Astros,FUERTE,5,3,1,0,4,2,1,0,9,1,1,4,0
2024,2024-03-31,746413,False,AWAY,117,Houston Astros,FUERTE,4,3,1,2,1,1,2,0,9,0,3,1,0
2024,2024-04-01,747218,False,AWAY,109,Arizona Diamondbacks,DEBIL,5,2,5,0,0,1,0,1,9,1,5,0,0
2024,2024-04-02,747220,False,AWAY,109,Arizona Diamondbacks,DEBIL,0,7,0,0,0,3,0,4,9,0,0,0,0
2024,2024-04-03,747219,False,AWAY,109,Arizona Diamondbacks,DEBIL,6,5,0,2,4,1,1,3,11,0,2,4,0
2024,2024-04-05,745764,True,HOME,141,Toronto Blue Jays,DEBIL,0,3,0,0,0,0,0,3,9,0,0,0,0
2024,2024-04-06,745766,True,HOME,141,Toronto Blue Jays,DEBIL,9,8,6,3,0,1,1,6,8,2,6,3,0
2024,2024-04-07,745765,True,HOME,141,Toronto Blue Jays,DEBIL,8,3,5,1,2,1,2,0,8,1,5,3,0
2024,2024-04-08,745761,True,HOME,146,Miami Marlins,DEBIL,7,0,0,7,0,0,0,0,8,1,7,0,0
2024,2024-04-09,745762,True,HOME,146,Miami Marlins,DEBIL,3,2,1,2,0,0,0,2,8,0,2,1,0
2024,2024-04-10,745763,True,HOME,146,Miami Marlins,DEBIL,2,5,0,1,1,4,0,1,9,0,0,2,0
2024,2024-04-13,746656,False,AWAY,114,Cleveland Guardians,FUERTE,3,2,1,2,0,0,2,0,9,0,1,2,0
2024,2024-04-13,746658,False,AWAY,114,Cleveland Guardians,FUERTE,8,2,2,6,0,0,1,1,9,1,6,2,0
2024,2024-04-14,746648,False,AWAY,114,Cleveland Guardians,FUERTE,7,8,3,1,3,2,2,4,10,1,4,3,0
2024,2024-04-15,744951,False,AWAY,141,Toronto Blue Jays,DEBIL,1,3,1,0,0,3,0,0,9,0,1,0,0
2024,2024-04-16,744944,False,AWAY,141,Toronto Blue Jays,DEBIL,4,5,1,0,3,1,4,0,9,0,1,3,0
2024,2024-04-17,744948,False,AWAY,141,Toronto Blue Jays,DEBIL,6,4,0,1,5,2,0,2,9,1,1,5,0
2024,2024-04-19,745758,True,HOME,139,Tampa Bay Rays,FUERTE,5,3,0,0,5,0,1,2,8,1,0,5,0
2024,2024-04-20,745760,True,HOME,139,Tampa Bay Rays,FUERTE,0,2,0,0,0,0,0,2,10,0,0,0,0
2024,2024-04-21,745759,True,HOME,139,Tampa Bay Rays,FUERTE,5,4,1,4,0,1,0,3,8,1,5,0,0
2024,2024-04-22,745757,True,HOME,133,Athletics,DEBIL,0,2,0,0,0,0,0,2,9,0,0,0,0
2024,2024-04-23,745754,True,HOME,133,Athletics,DEBIL,4,3,4,0,0,2,1,0,8,1,4,0,0
2024,2024-04-24,745753,True,HOME,133,Athletics,DEBIL,7,3,2,4,1,0,3,0,8,0,2,5,0
2024,2024-04-25,745755,True,HOME,133,Athletics,DEBIL,1,3,1,0,0,3,0,0,9,0,1,0,0
2024,2024-04-26,746000,False,AWAY,158,Milwaukee Brewers,FUERTE,6,7,2,3,1,4,1,2,11,1,5,1,0
2024,2024-04-27,745998,False,AWAY,158,Milwaukee Brewers,FUERTE,15,3,6,5,4,1,0,2,9,4,7,8,0
2024,2024-04-28,746001,False,AWAY,158,Milwaukee Brewers,FUERTE,15,5,1,10,4,0,5,0,9,2,4,11,0
2024,2024-04-29,747046,False,AWAY,110,Baltimore Orioles,MEDIO,0,2,0,0,0,1,0,1,9,0,0,0,0
2024,2024-04-30,747047,False,AWAY,110,Baltimore Orioles,MEDIO,2,4,1,1,0,1,3,0,9,0,2,0,0
2024,2024-05-01,747048,False,AWAY,110,Baltimore Orioles,MEDIO,2,0,0,2,0,0,0,0,9,0,2,0,0
2024,2024-05-02,747044,False,AWAY,110,Baltimore Orioles,MEDIO,2,7,1,1,0,1,6,0,9,0,1,1,0
2024,2024-05-03,745756,True,HOME,116,Detroit Tigers,FUERTE,2,1,0,0,2,0,1,0,9,0,0,2,0
2024,2024-05-04,745750,True,HOME,116,Detroit Tigers,FUERTE,5,3,5,0,0,1,2,0,8,1,5,0,0
2024,2024-05-05,745751,True,HOME,116,Detroit Tigers,FUERTE,5,2,2,0,3,0,0,2,7,1,2,3,0
2024,2024-05-07,745752,True,HOME,117,Houston Astros,FUERTE,10,3,4,4,2,1,0,2,8,1,7,3,0
2024,2024-05-08,745749,True,HOME,117,Houston Astros,FUERTE,9,4,5,3,1,1,0,3,8,1,5,4,0
2024,2024-05-09,745748,True,HOME,117,Houston Astros,FUERTE,3,4,2,0,1,3,1,0,9,0,2,1,0
2024,2024-05-10,745094,False,AWAY,139,Tampa Bay Rays,FUERTE,2,0,0,1,1,0,0,0,9,0,1,1,0
2024,2024-05-11,745096,False,AWAY,139,Tampa Bay Rays,FUERTE,2,7,2,0,0,4,0,3,9,0,2,0,0
2024,2024-05-12,745092,False,AWAY,139,Tampa Bay Rays,FUERTE,10,6,2,4,4,0,0,6,9,1,6,4,0
2024,2024-05-14,745909,False,AWAY,142,Minnesota Twins,MEDIO,5,1,3,2,0,1,0,0,9,0,5,0,0
2024,2024-05-15,745908,False,AWAY,142,Minnesota Twins,MEDIO,4,0,3,0,1,0,0,0,9,0,3,1,0
2024,2024-05-16,745907,False,AWAY,142,Minnesota Twins,MEDIO,5,0,3,1,1,0,0,0,9,1,4,1,0
2024,2024-05-17,745747,True,HOME,145,Chicago White Sox,DEBIL,4,2,1,3,0,1,0,1,8,0,3,1,0
2024,2024-05-18,745744,True,HOME,145,Chicago White Sox,DEBIL,6,1,5,1,0,1,0,0,8,0,6,0,0
2024,2024-05-19,745745,True,HOME,145,Chicago White Sox,DEBIL,7,2,2,5,0,2,0,0,8,1,7,0,0
