DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,746418,5,2024
2024-03-29,746412,7,2024
2024-03-30,746410,5,2024
2024-03-31,746413,4,2024
2024-04-01,747218,5,2024
2024-04-02,747220,0,2024
2024-04-03,747219,6,2024
2024-04-05,745764,0,2024
2024-04-06,745766,9,2024
2024-04-07,745765,8,2024
2024-04-08,745761,7,2024
2024-04-09,745762,3,2024
2024-04-10,745763,2,2024
2024-04-13,746656,3,2024
2024-04-13,746658,8,2024
2024-04-14,746648,7,2024
2024-04-15,744951,1,2024
2024-04-16,744944,4,2024
2024-04-17,744948,6,2024
2024-04-19,745758,5,2024
2024-04-20,745760,0,2024
2024-04-21,745759,5,2024
2024-04-22,745757,0,2024
2024-04-23,745754,4,2024
2024-04-24,745753,7,2024
2024-04-25,745755,1,2024
2024-04-26,746000,6,2024
2024-04-27,745998,15,2024
2024-04-28,746001,15,2024
2024-04-29,747046,0,2024
2024-04-30,747047,2,2024
2024-05-01,747048,2,2024
2024-05-02,747044,2,2024
2024-05-03,745756,2,2024
2024-05-04,745750,5,2024
2024-05-05,745751,5,2024
2024-05-07,745752,10,2024
2024-05-08,745749,9,2024
2024-05-09,745748,3,2024
2024-05-10,745094,2,2024
2024-05-11,745096,2,2024
2024-05-12,745092,10,2024
2024-05-14,745909,5,2024
2024-05-15,745908,4,2024
2024-05-16,745907,5,2024
2024-05-17,745747,4,2024
2024-05-18,745744,6,2024
2024-05-19,745745,7,2024
2024-05-20,745746,4,2024
2024-05-21,745742,3,2024
2024-05-22,745743,7,2024
2024-05-23,745741,5,2024
2024-05-24,745415,8,2024
2024-05-25,745411,4,2024
2024-05-26,745413,2,2024
2024-05-28,746229,3,2024
2024-05-29,746228,2,2024
2024-05-30,746225,8,2024
2024-05-31,745331,6,2024
2024-06-01,745332,7,2024
2024-06-02,745330,7,2024
2024-06-04,745739,5,2024
2024-06-05,745740,9,2024
2024-06-06,745738,8,2024
2024-06-07,745737,1,2024
2024-06-08,745735,3,2024
2024-06-09,745736,6,2024
2024-06-10,746295,4,2024
2024-06-11,746296,10,2024
2024-06-12,746294,11,2024
2024-06-13,746299,3,2024
2024-06-14,746947,8,2024
2024-06-15,746946,4,2024
2024-06-16,746945,3,2024
2024-06-18,745733,4,2024
2024-06-19,745732,6,2024
2024-06-20,745734,5,2024
2024-06-21,745729,1,2024
2024-06-22,745731,8,2024
2024-06-23,745727,1,2024
2024-06-25,745806,7,2024
2024-06-26,745808,2,2024
2024-06-27,744919,2,2024
2024-06-28,744922,16,2024
2024-06-29,744921,3,2024
2024-06-30,744916,8,2024
2024-07-02,745730,4,2024
2024-07-03,745728,2,2024
2024-07-04,745726,4,2024
2024-07-05,745725,3,2024
2024-07-06,745724,14,2024
2024-07-07,745723,0,2024
2024-07-09,745074,3,2024
2024-07-10,745069,2,2024
2024-07-11,745065,4,2024
2024-07-12,747012,4,2024
2024-07-13,747013,6,2024
2024-07-14,747009,5,2024
2024-07-19,745721,6,2024
2024-07-20,745720,1,2024
2024-07-21,745722,4,2024
2024-07-22,745717,9,2024
2024-07-23,745715,2,2024
2024-07-24,745716,3,2024
2024-07-26,746933,7,2024
2024-07-27,746931,11,2024
2024-07-28,746929,8,2024
2024-07-29,745547,14,2024
2024-07-30,745546,7,2024
2024-07-31,745543,6,2024
2024-08-02,745719,5,2024
2024-08-03,745714,8,2024
2024-08-04,745718,4,2024
2024-08-07,745709,5,2024
2024-08-07,745713,2,2024
2024-08-08,745710,4,2024
2024-08-10,745708,4,2024
2024-08-10,745712,8,2024
2024-08-11,745711,8,2024
2024-08-12,746762,2,2024
2024-08-13,746757,4,2024
2024-08-14,746759,10,2024
2024-08-16,746438,3,2024
2024-08-17,746434,0,2024
2024-08-18,746431,2,2024
2024-08-20,745707,5,2024
2024-08-21,745704,8,2024
2024-08-22,745705,6,2024
2024-08-23,745702,3,2024
2024-08-24,745703,2,2024
2024-08-25,745706,10,2024
2024-08-26,744813,5,2024
2024-08-27,744811,2,2024
2024-08-28,744809,2,2024
2024-08-30,745700,6,2024
2024-08-31,745699,5,2024
2024-09-01,745701,7,2024
2024-09-02,744972,8,2024
2024-09-03,744968,4,2024
2024-09-04,744964,6,2024
2024-09-06,746832,3,2024
2024-09-07,746829,2,2024
2024-09-08,746827,1,2024
2024-09-09,745698,10,2024
2024-09-10,745694,0,2024
2024-09-11,745697,4,2024
2024-09-12,745695,2,2024
2024-09-13,745696,5,2024
2024-09-14,745689,1,2024
2024-09-15,745693,5,2024
2024-09-17,745205,11,2024
2024-09-18,745199,2,2024
2024-09-19,745204,2,2024
2024-09-20,745606,4,2024
2024-09-21,745610,10,2024
2024-09-22,745608,7,2024
2024-09-24,745688,3,2024
2024-09-25,745690,7,2024
2024-09-26,745691,10,2024
2024-09-27,745692,2,2024
2024-09-28,745685,4,2024
2024-09-29,745686,6,2024
2025-03-27,778557,4,2025
2025-03-29,778538,20,2025
2025-03-30,778523,12,2025
2025-04-01,778492,5,2025
2025-04-02,778484,3,2025
2025-04-03,778466,9,2025
2025-04-04,778461,9,2025
2025-04-05,778449,10,2025
2025-04-06,778428,4,2025
2025-04-07,778424,2,2025
2025-04-08,778403,0,2025
2025-04-09,778387,4,2025
2025-04-11,778370,1,2025
2025-04-12,778355,8,2025
2025-04-13,778339,4,2025
2025-04-14,778327,4,2025
2025-04-15,778312,4,2025
2025-04-16,778300,4,2025
2025-04-17,778282,6,2025
2025-04-18,778272,1,2025
2025-04-19,778255,8,2025
2025-04-20,778240,4,2025
2025-04-21,778227,4,2025
2025-04-22,778218,2,2025
2025-04-23,778206,5,2025
2025-04-25,778185,2,2025
2025-04-27,778156,11,2025
2025-04-27,778170,5,2025
2025-04-28,778140,3,2025
2025-04-29,778133,15,2025
2025-04-30,778115,4,2025
2025-05-02,778088,3,2025
2025-05-03,778074,2,2025
2025-05-04,778057,5,2025
2025-05-05,778045,3,2025
2025-05-06,778041,12,2025
2025-05-07,778019,4,2025
2025-05-09,777994,10,2025
2025-05-10,777972,7,2025
2025-05-11,777957,12,2025
2025-05-12,777941,11,2025
2025-05-13,777926,1,2025
2025-05-14,777915,3,2025
2025-05-16,777904,6,2025
2025-05-17,777888,2,2025
2025-05-18,777878,8,2025
2025-05-20,777849,5,2025
2025-05-21,777835,4,2025
2025-05-22,777818,1,2025
2025-05-23,777802,2,2025
2025-05-24,777782,13,2025
2025-05-25,777768,5,2025
2025-05-26,777763,5,2025
2025-05-27,777745,3,2025
2025-05-28,777728,1,2025
2025-05-30,777708,5,2025
2025-05-31,777698,2,2025
2025-06-01,777682,7,2025
2025-06-03,777664,3,2025
2025-06-04,777653,0,2025
2025-06-05,777644,4,2025
2025-06-06,777627,9,2025
2025-06-07,777605,7,2025
2025-06-08,777593,7,2025
2025-06-10,777572,10,2025
2025-06-11,777551,6,2025
2025-06-12,777536,1,2025
2025-06-13,777537,1,2025
2025-06-14,777516,3,2025
2025-06-15,777500,0,2025
2025-06-16,777487,0,2025
2025-06-17,777476,0,2025
2025-06-18,777466,2,2025
2025-06-19,777449,7,2025
2025-06-20,777438,3,2025
2025-06-21,777422,9,2025
2025-06-22,777406,4,2025
2025-06-23,777390,1,2025
2025-06-24,777385,4,2025
2025-06-25,777367,7,2025
2025-06-27,777337,3,2025
2025-06-28,777326,0,2025
2025-06-29,777307,12,2025
2025-06-30,777295,4,2025
2025-07-01,777283,5,2025
2025-07-02,777274,9,2025
2025-07-03,777260,5,2025
2025-07-04,777250,5,2025
2025-07-05,777241,6,2025
2025-07-06,777216,6,2025
2025-07-08,777187,10,2025
2025-07-09,777184,9,2025
2025-07-10,777169,6,2025
2025-07-11,777153,11,2025
2025-07-12,777142,2,2025
2025-07-13,777122,1,2025
2025-07-18,777114,3,2025
2025-07-19,777097,12,2025
2025-07-20,777083,4,2025
2025-07-21,777066,1,2025
2025-07-22,777046,5,2025
2025-07-23,777027,4,2025
2025-07-25,777015,5,2025
2025-07-26,777001,4,2025
2025-07-27,776988,4,2025
2025-07-28,776970,2,2025
2025-07-29,776949,7,2025
2025-07-30,776938,5,2025
2025-07-31,776927,7,2025
2025-08-01,776925,12,2025
2025-08-02,776910,0,2025
2025-08-03,776891,3,2025
2025-08-04,776871,5,2025
2025-08-05,776855,0,2025
2025-08-06,776845,3,2025
2025-08-08,776835,3,2025
2025-08-09,776815,5,2025
2025-08-10,776797,1,2025
2025-08-11,776790,6,2025
2025-08-12,776774,9,2025
2025-08-13,776760,1,2025
2025-08-15,776731,4,2025
2025-08-16,776713,12,2025
2025-08-17,776698,8,2025
2025-08-19,776677,13,2025
2025-08-20,776664,6,2025
2025-08-21,776654,3,2025
2025-08-22,776647,0,2025
2025-08-23,776627,1,2025
2025-08-24,776616,7,2025
2025-08-25,776597,10,2025
2025-08-26,776588,5,2025
2025-08-27,776570,11,2025
2025-08-28,776556,10,2025
2025-08-29,776544,10,2025
2025-08-30,776529,5,2025
2025-08-31,776514,2,2025
2025-09-02,776489,7,2025
2025-09-03,776472,7,2025
2025-09-04,776464,8,2025
2025-09-05,776457,1,2025
2025-09-06,776436,3,2025
2025-09-07,776423,4,2025
2025-09-09,776398,2,2025
2025-09-10,776383,1,2025
2025-09-11,776368,9,2025
2025-09-12,776363,4,2025
2025-09-13,776344,5,2025
2025-09-14,776330,4,2025
2025-09-15,776313,0,2025
2025-09-16,776298,10,2025
2025-09-17,776284,10,2025
2025-09-18,776278,7,2025
2025-09-19,776273,2,2025
2025-09-20,776257,6,2025
2025-09-21,776240,7,2025
2025-09-23,776216,3,2025
2025-09-24,776199,8,2025
2025-09-25,776184,5,2025
2025-09-26,776174,8,2025
2025-09-27,776162,6,2025
2025-09-28,776140,3,2025
2026-03-25,823244,7,2026_CUTOFF
2026-03-27,823243,3,2026_CUTOFF
2026-03-28,823241,3,2026_CUTOFF
2026-03-30,823159,1,2026_CUTOFF
2026-03-31,823158,5,2026_CUTOFF
2026-04-01,823157,5,2026_CUTOFF
2026-04-03,823568,8,2026_CUTOFF
2026-04-04,823569,9,2026_CUTOFF
2026-04-05,823566,6,2026_CUTOFF
2026-04-07,823567,5,2026_CUTOFF
2026-04-08,823564,2,2026_CUTOFF
2026-04-09,823565,0,2026_CUTOFF
2026-04-10,822997,3,2026_CUTOFF
2026-04-11,822996,4,2026_CUTOFF
2026-04-12,822998,4,2026_CUTOFF
2026-04-13,823563,11,2026_CUTOFF
2026-04-14,823562,1,2026_CUTOFF
2026-04-15,823561,5,2026_CUTOFF
2026-04-16,823560,4,2026_CUTOFF
2026-04-17,823559,4,2026_CUTOFF
2026-04-18,823558,13,2026_CUTOFF
2026-04-19,823556,7,2026_CUTOFF
2026-04-21,824773,4,2026_CUTOFF
2026-04-22,824774,4,2026_CUTOFF
2026-04-23,824770,4,2026_CUTOFF
2026-04-24,824204,12,2026_CUTOFF
2026-04-25,824203,8,2026_CUTOFF
2026-04-26,824202,4,2026_CUTOFF
2026-04-27,822906,4,2026_CUTOFF
2026-04-28,822908,3,2026_CUTOFF
2026-04-29,822907,0,2026_CUTOFF
2026-05-01,823557,7,2026_CUTOFF
2026-05-02,823554,9,2026_CUTOFF
2026-05-03,823555,11,2026_CUTOFF
2026-05-04,823552,12,2026_CUTOFF
2026-05-05,823553,7,2026_CUTOFF
2026-05-06,823550,1,2026_CUTOFF
2026-05-07,823551,9,2026_CUTOFF
2026-05-08,823794,0,2026_CUTOFF
2026-05-09,823792,3,2026_CUTOFF
2026-05-10,823793,3,2026_CUTOFF
2026-05-11,824844,2,2026_CUTOFF
2026-05-12,824843,6,2026_CUTOFF
