PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746418,641482,STARTER,15,5,4,1,2,0,5,22
2024,746418,642528,BULLPEN,6,4,0,0,0,0,1,10
2024,746418,641656,BULLPEN,3,1,0,0,0,0,1,3
2024,746418,605280,BULLPEN,3,3,0,0,0,0,0,5
2024,746412,607074,STARTER,13,5,1,0,3,0,4,21
2024,746412,595897,BULLPEN,2,0,0,0,1,0,1,3
2024,746412,596133,BULLPEN,4,0,0,0,0,0,0,4
2024,746412,624647,BULLPEN,1,1,0,0,1,0,0,3
2024,746412,657571,BULLPEN,4,0,0,0,1,0,1,5
2024,746412,690925,BULLPEN,3,1,0,0,0,0,0,3
2024,746410,573186,STARTER,18,4,0,0,2,1,4,25
2024,746410,641656,BULLPEN,6,0,0,0,0,0,2,6
2024,746410,605280,BULLPEN,3,0,0,0,0,1,0,4
2024,746413,657376,STARTER,16,7,3,1,0,0,5,21
2024,746413,642528,BULLPEN,3,3,0,0,1,0,1,7
2024,746413,657571,BULLPEN,3,0,0,0,1,0,1,4
2024,746413,595897,BULLPEN,2,0,0,0,0,0,1,2
2024,746413,605280,BULLPEN,3,2,0,0,0,0,0,5
2024,747218,661563,STARTER,14,1,1,0,3,0,6,18
2024,747218,596133,BULLPEN,7,2,1,0,1,1,0,12
2024,747218,595897,BULLPEN,3,0,0,0,0,0,1,3
2024,747218,624647,BULLPEN,3,1,0,0,0,0,0,4
2024,747220,641482,STARTER,15,8,3,0,2,0,2,24
2024,747220,624647,BULLPEN,3,1,1,0,1,0,1,5
2024,747220,664776,BULLPEN,6,2,1,1,1,0,4,10
2024,747219,607074,STARTER,16,7,2,2,2,0,3,24
2024,747219,641656,BULLPEN,8,0,0,0,0,0,4,7
2024,747219,642528,BULLPEN,3,0,0,0,0,0,1,3
2024,747219,605280,BULLPEN,4,1,0,0,0,1,1,7
2024,747219,657571,BULLPEN,2,1,0,0,1,0,2,4
2024,745764,573186,STARTER,18,3,0,0,1,0,6,23
2024,745764,657571,BULLPEN,2,2,1,1,0,0,0,4
2024,745764,642701,BULLPEN,5,2,2,0,1,0,1,8
2024,745764,595897,BULLPEN,2,0,0,0,2,0,1,4
2024,745766,657376,STARTER,13,6,2,0,3,0,4,22
2024,745766,596133,BULLPEN,6,3,3,1,1,1,1,11
2024,745766,624647,BULLPEN,4,0,0,0,1,0,0,5
2024,745766,641656,BULLPEN,2,2,3,0,1,0,0,5
2024,745766,605280,BULLPEN,2,1,0,0,0,0,1,3
2024,745765,661563,STARTER,13,2,2,0,4,1,8,20
2024,745765,664776,BULLPEN,3,2,0,0,2,0,0,7
2024,745765,595897,BULLPEN,2,0,0,0,0,1,0,4
2024,745765,657571,BULLPEN,4,1,0,0,0,0,1,5
2024,745765,642701,BULLPEN,5,0,0,0,0,0,2,5
2024,745761,641482,STARTER,24,2,0,0,0,0,6,26
2024,745761,656671,BULLPEN,3,0,0,0,0,0,0,3
2024,745762,607074,STARTER,18,5,2,0,2,0,6,24
2024,745762,641656,BULLPEN,6,0,0,0,1,0,0,7
2024,745762,605280,BULLPEN,3,0,0,0,0,0,1,3
2024,745763,573186,STARTER,15,4,4,1,4,0,7,21
2024,745763,596133,BULLPEN,6,1,0,0,1,0,1,8
2024,745763,624647,BULLPEN,3,0,0,0,0,0,0,3
2024,745763,642701,BULLPEN,3,1,1,0,1,0,0,5
2024,746656,657376,STARTER,15,3,1,0,5,0,7,20
2024,746656,657571,BULLPEN,3,0,0,0,1,0,1,4
2024,746656,641656,BULLPEN,6,1,0,0,1,0,1,8
2024,746656,605280,BULLPEN,3,1,0,0,0,0,2,4
2024,746658,547001,STARTER,18,6,1,1,0,0,4,23
2024,746658,642701,BULLPEN,6,0,0,0,1,0,1,6
2024,746658,676760,BULLPEN,3,1,1,1,0,0,1,4
2024,746648,641482,STARTER,12,5,4,2,1,1,6,20
2024,746648,595897,BULLPEN,3,1,0,0,0,0,2,4
2024,746648,624647,BULLPEN,4,0,0,0,0,0,1,4
2024,746648,596133,BULLPEN,5,1,1,1,0,0,3,6
2024,746648,605280,BULLPEN,3,0,0,0,1,0,1,4
2024,746648,657571,BULLPEN,2,2,2,0,0,0,0,5
2024,744951,661563,STARTER,15,3,3,0,7,0,6,23
2024,744951,676760,BULLPEN,6,1,0,0,1,0,1,7
2024,744951,642701,BULLPEN,3,0,0,0,0,0,1,3
2024,744944,607074,STARTER,12,5,3,0,4,0,5,21
2024,744944,596133,BULLPEN,4,2,2,0,0,0,2,6
2024,744944,595897,BULLPEN,5,1,0,0,2,0,2,8
2024,744944,624647,BULLPEN,3,0,0,0,1,0,0,4
2024,744948,573186,STARTER,16,6,2,1,2,0,2,22
2024,744948,657571,BULLPEN,3,1,2,1,1,0,1,5
2024,744948,641656,BULLPEN,4,1,0,0,1,0,2,6
2024,744948,624647,BULLPEN,1,0,0,0,0,0,0,1
2024,744948,605280,BULLPEN,3,1,0,0,0,0,0,4
2024,745758,657376,STARTER,16,7,1,1,0,1,7,23
2024,745758,642701,BULLPEN,5,2,0,0,0,0,1,5
2024,745758,641656,BULLPEN,3,3,2,0,1,0,0,7
2024,745758,605280,BULLPEN,3,2,0,0,0,0,0,4
2024,745760,641482,STARTER,21,6,0,0,0,0,9,26
2024,745760,596133,BULLPEN,3,0,0,0,0,0,1,3
2024,745760,605280,BULLPEN,3,1,0,0,0,0,2,4
2024,745760,657571,BULLPEN,3,2,1,0,0,0,2,5
2024,745759,661563,STARTER,17,2,0,0,3,0,9,23
2024,745759,596133,BULLPEN,4,0,0,0,0,0,1,5
2024,745759,642701,BULLPEN,3,3,3,0,1,0,1,7
2024,745759,624647,BULLPEN,3,0,0,0,1,0,1,4
2024,745757,607074,STARTER,21,1,0,0,2,2,4,25
2024,745757,641656,BULLPEN,3,1,0,0,1,1,2,6
2024,745757,624647,BULLPEN,0,2,2,1,1,0,0,3
2024,745757,676760,BULLPEN,3,0,0,0,0,0,2,3
2024,745754,573186,STARTER,16,7,3,2,1,0,9,24
2024,745754,676760,BULLPEN,3,0,0,0,1,0,1,4
2024,745754,657571,BULLPEN,3,0,0,0,0,0,1,3
2024,745754,642701,BULLPEN,2,0,0,0,0,0,0,2
2024,745754,605280,BULLPEN,3,0,0,0,0,0,2,3
2024,745753,657376,STARTER,16,4,3,1,2,1,6,22
2024,745753,596133,BULLPEN,8,0,0,0,0,0,3,8
2024,745753,641656,BULLPEN,3,0,0,0,0,0,0,3
2024,745755,641482,STARTER,21,5,3,2,0,0,4,26
2024,745755,642701,BULLPEN,3,1,0,0,1,0,1,5
2024,745755,624647,BULLPEN,3,0,0,0,0,0,0,2
2024,746000,661563,STARTER,15,7,5,2,2,0,6,24
2024,746000,676760,BULLPEN,4,0,0,0,0,0,1,4
2024,746000,642701,BULLPEN,2,1,0,0,0,0,1,3
2024,746000,657571,BULLPEN,3,0,0,0,1,0,1,4
2024,746000,605280,BULLPEN,3,0,0,0,0,0,2,3
2024,746000,543859,BULLPEN,4,2,0,0,0,0,0,6
2024,745998,607074,STARTER,18,2,1,1,1,0,8,21
2024,745998,596133,BULLPEN,6,1,0,0,1,0,2,8
2024,745998,624431,BULLPEN,3,2,2,0,1,0,0,6
2024,746001,573186,STARTER,12,6,4,1,5,1,4,23
2024,746001,676760,BULLPEN,4,1,1,0,1,0,1,6
2024,746001,641656,BULLPEN,2,1,0,0,1,1,0,5
2024,746001,543859,BULLPEN,4,2,0,0,0,0,1,6
2024,746001,657571,BULLPEN,2,0,0,0,0,0,2,2
2024,746001,624647,BULLPEN,3,1,0,0,1,0,1,5
2024,747046,657376,STARTER,17,3,1,1,3,0,5,22
2024,747046,642701,BULLPEN,4,0,0,0,0,0,0,4
2024,747046,657571,BULLPEN,2,1,0,0,0,1,0,4
2024,747046,605280,BULLPEN,1,0,0,0,0,0,1,2
2024,747047,641482,STARTER,18,8,4,0,2,0,5,28
2024,747047,596133,BULLPEN,6,1,0,0,0,0,3,7
2024,747048,661563,STARTER,19,2,0,0,1,0,5,22
2024,747048,657571,BULLPEN,2,0,0,0,0,0,2,2
2024,747048,641656,BULLPEN,1,0,0,0,1,1,0,3
2024,747048,605280,BULLPEN,5,1,0,0,0,0,3,6
2024,747044,607074,STARTER,12,8,6,3,0,2,6,23
2024,747044,676760,BULLPEN,6,0,0,0,0,1,1,6
2024,747044,543859,BULLPEN,6,0,0,0,0,0,2,6
2024,745756,573186,STARTER,16,3,1,0,5,0,3,23
2024,745756,641656,BULLPEN,4,2,0,0,0,0,1,6
2024,745756,624647,BULLPEN,4,0,0,0,1,0,0,5
2024,745756,642701,BULLPEN,3,0,0,0,1,0,0,4
2024,745750,657376,STARTER,15,4,3,1,0,2,7,20
2024,745750,657571,BULLPEN,1,1,0,0,1,0,1,3
2024,745750,596133,BULLPEN,7,1,0,0,0,0,4,8
2024,745750,605280,BULLPEN,4,1,0,0,0,0,2,4
2024,745751,641482,STARTER,19,3,2,0,1,0,9,23
2024,745751,641656,BULLPEN,1,1,0,0,1,0,0,3
2024,745751,624647,BULLPEN,1,0,0,0,0,0,0,1
2024,745751,642701,BULLPEN,3,1,0,0,0,0,2,4
2024,745752,661563,STARTER,18,1,1,1,4,0,5,23
2024,745752,676760,BULLPEN,6,1,0,0,1,0,0,7
2024,745752,543859,BULLPEN,3,1,0,0,1,0,0,6
2024,745749,607074,STARTER,19,7,2,1,0,1,7,27
2024,745749,657571,BULLPEN,2,0,0,0,0,0,0,2
2024,745749,624647,BULLPEN,2,1,1,1,0,0,0,3
2024,745749,641656,BULLPEN,4,3,1,0,0,0,1,7
2024,745748,573186,STARTER,17,9,4,2,2,0,5,26
2024,745748,596133,BULLPEN,4,0,0,0,0,0,2,4
2024,745748,642701,BULLPEN,3,1,0,0,0,0,1,4
2024,745748,676760,BULLPEN,3,1,0,0,1,0,2,5
2024,745094,657376,STARTER,20,5,0,0,2,0,6,24
2024,745094,595897,BULLPEN,1,0,0,0,0,0,0,0
2024,745094,596133,BULLPEN,3,0,0,0,0,0,2,3
2024,745094,605280,BULLPEN,3,1,0,0,2,0,3,6
2024,745096,641482,STARTER,16,5,4,2,3,0,5,23
2024,745096,642701,BULLPEN,3,2,3,0,1,0,1,6
2024,745096,641656,BULLPEN,2,1,0,0,0,0,0,3
2024,745096,543859,BULLPEN,3,0,0,0,1,0,2,4
2024,745092,661563,STARTER,18,3,0,0,2,0,3,22
2024,745092,657571,BULLPEN,1,3,4,1,1,0,1,5
2024,745092,595897,BULLPEN,0,0,1,0,2,1,0,3
2024,745092,596133,BULLPEN,5,0,0,0,0,1,2,6
2024,745092,641656,BULLPEN,3,2,1,1,0,0,2,5
2024,745909,607074,STARTER,18,6,1,1,0,0,6,24
2024,745909,641656,BULLPEN,6,1,0,0,0,0,2,7
2024,745909,605280,BULLPEN,3,0,0,0,0,0,0,3
2024,745908,573186,STARTER,18,2,0,0,3,0,2,24
2024,745908,596133,BULLPEN,6,2,0,0,1,0,3,8
2024,745908,657571,BULLPEN,3,0,0,0,0,0,1,3
2024,745907,657376,STARTER,24,3,0,0,0,1,8,30
2024,745907,624647,BULLPEN,3,0,0,0,0,0,0,3
2024,745747,641482,STARTER,21,5,0,0,1,0,6,27
2024,745747,641656,BULLPEN,1,3,1,0,0,0,1,4
2024,745747,657571,BULLPEN,2,0,0,0,0,0,1,2
2024,745747,605280,BULLPEN,3,0,0,0,1,0,2,4
2024,745744,661563,STARTER,18,5,1,0,1,0,14,24
2024,745744,595897,BULLPEN,6,1,0,0,0,0,2,7
2024,745744,642701,BULLPEN,3,0,0,0,0,0,0,3
2024,745745,607074,STARTER,18,4,2,1,2,1,6,24
2024,745745,543859,BULLPEN,7,2,0,0,1,0,2,10
2024,745745,605280,BULLPEN,2,0,0,0,0,0,0,2
