PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746418,664285,STARTER,5
2024,746418,664285,STARTER,5
2024,746418,664285,STARTER,5
2024,746418,606160,BULLPEN,6
2024,746418,519151,BULLPEN,7
2024,746412,605463,BULLPEN,7
2024,746412,605463,BULLPEN,7
2024,746412,656786,BULLPEN,8
2024,746412,656786,BULLPEN,8
2024,746412,656786,BULLPEN,8
2024,746412,656786,BULLPEN,8
2024,746412,656232,BULLPEN,9
2024,746410,686613,STARTER,3
2024,746410,650556,BULLPEN,7
2024,746410,650556,BULLPEN,7
2024,746410,650556,BULLPEN,7
2024,746410,519151,BULLPEN,8
2024,746413,641585,STARTER,2
2024,746413,641585,STARTER,4
2024,746413,641585,STARTER,5
2024,746413,623352,BULLPEN,9
2024,747218,669194,STARTER,2
2024,747218,669194,STARTER,2
2024,747218,669194,STARTER,3
2024,747218,669194,STARTER,3
2024,747218,669194,STARTER,3
2024,747219,518876,STARTER,4
2024,747219,518876,STARTER,4
2024,747219,656464,BULLPEN,10
2024,747219,656464,BULLPEN,10
2024,747219,543518,BULLPEN,11
2024,747219,543518,BULLPEN,11
2024,745766,592332,STARTER,1
2024,745766,592332,STARTER,1
2024,745766,592332,STARTER,1
2024,745766,592332,STARTER,2
2024,745766,592332,STARTER,2
2024,745766,592332,STARTER,2
2024,745766,669952,BULLPEN,5
2024,745766,669952,BULLPEN,5
2024,745766,669952,BULLPEN,6
2024,745765,670102,STARTER,3
2024,745765,670102,STARTER,3
2024,745765,670102,STARTER,3
2024,745765,670102,STARTER,3
2024,745765,670102,STARTER,3
2024,745765,641835,BULLPEN,6
2024,745765,650893,BULLPEN,8
2024,745765,650893,BULLPEN,8
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,4
2024,745761,666200,STARTER,5
2024,745762,640462,STARTER,2
2024,745762,640462,STARTER,5
2024,745762,664350,BULLPEN,6
2024,745763,663773,BULLPEN,6
2024,745763,669622,BULLPEN,8
2024,746656,471911,STARTER,2
2024,746656,680704,BULLPEN,6
2024,746656,680704,BULLPEN,6
2024,746658,663474,STARTER,1
2024,746658,663474,STARTER,1
2024,746658,663474,STARTER,4
2024,746658,663474,STARTER,4
2024,746658,663474,STARTER,4
2024,746658,663474,STARTER,4
2024,746658,595881,BULLPEN,5
2024,746658,595881,BULLPEN,5
2024,746648,671106,STARTER,3
2024,746648,671106,STARTER,3
2024,746648,671106,STARTER,3
2024,746648,671106,STARTER,4
2024,746648,661403,BULLPEN,9
2024,746648,595881,BULLPEN,10
2024,746648,595881,BULLPEN,10
2024,744951,605135,STARTER,2
2024,744944,579328,STARTER,2
2024,744944,670950,BULLPEN,7
2024,744944,670950,BULLPEN,7
2024,744944,605447,BULLPEN,9
2024,744948,592332,STARTER,5
2024,744948,650893,BULLPEN,8
2024,744948,657024,BULLPEN,9
2024,744948,657024,BULLPEN,9
2024,744948,641835,BULLPEN,9
2024,744948,657024,BULLPEN,9
2024,745758,606965,BULLPEN,7
2024,745758,606965,BULLPEN,7
2024,745758,606965,BULLPEN,7
2024,745758,606965,BULLPEN,7
2024,745758,606965,BULLPEN,7
2024,745759,650644,STARTER,1
2024,745759,650644,STARTER,5
2024,745759,650644,STARTER,5
2024,745759,650644,STARTER,5
2024,745759,650644,STARTER,5
2024,745754,621112,STARTER,1
2024,745754,621112,STARTER,1
2024,745754,621112,STARTER,1
2024,745754,621112,STARTER,1
2024,745753,671212,STARTER,1
2024,745753,671212,STARTER,1
2024,745753,547184,BULLPEN,4
2024,745753,547184,BULLPEN,4
2024,745753,547184,BULLPEN,5
2024,745753,666204,BULLPEN,6
2024,745753,666205,BULLPEN,7
2024,745755,622072,STARTER,2
2024,746000,607067,STARTER,1
2024,746000,607067,STARTER,2
2024,746000,607067,STARTER,4
2024,746000,607067,STARTER,4
2024,746000,607067,STARTER,4
2024,746000,657649,BULLPEN,10
2024,745998,605452,STARTER,1
2024,745998,605452,STARTER,1
2024,745998,605452,STARTER,1
2024,745998,605452,STARTER,3
2024,745998,605452,STARTER,3
2024,745998,605452,STARTER,3
2024,745998,605452,STARTER,5
2024,745998,600986,BULLPEN,6
2024,745998,600986,BULLPEN,6
2024,745998,600986,BULLPEN,6
2024,745998,600986,BULLPEN,6
2024,745998,680911,BULLPEN,9
2024,745998,680911,BULLPEN,9
2024,745998,680911,BULLPEN,9
2024,745998,680911,BULLPEN,9
2024,746001,668964,STARTER,1
2024,746001,668964,STARTER,5
2024,746001,668964,STARTER,5
2024,746001,668964,STARTER,5
2024,746001,682842,BULLPEN,6
2024,746001,682842,BULLPEN,6
2024,746001,682842,BULLPEN,6
2024,746001,682842,BULLPEN,6
2024,746001,682842,BULLPEN,6
2024,746001,665625,BULLPEN,6
2024,746001,665625,BULLPEN,6
2024,746001,676083,BULLPEN,7
2024,746001,676083,BULLPEN,7
2024,746001,676083,BULLPEN,8
2024,746001,676083,BULLPEN,8
2024,747047,665152,STARTER,3
2024,747047,665152,STARTER,6
2024,747048,669203,STARTER,5
2024,747048,669203,STARTER,5
2024,747044,680694,STARTER,3
2024,747044,669211,BULLPEN,6
2024,745756,671345,BULLPEN,9
2024,745756,671345,BULLPEN,9
2024,745750,663554,STARTER,1
2024,745750,663554,STARTER,3
2024,745750,663554,STARTER,3
2024,745750,663554,STARTER,3
2024,745750,663554,STARTER,3
2024,745751,669373,STARTER,1
2024,745751,669373,STARTER,2
2024,745751,571946,BULLPEN,7
2024,745751,571946,BULLPEN,7
2024,745751,571946,BULLPEN,7
2024,745752,434378,STARTER,1
2024,745752,434378,STARTER,1
2024,745752,434378,STARTER,1
2024,745752,434378,STARTER,3
2024,745752,434378,STARTER,4
2024,745752,434378,STARTER,4
2024,745752,434378,STARTER,5
2024,745752,605463,BULLPEN,6
2024,745752,656232,BULLPEN,7
2024,745752,656232,BULLPEN,7
2024,745749,681293,STARTER,1
2024,745749,681293,STARTER,1
2024,745749,681293,STARTER,2
2024,745749,681293,STARTER,3
2024,745749,681293,STARTER,3
2024,745749,681869,BULLPEN,6
2024,745749,681869,BULLPEN,6
2024,745749,681869,BULLPEN,6
2024,745749,605463,BULLPEN,8
2024,745748,669854,STARTER,3
2024,745748,669854,STARTER,3
2024,745748,519151,BULLPEN,8
2024,745094,671737,STARTER,4
2024,745094,542888,BULLPEN,9
2024,745096,641793,STARTER,2
2024,745096,641793,STARTER,2
2024,745092,641302,STARTER,1
2024,745092,641302,STARTER,3
2024,745092,641302,STARTER,4
2024,745092,641302,STARTER,4
2024,745092,641302,STARTER,5
2024,745092,641302,STARTER,5
2024,745092,542888,BULLPEN,8
2024,745092,542888,BULLPEN,8
2024,745092,542888,BULLPEN,8
2024,745092,541640,BULLPEN,8
2024,745909,663978,STARTER,2
2024,745909,663978,STARTER,2
2024,745909,663978,STARTER,3
2024,745909,663978,STARTER,4
2024,745909,663978,STARTER,4
2024,745908,641154,STARTER,1
2024,745908,641154,STARTER,2
2024,745908,641154,STARTER,3
2024,745908,681892,BULLPEN,7
2024,745907,657746,STARTER,1
2024,745907,657746,STARTER,1
2024,745907,657746,STARTER,1
2024,745907,657746,STARTER,6
2024,745907,663485,BULLPEN,7
