PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,28,151,40,40,71,74,77,256,16,1126,39,122,12,291,62,342,62,5.392857142857143,2.642857142857143,2.75,6.25,21.305841924398624,18.128654970760234
2024,DEBIL,HOME,32,143,56,55,32,89,54,274,14,1194,48,138,10,282,60,381,71,4.46875,2.78125,1.6875,5.109489051094891,21.27659574468085,18.635170603674542
2024,FUERTE,AWAY,29,160,51,61,48,89,71,266,20,1154,46,112,7,281,65,381,88,5.517241379310345,3.0689655172413794,2.4482758620689653,7.518796992481203,23.131672597864767,23.097112860892388
2024,FUERTE,HOME,26,126,43,37,46,71,55,225,17,965,36,108,5,238,48,279,45,4.846153846153846,2.730769230769231,2.1153846153846154,7.555555555555555,20.168067226890756,16.129032258064516
2024,MEDIO,AWAY,24,115,42,33,40,69,46,219,15,935,34,92,4,219,47,311,67,4.791666666666667,2.875,1.9166666666666667,6.8493150684931505,21.461187214611872,21.543408360128616
2024,MEDIO,HOME,23,120,41,42,37,65,55,201,14,880,34,100,9,209,49,306,66,5.217391304347826,2.8260869565217392,2.391304347826087,6.965174129353234,23.444976076555022,21.568627450980394
2025,DEBIL,AWAY,29,188,53,74,61,103,85,264,28,1199,46,134,8,358,91,395,92,6.482758620689655,3.5517241379310347,2.9310344827586206,10.606060606060606,25.41899441340782,23.29113924050633
2025,DEBIL,HOME,25,132,69,33,30,81,51,211,20,944,50,110,6,261,46,318,69,5.28,3.24,2.04,9.47867298578199,17.624521072796934,21.69811320754717
2025,FUERTE,AWAY,21,98,31,36,31,62,36,193,10,824,26,78,6,217,47,279,66,4.666666666666667,2.9523809523809526,1.7142857142857142,5.181347150259067,21.658986175115206,23.655913978494624
2025,FUERTE,HOME,31,154,54,46,54,84,70,265,13,1127,57,105,4,240,54,360,68,4.967741935483871,2.7096774193548385,2.2580645161290325,4.90566037735849,22.5,18.88888888888889
2025,MEDIO,AWAY,31,154,42,66,46,83,71,285,15,1236,62,110,5,317,51,386,73,4.967741935483871,2.6774193548387095,2.2903225806451615,5.2631578947368425,16.08832807570978,18.911917098445596
2025,MEDIO,HOME,25,123,50,42,31,74,49,211,19,915,33,102,7,249,55,282,45,4.92,2.96,1.96,9.004739336492891,22.08835341365462,15.957446808510639
2026_CUTOFF,DEBIL,AWAY,15,102,43,20,39,47,55,135,15,605,29,62,1,162,46,195,48,6.8,3.1333333333333333,3.6666666666666665,11.11111111111111,28.395061728395063,24.615384615384617
2026_CUTOFF,DEBIL,HOME,19,83,39,19,25,49,34,164,12,695,31,82,3,159,25,219,41,4.368421052631579,2.5789473684210527,1.7894736842105263,7.317073170731708,15.723270440251572,18.72146118721461
2026_CUTOFF,FUERTE,AWAY,26,99,35,30,34,59,40,238,11,959,28,77,3,202,39,313,55,3.8076923076923075,2.269230769230769,1.5384615384615385,4.621848739495798,19.306930693069308,17.57188498402556
2026_CUTOFF,FUERTE,HOME,16,59,14,18,27,28,31,141,5,573,18,57,3,136,20,189,37,3.6875,1.75,1.9375,3.5460992907801416,14.705882352941176,19.576719576719576
2026_CUTOFF,MEDIO,AWAY,12,45,19,14,12,28,17,109,6,455,15,47,5,103,17,159,35,3.75,2.3333333333333335,1.4166666666666667,5.504587155963303,16.50485436893204,22.0125786163522
2026_CUTOFF,MEDIO,HOME,14,92,29,33,30,52,40,116,11,532,26,57,4,141,38,191,50,6.571428571428571,3.7142857142857144,2.857142857142857,9.482758620689655,26.95035460992908,26.17801047120419
