PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,31,151,53,49,49,92,59,282,24,1218,30,110,9,329,74,388,86,4.870967741935484,2.967741935483871,1.903225806451613,8.51063829787234,22.492401215805472,22.164948453608247
2024,DEBIL,HOME,31,168,60,63,45,110,58,264,18,1156,41,104,5,320,79,378,90,5.419354838709677,3.5483870967741935,1.8709677419354838,6.818181818181818,24.6875,23.80952380952381
2024,FUERTE,AWAY,21,99,25,39,35,57,42,190,12,814,26,47,5,187,43,260,63,4.714285714285714,2.7142857142857144,2.0,6.315789473684211,22.994652406417114,24.23076923076923
2024,FUERTE,HOME,25,96,29,39,28,58,38,222,8,930,35,87,3,209,41,311,67,3.84,2.32,1.52,3.6036036036036037,19.617224880382775,21.543408360128616
2024,MEDIO,AWAY,29,124,37,51,36,71,53,266,8,1121,30,81,11,290,61,371,82,4.275862068965517,2.4482758620689653,1.8275862068965518,3.007518796992481,21.03448275862069,22.10242587601078
2024,MEDIO,HOME,25,146,53,56,37,85,61,212,19,941,36,86,9,258,66,313,73,5.84,3.4,2.44,8.962264150943396,25.58139534883721,23.322683706070286
2025,DEBIL,AWAY,30,141,42,41,58,69,72,273,17,1186,38,99,7,319,62,385,88,4.7,2.3,2.4,6.227106227106227,19.435736677115987,22.857142857142858
2025,DEBIL,HOME,30,153,55,55,43,90,63,258,17,1123,51,80,8,286,67,368,88,5.1,3.0,2.1,6.589147286821706,23.426573426573427,23.91304347826087
2025,FUERTE,AWAY,21,69,12,27,30,38,31,190,7,781,13,70,5,187,40,254,49,3.2857142857142856,1.8095238095238095,1.4761904761904763,3.6842105263157894,21.390374331550802,19.291338582677167
2025,FUERTE,HOME,18,87,28,31,28,53,34,158,8,666,25,52,0,171,40,193,35,4.833333333333333,2.9444444444444446,1.8888888888888888,5.063291139240507,23.391812865497077,18.134715025906736
2025,MEDIO,AWAY,30,136,39,34,63,65,71,275,17,1167,39,100,2,271,60,403,95,4.533333333333333,2.1666666666666665,2.3666666666666667,6.181818181818182,22.14022140221402,23.573200992555833
2025,MEDIO,HOME,33,192,62,57,73,100,92,274,22,1256,46,127,9,366,82,396,83,5.818181818181818,3.0303030303030303,2.787878787878788,8.02919708029197,22.404371584699454,20.95959595959596
2026_CUTOFF,DEBIL,AWAY,19,91,22,26,43,46,45,172,13,751,23,67,5,187,34,250,54,4.7894736842105265,2.4210526315789473,2.3684210526315788,7.558139534883721,18.181818181818183,21.6
2026_CUTOFF,DEBIL,HOME,19,101,34,25,42,55,46,166,12,719,34,59,5,182,42,236,61,5.315789473684211,2.8947368421052633,2.4210526315789473,7.228915662650603,23.076923076923077,25.847457627118644
2026_CUTOFF,FUERTE,AWAY,19,60,19,21,20,32,28,172,8,687,16,39,8,120,26,238,50,3.1578947368421053,1.6842105263157894,1.4736842105263157,4.651162790697675,21.666666666666668,21.008403361344538
2026_CUTOFF,FUERTE,HOME,12,42,24,11,7,33,9,104,4,432,14,33,1,93,15,137,27,3.5,2.75,0.75,3.8461538461538463,16.129032258064516,19.708029197080293
2026_CUTOFF,MEDIO,AWAY,13,47,24,7,16,32,15,118,4,480,17,37,5,91,18,166,36,3.6153846153846154,2.4615384615384617,1.1538461538461537,3.389830508474576,19.78021978021978,21.686746987951807
2026_CUTOFF,MEDIO,HOME,21,107,47,40,20,63,44,179,13,778,31,67,3,199,52,250,55,5.095238095238095,3.0,2.0952380952380953,7.262569832402234,26.13065326633166,22.0
