PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-29,745604,True,HOME,144,Atlanta Braves,FUERTE,3,9,0,2,1,0,0,9,9,0,2,1,0
2024,2024-03-30,745599,True,HOME,144,Atlanta Braves,FUERTE,4,12,4,0,0,7,4,1,9,1,3,1,0
2024,2024-03-31,745602,True,HOME,144,Atlanta Braves,FUERTE,5,4,1,1,3,2,1,1,8,1,2,3,0
2024,2024-04-01,745600,True,HOME,113,Cincinnati Reds,MEDIO,3,6,2,0,1,0,2,4,10,0,2,1,0
2024,2024-04-02,745598,True,HOME,113,Cincinnati Reds,MEDIO,9,4,1,2,6,1,0,3,8,1,3,6,0
2024,2024-04-03,745603,True,HOME,113,Cincinnati Reds,MEDIO,1,4,0,1,0,2,1,1,9,0,1,0,0
2024,2024-04-05,744874,False,AWAY,120,Washington Nationals,DEBIL,4,0,3,0,1,0,0,0,9,1,4,0,0
2024,2024-04-06,744873,False,AWAY,120,Washington Nationals,DEBIL,5,2,4,0,1,2,0,0,9,1,4,1,0
2024,2024-04-07,744871,False,AWAY,120,Washington Nationals,DEBIL,2,3,1,1,0,2,1,0,9,0,2,0,0
2024,2024-04-08,745194,False,AWAY,138,St. Louis Cardinals,MEDIO,5,3,0,2,3,0,0,3,10,0,2,3,0
2024,2024-04-09,745195,False,AWAY,138,St. Louis Cardinals,MEDIO,0,3,0,0,0,0,3,0,9,0,0,0,0
2024,2024-04-10,745196,False,AWAY,138,St. Louis Cardinals,MEDIO,4,3,2,2,0,2,0,1,9,0,2,2,0
2024,2024-04-11,745601,True,HOME,134,Pittsburgh Pirates,DEBIL,5,1,0,1,4,0,0,1,8,1,3,2,0
2024,2024-04-12,745596,True,HOME,134,Pittsburgh Pirates,DEBIL,2,5,0,1,1,1,1,3,9,0,1,1,0
2024,2024-04-13,745594,True,HOME,134,Pittsburgh Pirates,DEBIL,4,3,2,0,2,1,2,0,9,0,2,2,0
2024,2024-04-14,745595,True,HOME,134,Pittsburgh Pirates,DEBIL,2,9,1,1,0,0,6,3,9,0,2,0,0
2024,2024-04-15,745597,True,HOME,115,Colorado Rockies,DEBIL,2,1,1,0,1,0,1,0,10,0,1,1,0
2024,2024-04-16,745593,True,HOME,115,Colorado Rockies,DEBIL,5,0,2,1,2,0,0,0,8,0,3,2,0
2024,2024-04-17,745591,True,HOME,115,Colorado Rockies,DEBIL,7,6,4,3,0,1,0,5,8,1,6,1,0
2024,2024-04-19,745592,True,HOME,145,Chicago White Sox,DEBIL,7,0,6,1,0,0,0,0,8,2,7,0,0
2024,2024-04-20,745590,True,HOME,145,Chicago White Sox,DEBIL,9,5,3,4,2,0,0,5,8,1,5,4,0
2024,2024-04-21,745588,True,HOME,145,Chicago White Sox,DEBIL,8,2,3,4,1,2,0,0,8,2,6,2,0
2024,2024-04-22,746723,False,AWAY,113,Cincinnati Reds,MEDIO,7,0,2,2,3,0,0,0,9,1,4,3,0
2024,2024-04-23,746722,False,AWAY,113,Cincinnati Reds,MEDIO,1,8,1,0,0,5,2,1,9,0,1,0,0
2024,2024-04-24,746725,False,AWAY,113,Cincinnati Reds,MEDIO,4,7,2,1,1,1,4,2,9,0,3,1,0
2024,2024-04-25,746724,False,AWAY,113,Cincinnati Reds,MEDIO,5,0,4,1,0,0,0,0,9,1,5,0,0
2024,2024-04-26,745424,False,AWAY,135,San Diego Padres,FUERTE,9,3,6,1,2,1,0,2,9,1,7,2,0
2024,2024-04-27,745425,False,AWAY,135,San Diego Padres,FUERTE,5,1,2,3,0,0,0,1,9,1,5,0,0
2024,2024-04-28,745428,False,AWAY,135,San Diego Padres,FUERTE,8,6,2,4,2,3,0,3,9,0,6,2,0
2024,2024-04-29,746236,False,AWAY,108,Los Angeles Angels,DEBIL,5,6,3,1,1,2,2,2,9,1,4,1,0
2024,2024-04-30,746239,False,AWAY,108,Los Angeles Angels,DEBIL,7,5,3,0,4,1,4,0,9,2,3,4,0
2024,2024-05-01,746238,False,AWAY,108,Los Angeles Angels,DEBIL,2,1,2,0,0,1,0,0,9,0,2,0,0
2024,2024-05-03,745589,True,HOME,137,San Francisco Giants,MEDIO,4,3,3,1,0,2,0,1,8,1,4,0,0
2024,2024-05-04,745583,True,HOME,137,San Francisco Giants,MEDIO,14,3,9,4,1,1,2,0,8,3,5,9,0
2024,2024-05-05,745587,True,HOME,137,San Francisco Giants,MEDIO,5,4,5,0,0,1,0,3,8,1,5,0,0
2024,2024-05-06,745585,True,HOME,137,San Francisco Giants,MEDIO,6,1,0,5,1,0,1,0,8,1,5,1,0
2024,2024-05-07,745586,True,HOME,141,Toronto Blue Jays,DEBIL,10,1,3,5,2,0,0,1,8,1,8,2,0
2024,2024-05-08,745584,True,HOME,141,Toronto Blue Jays,DEBIL,3,5,1,0,2,1,3,1,9,0,2,1,0
2024,2024-05-10,746071,False,AWAY,146,Miami Marlins,DEBIL,8,2,2,4,2,0,0,2,9,1,5,3,0
2024,2024-05-11,746069,False,AWAY,146,Miami Marlins,DEBIL,8,3,0,4,4,0,1,2,9,2,2,6,0
2024,2024-05-12,746068,False,AWAY,146,Miami Marlins,DEBIL,6,7,3,3,0,4,2,1,10,2,5,1,0
2024,2024-05-13,745826,False,AWAY,121,New York Mets,MEDIO,5,4,1,0,4,3,0,1,10,0,1,4,0
2024,2024-05-14,745821,False,AWAY,121,New York Mets,MEDIO,4,0,2,0,2,0,0,0,9,0,2,2,0
2024,2024-05-15,745582,True,HOME,121,New York Mets,MEDIO,10,5,1,6,3,2,0,3,8,2,5,5,0
2024,2024-05-16,745580,True,HOME,121,New York Mets,MEDIO,5,6,0,2,3,2,0,4,11,0,2,3,0
2024,2024-05-17,745579,True,HOME,120,Washington Nationals,DEBIL,4,2,4,0,0,1,1,0,8,0,4,0,0
2024,2024-05-18,745581,True,HOME,120,Washington Nationals,DEBIL,4,3,0,1,3,1,1,1,10,0,2,2,0
2024,2024-05-19,745577,True,HOME,120,Washington Nationals,DEBIL,11,5,2,6,3,0,3,2,8,2,3,8,0
2024,2024-05-21,745578,True,HOME,140,Texas Rangers,MEDIO,5,2,1,2,2,1,0,1,8,0,2,3,0
2024,2024-05-22,745576,True,HOME,140,Texas Rangers,MEDIO,11,4,3,7,1,2,1,1,8,2,5,6,0
2024,2024-05-23,745573,True,HOME,140,Texas Rangers,MEDIO,5,2,1,3,1,1,0,1,8,1,4,1,0
