PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745604,554430,STARTER,18,5,0,0,0,0,5,23
2024,745604,621381,BULLPEN,1,3,2,0,0,0,1,4
2024,745604,656546,BULLPEN,2,0,0,0,1,0,1,3
2024,745604,621237,BULLPEN,2,3,5,0,2,0,1,7
2024,745604,641401,BULLPEN,1,1,2,0,2,0,1,4
2024,745604,628708,BULLPEN,3,1,0,0,0,0,1,4
2024,745599,605400,STARTER,13,11,6,2,1,0,3,24
2024,745599,656814,BULLPEN,2,3,2,0,0,0,0,4
2024,745599,622554,BULLPEN,3,2,2,1,0,0,2,5
2024,745599,628708,BULLPEN,3,0,0,0,1,0,0,4
2024,745599,642397,BULLPEN,3,1,0,0,0,0,0,4
2024,745599,641401,BULLPEN,3,1,1,1,1,0,0,4
2024,745602,624133,STARTER,15,3,3,1,1,0,7,18
2024,745602,656546,BULLPEN,3,0,0,0,0,0,2,3
2024,745602,621381,BULLPEN,3,1,0,0,0,0,2,4
2024,745602,622554,BULLPEN,2,3,1,0,0,0,2,5
2024,745602,642397,BULLPEN,1,0,0,0,0,0,0,1
2024,745602,621237,BULLPEN,3,0,0,0,0,0,1,3
2024,745600,650911,STARTER,15,5,2,0,1,0,8,20
2024,745600,656546,BULLPEN,3,2,0,0,0,0,2,5
2024,745600,621381,BULLPEN,3,0,0,0,0,0,1,3
2024,745600,628708,BULLPEN,3,0,0,0,0,0,1,3
2024,745600,621237,BULLPEN,3,0,0,0,1,0,2,4
2024,745600,641401,BULLPEN,2,1,3,1,3,0,2,6
2024,745600,656793,BULLPEN,1,0,0,0,0,0,1,1
2024,745598,605513,STARTER,15,3,0,0,0,0,7,19
2024,745598,620982,BULLPEN,12,5,2,0,0,0,4,18
2024,745603,554430,STARTER,18,4,1,0,1,1,10,25
2024,745603,628708,BULLPEN,3,0,0,0,0,0,1,3
2024,745603,642397,BULLPEN,3,1,0,0,0,0,3,4
2024,745603,656793,BULLPEN,3,2,1,0,0,0,1,4
2024,744874,605400,STARTER,17,2,0,0,4,0,4,22
2024,744874,621381,BULLPEN,4,0,0,0,0,0,1,4
2024,744874,622554,BULLPEN,3,0,0,0,0,0,1,3
2024,744874,621237,BULLPEN,3,0,0,0,1,0,1,4
2024,744873,624133,STARTER,18,4,2,1,0,1,4,23
2024,744873,656546,BULLPEN,5,0,0,0,1,0,1,6
2024,744873,642397,BULLPEN,1,0,0,0,0,0,0,1
2024,744873,621237,BULLPEN,3,0,0,0,1,0,1,4
2024,744871,650911,STARTER,13,6,3,0,3,0,1,22
2024,744871,628708,BULLPEN,5,0,0,0,1,0,1,6
2024,744871,621381,BULLPEN,3,1,0,0,0,0,1,4
2024,744871,622554,BULLPEN,3,1,0,0,0,0,0,4
2024,745194,605513,STARTER,18,2,0,0,1,1,6,22
2024,745194,622554,BULLPEN,3,1,1,1,0,0,1,4
2024,745194,621237,BULLPEN,3,0,0,0,1,0,1,4
2024,745194,656546,BULLPEN,3,2,2,0,1,0,1,6
2024,745194,642397,BULLPEN,3,1,0,0,0,0,2,4
2024,745195,554430,STARTER,21,6,3,1,1,0,5,28
2024,745195,620982,BULLPEN,3,1,0,0,1,0,1,5
2024,745196,605400,STARTER,18,3,2,2,3,0,3,23
2024,745196,621381,BULLPEN,3,0,0,0,0,0,1,3
2024,745196,642397,BULLPEN,2,2,1,0,1,0,0,4
2024,745196,622554,BULLPEN,1,1,0,0,0,0,0,2
2024,745196,656546,BULLPEN,3,1,0,0,0,0,0,3
2024,745601,624133,STARTER,18,2,0,0,2,0,8,22
2024,745601,628708,BULLPEN,3,1,0,0,0,0,3,4
2024,745601,656793,BULLPEN,6,4,1,0,0,0,3,10
2024,745596,650911,STARTER,18,4,1,0,3,0,6,26
2024,745596,628708,BULLPEN,3,2,1,0,2,0,2,7
2024,745596,620982,BULLPEN,6,3,2,0,0,0,0,9
2024,745594,605513,STARTER,12,4,3,1,4,0,3,20
2024,745594,621381,BULLPEN,6,0,0,0,0,0,5,6
2024,745594,642397,BULLPEN,3,1,0,0,1,0,0,4
2024,745594,621237,BULLPEN,3,0,0,0,0,0,1,3
2024,745594,656546,BULLPEN,3,0,0,0,0,0,1,3
2024,745595,554430,STARTER,15,5,4,1,3,0,10,24
2024,745595,622554,BULLPEN,3,1,1,1,0,0,3,4
2024,745595,689147,BULLPEN,3,0,0,0,1,0,1,4
2024,745595,620982,BULLPEN,6,4,3,1,2,0,1,12
2024,745597,605400,STARTER,22,4,1,1,1,0,9,27
2024,745597,621237,BULLPEN,2,0,0,0,0,0,0,1
2024,745597,656546,BULLPEN,3,1,0,0,1,0,1,4
2024,745597,622554,BULLPEN,3,0,0,0,0,0,0,3
2024,745593,624133,STARTER,27,7,0,0,1,0,8,32
2024,745591,650911,STARTER,18,6,1,0,1,0,10,24
2024,745591,628708,BULLPEN,3,1,0,0,0,0,1,4
2024,745591,642397,BULLPEN,1,3,5,0,2,0,0,6
2024,745591,656546,BULLPEN,2,1,0,0,1,0,0,4
2024,745591,621237,BULLPEN,3,1,0,0,0,0,1,4
2024,745592,605513,STARTER,21,1,0,0,2,0,6,24
2024,745592,621381,BULLPEN,3,1,0,0,1,0,1,5
2024,745592,689147,BULLPEN,3,0,0,0,0,0,1,3
2024,745590,554430,STARTER,22,1,0,0,2,1,8,26
2024,745590,622554,BULLPEN,2,1,0,0,1,0,0,4
2024,745590,620982,BULLPEN,2,5,5,0,2,1,1,10
2024,745590,621237,BULLPEN,1,0,0,0,0,0,0,1
2024,745588,605400,STARTER,24,4,2,1,1,0,7,29
2024,745588,628708,BULLPEN,3,0,0,0,1,0,1,4
2024,746723,624133,STARTER,21,2,0,0,1,0,5,23
2024,746723,642397,BULLPEN,3,0,0,0,0,0,2,3
2024,746723,656546,BULLPEN,3,0,0,0,0,0,2,3
2024,746722,650911,STARTER,9,4,1,0,3,0,3,18
2024,746722,628708,BULLPEN,6,4,2,1,0,0,1,10
2024,746722,689147,BULLPEN,3,0,0,0,0,0,0,3
2024,746722,621381,BULLPEN,3,0,0,0,0,0,1,3
2024,746722,620982,BULLPEN,3,1,1,1,0,1,1,5
2024,746725,605513,STARTER,15,3,1,1,3,0,8,21
2024,746725,622554,BULLPEN,2,2,4,0,2,0,1,6
2024,746725,621381,BULLPEN,1,2,0,0,0,0,1,3
2024,746725,642397,BULLPEN,3,2,1,0,1,0,2,6
2024,746725,621237,BULLPEN,3,1,1,0,1,0,1,5
2024,746724,554430,STARTER,18,1,0,0,4,0,8,22
2024,746724,689147,BULLPEN,5,1,0,0,1,0,2,7
2024,746724,656546,BULLPEN,4,1,0,0,0,0,3,5
2024,745424,605400,STARTER,24,7,3,1,1,0,10,32
2024,745424,622554,BULLPEN,3,0,0,0,0,0,1,3
2024,745425,624133,STARTER,24,3,1,1,0,0,8,26
2024,745425,656546,BULLPEN,3,0,0,0,0,0,3,3
2024,745428,592836,STARTER,19,8,6,2,2,0,4,27
2024,745428,656546,BULLPEN,2,1,0,0,0,0,0,3
2024,745428,628708,BULLPEN,3,0,0,0,0,0,0,4
2024,745428,621237,BULLPEN,3,0,0,0,0,0,2,3
2024,746236,650911,STARTER,15,7,4,1,2,0,1,22
2024,746236,689147,BULLPEN,3,1,0,0,0,0,0,3
2024,746236,622554,BULLPEN,3,3,2,0,0,0,1,6
2024,746236,642397,BULLPEN,3,0,0,0,1,0,1,4
2024,746239,605513,STARTER,16,4,2,1,0,1,6,21
2024,746239,628708,BULLPEN,2,3,1,1,0,0,0,6
2024,746239,621381,BULLPEN,3,1,0,0,0,0,1,3
2024,746239,621237,BULLPEN,3,1,0,0,0,0,1,4
2024,746239,656546,BULLPEN,3,0,0,0,0,0,1,3
2024,746238,554430,STARTER,15,5,1,1,1,0,6,22
2024,746238,621381,BULLPEN,3,0,0,0,0,0,2,3
2024,746238,689147,BULLPEN,3,0,0,0,1,0,2,4
2024,746238,621237,BULLPEN,3,3,0,0,0,0,0,5
2024,746238,642397,BULLPEN,3,2,0,0,0,0,1,5
2024,745589,605400,STARTER,12,4,2,0,4,0,4,19
2024,745589,621381,BULLPEN,3,0,0,0,0,0,2,3
2024,745589,622554,BULLPEN,3,0,0,0,0,0,1,4
2024,745589,689147,BULLPEN,3,3,1,0,0,0,0,5
2024,745589,656546,BULLPEN,3,0,0,0,0,0,3,3
2024,745589,621237,BULLPEN,3,1,0,0,0,0,1,4
2024,745583,624133,STARTER,18,7,3,1,1,1,6,27
2024,745583,614179,BULLPEN,6,2,0,0,2,1,1,9
2024,745583,622554,BULLPEN,3,1,0,0,0,0,1,4
2024,745587,592836,STARTER,19,5,3,1,1,1,7,25
2024,745587,642397,BULLPEN,2,0,0,0,1,1,0,4
2024,745587,656546,BULLPEN,3,1,0,0,0,0,3,4
2024,745587,621237,BULLPEN,3,1,1,1,0,0,1,4
2024,745585,554430,STARTER,21,4,0,0,1,0,11,26
2024,745585,621381,BULLPEN,3,1,0,0,0,0,2,4
2024,745585,689147,BULLPEN,3,0,0,0,0,0,0,3
2024,745586,650911,STARTER,21,6,1,0,2,0,5,27
2024,745586,605513,BULLPEN,6,0,0,0,1,0,0,6
2024,745584,605400,STARTER,17,9,4,0,0,0,7,26
2024,745584,621381,BULLPEN,1,1,0,0,0,0,0,2
