PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745604,675911,STARTER,5
2024,745604,675911,STARTER,5
2024,745604,607481,BULLPEN,9
2024,745599,608331,STARTER,1
2024,745599,608331,STARTER,1
2024,745599,608331,STARTER,1
2024,745599,445926,BULLPEN,3
2024,745602,519242,STARTER,1
2024,745602,519242,STARTER,5
2024,745602,641729,BULLPEN,7
2024,745602,607481,BULLPEN,7
2024,745602,607481,BULLPEN,7
2024,745600,671096,STARTER,1
2024,745600,671096,STARTER,1
2024,745600,622088,BULLPEN,10
2024,745598,668933,STARTER,1
2024,745598,668933,STARTER,4
2024,745598,668933,STARTER,6
2024,745598,608718,BULLPEN,7
2024,745598,608718,BULLPEN,7
2024,745598,608718,BULLPEN,7
2024,745598,608718,BULLPEN,7
2024,745598,608718,BULLPEN,7
2024,745598,571656,BULLPEN,8
2024,745603,593423,STARTER,6
2024,744874,571578,STARTER,2
2024,744874,571578,STARTER,2
2024,744874,571578,STARTER,2
2024,744874,571578,STARTER,7
2024,744873,663623,STARTER,2
2024,744873,663623,STARTER,3
2024,744873,663623,STARTER,3
2024,744873,663623,STARTER,3
2024,744873,571670,BULLPEN,9
2024,744871,669022,STARTER,2
2024,744871,669022,STARTER,5
2024,745194,571945,STARTER,5
2024,745194,571945,STARTER,5
2024,745194,606149,BULLPEN,9
2024,745194,664854,BULLPEN,10
2024,745194,664854,BULLPEN,10
2024,745196,458681,STARTER,1
2024,745196,458681,STARTER,1
2024,745196,669467,BULLPEN,6
2024,745196,669467,BULLPEN,6
2024,745601,683003,STARTER,4
2024,745601,683003,STARTER,7
2024,745601,683003,STARTER,7
2024,745601,670059,BULLPEN,7
2024,745601,670059,BULLPEN,7
2024,745596,663559,STARTER,5
2024,745596,676596,BULLPEN,8
2024,745594,594835,STARTER,1
2024,745594,594835,STARTER,1
2024,745594,547973,BULLPEN,7
2024,745594,669796,BULLPEN,9
2024,745595,656605,STARTER,3
2024,745595,656605,STARTER,5
2024,745597,615698,STARTER,3
2024,745597,656234,BULLPEN,10
2024,745593,596295,STARTER,1
2024,745593,596295,STARTER,1
2024,745593,596295,STARTER,6
2024,745593,641755,BULLPEN,8
2024,745593,641755,BULLPEN,8
2024,745591,663372,STARTER,1
2024,745591,663372,STARTER,1
2024,745591,663372,STARTER,1
2024,745591,663372,STARTER,1
2024,745591,663372,STARTER,5
2024,745591,663567,BULLPEN,6
2024,745591,663372,STARTER,6
2024,745592,676979,STARTER,1
2024,745592,676979,STARTER,1
2024,745592,676979,STARTER,1
2024,745592,676979,STARTER,3
2024,745592,676979,STARTER,3
2024,745592,676979,STARTER,3
2024,745592,676979,STARTER,4
2024,745590,647336,STARTER,2
2024,745590,647336,STARTER,2
2024,745590,647336,STARTER,2
2024,745590,647336,STARTER,5
2024,745590,647336,STARTER,5
2024,745590,621383,BULLPEN,6
2024,745590,621383,BULLPEN,6
2024,745590,608678,BULLPEN,7
2024,745590,608678,BULLPEN,7
2024,745588,680897,STARTER,1
2024,745588,680897,STARTER,1
2024,745588,680897,STARTER,1
2024,745588,680897,STARTER,4
2024,745588,680897,STARTER,4
2024,745588,680897,STARTER,4
2024,745588,665620,BULLPEN,6
2024,745588,673929,BULLPEN,7
2024,746723,668881,STARTER,2
2024,746723,668881,STARTER,3
2024,746723,668881,STARTER,4
2024,746723,668881,STARTER,5
2024,746723,668984,BULLPEN,9
2024,746723,668984,BULLPEN,9
2024,746723,668984,BULLPEN,9
2024,746722,671096,STARTER,1
2024,746725,666157,STARTER,1
2024,746725,666157,STARTER,3
2024,746725,666157,STARTER,6
2024,746725,641941,BULLPEN,7
2024,746724,607259,STARTER,3
2024,746724,607259,STARTER,3
2024,746724,607259,STARTER,3
2024,746724,607259,STARTER,3
2024,746724,607259,STARTER,6
2024,745424,605397,STARTER,1
2024,745424,605397,STARTER,1
2024,745424,605397,STARTER,3
2024,745424,605397,STARTER,3
2024,745424,605397,STARTER,3
2024,745424,605397,STARTER,3
2024,745424,605397,STARTER,4
2024,745424,676680,BULLPEN,7
2024,745424,676680,BULLPEN,7
2024,745425,656302,STARTER,1
2024,745425,656302,STARTER,1
2024,745425,656302,STARTER,5
2024,745425,656302,STARTER,5
2024,745425,656302,STARTER,5
2024,745428,650633,STARTER,2
2024,745428,650633,STARTER,2
2024,745428,650633,STARTER,4
2024,745428,650633,STARTER,4
2024,745428,650633,STARTER,6
2024,745428,650633,STARTER,6
2024,745428,676680,BULLPEN,7
2024,745428,593974,BULLPEN,8
2024,746236,656288,STARTER,1
2024,746236,656288,STARTER,1
2024,746236,656288,STARTER,1
2024,746236,656288,STARTER,5
2024,746236,608032,BULLPEN,9
2024,746239,542881,STARTER,2
2024,746239,542881,STARTER,2
2024,746239,542881,STARTER,2
2024,746239,519043,BULLPEN,8
2024,746239,608032,BULLPEN,9
2024,746239,608032,BULLPEN,9
