PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,22,117,33,37,47,56,61,208,12,913,18,89,5,290,56,285,57,5.318181818181818,2.5454545454545454,2.772727272727273,5.769230769230769,19.310344827586206,20.0
2024,DEBIL,HOME,19,74,32,30,12,52,22,163,10,678,13,53,5,162,36,226,41,3.8947368421052633,2.736842105263158,1.1578947368421053,6.134969325153374,22.22222222222222,18.141592920353983
2024,FUERTE,AWAY,23,89,18,37,34,53,36,208,9,862,30,59,10,176,31,282,55,3.869565217391304,2.3043478260869565,1.565217391304348,4.326923076923077,17.613636363636363,19.50354609929078
2024,FUERTE,HOME,24,90,32,40,18,61,29,207,8,883,19,77,8,217,44,286,56,3.75,2.5416666666666665,1.2083333333333333,3.864734299516908,20.276497695852534,19.58041958041958
2024,MEDIO,AWAY,36,116,22,56,38,72,44,326,14,1342,33,99,15,298,54,452,97,3.2222222222222223,2.0,1.2222222222222223,4.294478527607362,18.120805369127517,21.460176991150444
2024,MEDIO,HOME,38,179,52,66,61,97,82,336,21,1418,47,108,15,357,71,458,92,4.7105263157894735,2.5526315789473686,2.1578947368421053,6.25,19.88795518207283,20.087336244541486
2025,DEBIL,AWAY,29,124,47,47,30,77,47,267,14,1142,30,116,10,308,63,363,72,4.275862068965517,2.6551724137931036,1.6206896551724137,5.2434456928838955,20.454545454545453,19.834710743801654
2025,DEBIL,HOME,25,109,38,38,33,69,40,215,17,906,20,74,6,232,59,285,53,4.36,2.76,1.6,7.906976744186046,25.43103448275862,18.596491228070175
2025,FUERTE,AWAY,25,72,13,40,19,45,27,227,8,907,18,71,5,193,32,296,51,2.88,1.8,1.08,3.5242290748898677,16.580310880829014,17.22972972972973
2025,FUERTE,HOME,28,77,27,24,26,41,36,248,4,1030,13,93,4,260,41,343,70,2.75,1.4642857142857142,1.2857142857142858,1.6129032258064515,15.76923076923077,20.408163265306122
2025,MEDIO,AWAY,27,73,28,21,24,48,25,247,7,990,20,72,4,201,30,306,53,2.7037037037037037,1.7777777777777777,0.9259259259259259,2.834008097165992,14.925373134328359,17.320261437908496
2025,MEDIO,HOME,28,128,51,40,37,78,50,240,17,1046,16,104,8,303,71,344,81,4.571428571428571,2.7857142857142856,1.7857142857142858,7.083333333333333,23.432343234323433,23.546511627906977
2026_CUTOFF,DEBIL,AWAY,18,116,30,32,54,57,59,165,18,745,27,76,5,219,54,230,44,6.444444444444445,3.1666666666666665,3.2777777777777777,10.909090909090908,24.65753424657534,19.130434782608695
2026_CUTOFF,DEBIL,HOME,16,115,54,44,17,64,51,135,15,651,27,78,3,216,59,198,50,7.1875,4.0,3.1875,11.11111111111111,27.314814814814813,25.252525252525253
2026_CUTOFF,FUERTE,AWAY,12,47,16,19,12,34,13,110,5,449,9,39,3,119,24,140,23,3.9166666666666665,2.8333333333333335,1.0833333333333333,4.545454545454546,20.168067226890756,16.428571428571427
2026_CUTOFF,FUERTE,HOME,18,103,30,39,34,59,44,156,12,702,28,60,5,199,52,222,49,5.722222222222222,3.2777777777777777,2.4444444444444446,7.6923076923076925,26.13065326633166,22.07207207207207
2026_CUTOFF,MEDIO,AWAY,22,90,24,33,33,53,37,204,7,869,25,70,4,242,39,290,55,4.090909090909091,2.409090909090909,1.6818181818181819,3.4313725490196076,16.115702479338843,18.96551724137931
2026_CUTOFF,MEDIO,HOME,17,72,27,22,23,45,27,149,9,636,16,59,5,152,27,201,42,4.235294117647059,2.6470588235294117,1.588235294117647,6.040268456375839,17.763157894736842,20.895522388059703
