PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,746089,False,AWAY,146,Miami Marlins,DEBIL,6,5,2,0,4,4,1,0,12,0,2,4,0
2024,2024-03-29,746091,False,AWAY,146,Miami Marlins,DEBIL,7,2,4,1,2,1,0,1,9,0,4,3,0
2024,2024-03-30,746087,False,AWAY,146,Miami Marlins,DEBIL,9,3,1,4,4,0,3,0,9,1,3,6,0
2024,2024-03-31,746090,False,AWAY,146,Miami Marlins,DEBIL,9,7,3,1,5,5,1,1,10,2,4,5,0
2024,2024-04-01,744875,False,AWAY,120,Washington Nationals,DEBIL,8,4,2,1,5,1,0,3,9,1,3,5,0
2024,2024-04-03,744869,False,AWAY,120,Washington Nationals,DEBIL,3,5,2,1,0,4,1,0,9,0,2,1,0
2024,2024-04-04,744870,False,AWAY,120,Washington Nationals,DEBIL,7,4,5,2,0,1,1,2,9,1,6,1,0
2024,2024-04-05,745524,True,HOME,110,Baltimore Orioles,MEDIO,2,5,0,1,1,2,0,3,9,0,2,0,0
2024,2024-04-06,745522,True,HOME,110,Baltimore Orioles,MEDIO,5,4,3,0,2,0,0,4,11,1,3,2,0
2024,2024-04-07,745523,True,HOME,110,Baltimore Orioles,MEDIO,3,2,0,1,2,0,2,0,9,0,1,2,0
2024,2024-04-08,745520,True,HOME,116,Detroit Tigers,FUERTE,7,4,5,2,0,1,1,2,8,1,6,1,0
2024,2024-04-09,745517,True,HOME,116,Detroit Tigers,FUERTE,3,5,2,1,0,1,0,4,9,0,2,1,0
2024,2024-04-11,745601,False,AWAY,143,Philadelphia Phillies,MEDIO,1,5,0,0,1,0,1,4,9,0,0,1,0
2024,2024-04-12,745596,False,AWAY,143,Philadelphia Phillies,MEDIO,5,2,1,1,3,0,1,1,9,0,2,3,0
2024,2024-04-13,745594,False,AWAY,143,Philadelphia Phillies,MEDIO,3,4,1,2,0,2,0,2,9,0,3,0,0
2024,2024-04-14,745595,False,AWAY,143,Philadelphia Phillies,MEDIO,9,2,0,6,3,1,1,0,9,1,5,4,0
2024,2024-04-15,745840,False,AWAY,121,New York Mets,MEDIO,3,6,0,3,0,0,3,3,9,1,2,1,0
2024,2024-04-16,745837,False,AWAY,121,New York Mets,MEDIO,1,3,0,1,0,0,0,3,9,0,1,0,0
2024,2024-04-17,745836,False,AWAY,121,New York Mets,MEDIO,1,9,1,0,0,2,4,3,9,0,1,0,0
2024,2024-04-19,745518,True,HOME,111,Boston Red Sox,DEBIL,1,8,0,0,1,3,3,2,9,0,0,1,0
2024,2024-04-20,745515,True,HOME,111,Boston Red Sox,DEBIL,2,4,0,1,1,2,2,0,9,0,1,1,0
2024,2024-04-21,745514,True,HOME,111,Boston Red Sox,DEBIL,1,6,1,0,0,2,3,1,9,0,1,0,0
2024,2024-04-22,745519,True,HOME,158,Milwaukee Brewers,FUERTE,4,2,1,3,0,0,1,1,8,1,2,2,0
2024,2024-04-23,745516,True,HOME,158,Milwaukee Brewers,FUERTE,2,1,1,1,0,0,0,1,8,0,1,1,0
2024,2024-04-24,745513,True,HOME,158,Milwaukee Brewers,FUERTE,2,3,2,0,0,3,0,0,9,0,2,0,0
2024,2024-04-25,745512,True,HOME,158,Milwaukee Brewers,FUERTE,5,7,3,2,0,3,1,3,9,1,5,0,0
2024,2024-04-26,745347,False,AWAY,137,San Francisco Giants,MEDIO,0,3,0,0,0,0,0,3,9,0,0,0,0
2024,2024-04-27,745350,False,AWAY,137,San Francisco Giants,MEDIO,4,3,0,0,4,0,1,2,10,1,1,3,0
2024,2024-04-28,745349,False,AWAY,137,San Francisco Giants,MEDIO,2,3,0,1,1,3,0,0,9,0,1,1,0
2024,2024-04-29,745672,False,AWAY,133,Athletics,DEBIL,1,5,1,0,0,1,4,0,9,0,1,0,0
2024,2024-04-30,745673,False,AWAY,133,Athletics,DEBIL,2,5,1,1,0,2,1,2,9,0,2,0,0
2024,2024-05-01,745670,False,AWAY,133,Athletics,DEBIL,0,4,0,0,0,2,1,1,9,0,0,0,0
2024,2024-05-03,745510,True,HOME,115,Colorado Rockies,DEBIL,2,3,0,0,2,0,3,0,9,0,0,2,0
2024,2024-05-04,745511,True,HOME,115,Colorado Rockies,DEBIL,1,0,0,0,1,0,0,0,9,0,0,1,0
2024,2024-05-05,745504,True,HOME,115,Colorado Rockies,DEBIL,5,3,0,5,0,3,0,0,8,1,5,0,0
2024,2024-05-06,745509,True,HOME,108,Los Angeles Angels,DEBIL,4,1,4,0,0,0,1,0,8,1,4,0,0
2024,2024-05-07,745508,True,HOME,108,Los Angeles Angels,DEBIL,0,9,0,0,0,0,6,3,9,0,0,0,0
2024,2024-05-08,745507,True,HOME,108,Los Angeles Angels,DEBIL,4,5,0,4,0,1,4,0,9,1,4,0,0
2024,2024-05-10,745506,True,HOME,112,Chicago Cubs,MEDIO,2,7,2,0,0,1,2,4,9,0,2,0,0
2024,2024-05-11,745505,True,HOME,112,Chicago Cubs,MEDIO,10,9,4,6,0,0,8,1,8,2,6,4,0
2024,2024-05-12,745499,True,HOME,112,Chicago Cubs,MEDIO,4,5,0,2,2,2,0,3,10,0,1,3,0
2024,2024-05-13,745991,False,AWAY,158,Milwaukee Brewers,FUERTE,8,6,3,0,5,0,0,6,9,0,3,5,0
2024,2024-05-14,745989,False,AWAY,158,Milwaukee Brewers,FUERTE,3,4,0,2,1,4,0,0,9,0,2,1,0
2024,2024-05-15,745992,False,AWAY,158,Milwaukee Brewers,FUERTE,2,10,1,0,1,5,5,0,9,0,1,1,0
2024,2024-05-16,746881,False,AWAY,112,Chicago Cubs,MEDIO,5,4,2,3,0,1,2,1,9,0,5,0,0
2024,2024-05-17,746878,False,AWAY,112,Chicago Cubs,MEDIO,9,3,2,6,1,0,0,3,9,2,8,1,0
2024,2024-05-18,746882,False,AWAY,112,Chicago Cubs,MEDIO,0,1,0,0,0,0,0,1,9,0,0,0,0
2024,2024-05-19,746880,False,AWAY,112,Chicago Cubs,MEDIO,3,2,1,2,0,1,1,0,9,0,3,0,0
2024,2024-05-21,745503,True,HOME,137,San Francisco Giants,MEDIO,7,6,1,1,5,2,2,2,10,1,2,5,0
2024,2024-05-22,745502,True,HOME,137,San Francisco Giants,MEDIO,5,9,0,5,0,0,3,6,10,1,4,1,0
2024,2024-05-23,745500,True,HOME,137,San Francisco Giants,MEDIO,6,7,1,4,1,0,1,6,9,1,1,5,0
2024,2024-05-24,745501,True,HOME,144,Atlanta Braves,FUERTE,11,5,5,5,1,0,0,5,8,2,5,6,0
2024,2024-05-25,745493,True,HOME,144,Atlanta Braves,FUERTE,4,1,1,2,1,0,1,0,8,0,3,1,0
2024,2024-05-26,745498,True,HOME,144,Atlanta Braves,FUERTE,1,8,1,0,0,1,3,4,9,0,1,0,0
2024,2024-05-29,746467,False,AWAY,116,Detroit Tigers,FUERTE,0,8,0,0,0,3,5,0,9,0,0,0,0
2024,2024-05-29,746468,False,AWAY,116,Detroit Tigers,FUERTE,10,2,3,2,5,1,1,0,9,1,4,6,0
2024,2024-05-31,744928,False,AWAY,141,Toronto Blue Jays,DEBIL,3,5,0,1,2,0,0,5,14,0,1,2,0
