DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,746089,6,2024
2024-03-29,746091,7,2024
2024-03-30,746087,9,2024
2024-03-31,746090,9,2024
2024-04-01,744875,8,2024
2024-04-03,744869,3,2024
2024-04-04,744870,7,2024
2024-04-05,745524,2,2024
2024-04-06,745522,5,2024
2024-04-07,745523,3,2024
2024-04-08,745520,7,2024
2024-04-09,745517,3,2024
2024-04-11,745601,1,2024
2024-04-12,745596,5,2024
2024-04-13,745594,3,2024
2024-04-14,745595,9,2024
2024-04-15,745840,3,2024
2024-04-16,745837,1,2024
2024-04-17,745836,1,2024
2024-04-19,745518,1,2024
2024-04-20,745515,2,2024
2024-04-21,745514,1,2024
2024-04-22,745519,4,2024
2024-04-23,745516,2,2024
2024-04-24,745513,2,2024
2024-04-25,745512,5,2024
2024-04-26,745347,0,2024
2024-04-27,745350,4,2024
2024-04-28,745349,2,2024
2024-04-29,745672,1,2024
2024-04-30,745673,2,2024
2024-05-01,745670,0,2024
2024-05-03,745510,2,2024
2024-05-04,745511,1,2024
2024-05-05,745504,5,2024
2024-05-06,745509,4,2024
2024-05-07,745508,0,2024
2024-05-08,745507,4,2024
2024-05-10,745506,2,2024
2024-05-11,745505,10,2024
2024-05-12,745499,4,2024
2024-05-13,745991,8,2024
2024-05-14,745989,3,2024
2024-05-15,745992,2,2024
2024-05-16,746881,5,2024
2024-05-17,746878,9,2024
2024-05-18,746882,0,2024
2024-05-19,746880,3,2024
2024-05-21,745503,7,2024
2024-05-22,745502,5,2024
2024-05-23,745500,6,2024
2024-05-24,745501,11,2024
2024-05-25,745493,4,2024
2024-05-26,745498,1,2024
2024-05-29,746467,0,2024
2024-05-29,746468,10,2024
2024-05-31,744928,3,2024
2024-06-01,744932,8,2024
2024-06-02,744929,4,2024
2024-06-04,745497,1,2024
2024-06-05,745494,10,2024
2024-06-06,745495,7,2024
2024-06-07,745496,3,2024
2024-06-08,745492,4,2024
2024-06-09,745491,5,2024
2024-06-11,745170,2,2024
2024-06-12,745171,2,2024
2024-06-13,745168,3,2024
2024-06-14,746545,5,2024
2024-06-15,746547,4,2024
2024-06-16,746546,8,2024
2024-06-17,745490,4,2024
2024-06-18,745488,1,2024
2024-06-19,745489,1,2024
2024-06-21,745483,3,2024
2024-06-22,745486,4,2024
2024-06-23,745485,1,2024
2024-06-24,746696,5,2024
2024-06-25,746697,9,2024
2024-06-26,746695,6,2024
2024-06-28,747105,1,2024
2024-06-29,747104,1,2024
2024-06-30,747101,4,2024
2024-07-02,745482,4,2024
2024-07-03,745487,5,2024
2024-07-04,745484,2,2024
2024-07-05,745479,14,2024
2024-07-06,745476,2,2024
2024-07-07,745477,2,2024
2024-07-08,745480,8,2024
2024-07-09,745968,12,2024
2024-07-10,745969,0,2024
2024-07-11,745967,1,2024
2024-07-12,746774,4,2024
2024-07-13,746766,6,2024
2024-07-14,746769,9,2024
2024-07-19,745481,8,2024
2024-07-20,745478,4,2024
2024-07-21,745470,0,2024
2024-07-22,745473,2,2024
2024-07-23,745475,1,2024
2024-07-24,745472,5,2024
