PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,746089,656605,STARTER,17,7,4,0,2,1,3,27
2024,746089,676596,BULLPEN,1,0,0,0,0,0,0,1
2024,746089,676702,BULLPEN,2,1,0,0,0,1,1,4
2024,746089,621366,BULLPEN,4,0,0,0,0,0,2,4
2024,746089,547973,BULLPEN,3,0,0,0,0,0,1,3
2024,746089,682847,BULLPEN,6,0,0,0,2,0,0,6
2024,746089,669796,BULLPEN,3,0,0,0,0,0,0,3
2024,746091,527048,STARTER,13,6,1,0,3,0,2,21
2024,746091,656924,BULLPEN,5,1,0,0,0,0,2,5
2024,746091,676596,BULLPEN,9,2,1,0,1,0,3,11
2024,746087,683003,STARTER,17,3,3,0,2,0,10,23
2024,746087,621366,BULLPEN,2,1,0,0,0,0,1,3
2024,746087,676702,BULLPEN,2,1,0,0,0,0,1,3
2024,746087,669796,BULLPEN,3,0,0,0,0,0,0,3
2024,746087,670280,BULLPEN,3,0,0,0,0,0,1,3
2024,746090,663559,STARTER,12,5,6,2,3,0,2,20
2024,746090,682847,BULLPEN,6,0,0,0,1,0,1,7
2024,746090,621366,BULLPEN,3,0,0,0,0,0,2,3
2024,746090,547973,BULLPEN,3,0,0,0,0,0,2,3
2024,746090,670280,BULLPEN,3,1,1,1,0,0,2,4
2024,746090,676702,BULLPEN,3,1,0,0,0,0,2,4
2024,744875,594835,STARTER,15,4,1,0,2,0,2,20
2024,744875,672710,BULLPEN,6,2,2,1,1,0,3,9
2024,744875,656924,BULLPEN,5,2,1,0,1,0,3,8
2024,744875,547973,BULLPEN,1,0,0,0,0,0,0,1
2024,744869,656605,STARTER,16,8,4,1,2,0,5,27
2024,744869,676702,BULLPEN,3,1,0,0,0,0,1,3
2024,744869,676596,BULLPEN,5,1,0,0,0,0,2,5
2024,744870,527048,STARTER,20,6,2,1,2,0,6,28
2024,744870,682847,BULLPEN,3,2,2,0,2,0,1,7
2024,744870,547973,BULLPEN,1,0,0,0,0,0,1,1
2024,744870,670280,BULLPEN,3,0,0,0,0,0,2,3
2024,745524,683003,STARTER,18,6,2,2,0,1,7,25
2024,745524,621366,BULLPEN,1,3,2,0,0,0,1,4
2024,745524,676702,BULLPEN,5,2,1,1,0,0,1,7
2024,745524,672710,BULLPEN,3,1,0,0,0,0,1,4
2024,745522,663559,STARTER,18,1,0,0,1,0,1,21
2024,745522,656924,BULLPEN,3,1,2,0,1,0,0,5
2024,745522,547973,BULLPEN,3,0,0,0,1,0,2,4
2024,745522,670280,BULLPEN,3,2,1,0,0,0,1,6
2024,745522,682847,BULLPEN,5,0,0,0,0,0,2,5
2024,745522,676596,BULLPEN,1,0,0,0,0,0,0,1
2024,745523,594835,STARTER,18,5,2,0,0,0,4,22
2024,745523,672710,BULLPEN,5,0,0,0,0,0,0,5
2024,745523,669796,BULLPEN,4,1,0,0,0,0,2,5
2024,745520,656605,STARTER,18,5,2,0,3,0,9,25
2024,745520,676596,BULLPEN,4,2,0,0,1,0,0,8
2024,745520,547973,BULLPEN,2,0,0,0,0,0,2,2
2024,745520,656924,BULLPEN,3,2,1,0,0,0,1,5
2024,745517,527048,STARTER,24,6,1,0,0,0,7,29
2024,745517,670280,BULLPEN,1,3,4,0,1,2,0,7
2024,745517,672710,BULLPEN,2,0,0,0,0,0,1,2
2024,745601,683003,STARTER,19,6,3,2,0,0,8,24
2024,745601,670059,BULLPEN,2,1,1,1,0,0,0,4
2024,745601,676702,BULLPEN,3,0,0,0,0,0,2,3
2024,745596,663559,STARTER,15,4,1,0,0,0,3,18
2024,745596,669796,BULLPEN,2,1,0,0,0,0,1,3
2024,745596,682847,BULLPEN,3,1,0,0,0,0,1,4
2024,745596,676596,BULLPEN,2,1,1,0,1,0,0,4
2024,745596,547973,BULLPEN,2,0,0,0,2,0,1,4
2024,745596,670280,BULLPEN,3,0,0,0,0,0,1,3
2024,745594,594835,STARTER,18,6,2,1,3,0,5,27
2024,745594,547973,BULLPEN,1,1,0,0,2,0,0,4
2024,745594,670059,BULLPEN,2,0,0,0,0,0,1,2
2024,745594,676702,BULLPEN,3,0,0,0,0,0,2,3
2024,745594,669796,BULLPEN,1,1,1,0,1,0,1,3
2024,745594,672710,BULLPEN,0,1,0,0,1,0,0,2
2024,745595,656605,STARTER,21,8,2,1,0,0,4,27
2024,745595,676596,BULLPEN,3,0,0,0,0,0,1,3
2024,745595,656924,BULLPEN,3,0,0,0,0,0,1,3
2024,745840,527048,STARTER,17,6,3,0,2,1,1,25
2024,745840,676702,BULLPEN,1,1,0,0,0,1,0,3
2024,745840,670059,BULLPEN,3,0,0,0,1,0,2,4
2024,745840,547973,BULLPEN,1,1,3,0,1,0,2,4
2024,745840,672710,BULLPEN,2,0,0,0,0,0,1,3
2024,745837,683003,STARTER,15,1,0,0,0,0,7,16
2024,745837,682847,BULLPEN,5,2,3,0,1,0,0,8
2024,745837,669796,BULLPEN,1,1,0,0,2,0,0,4
2024,745837,656924,BULLPEN,3,0,0,0,0,0,2,3
2024,745836,663559,STARTER,15,4,2,1,1,0,4,20
2024,745836,676702,BULLPEN,3,3,4,1,1,0,1,7
2024,745836,656924,BULLPEN,3,0,0,0,0,0,1,3
2024,745836,670280,BULLPEN,2,2,3,0,1,0,2,6
2024,745836,676596,BULLPEN,1,1,0,0,0,0,0,2
2024,745518,682990,STARTER,13,7,4,3,1,0,2,21
2024,745518,676596,BULLPEN,2,1,0,0,0,1,0,4
2024,745518,672710,BULLPEN,6,3,3,1,2,0,2,10
2024,745518,676702,BULLPEN,6,1,0,0,0,0,1,7
2024,745515,656605,STARTER,18,5,4,1,4,0,4,26
2024,745515,682847,BULLPEN,6,0,0,0,2,0,2,9
2024,745515,670059,BULLPEN,3,1,0,0,1,0,2,5
2024,745514,527048,STARTER,12,6,4,0,4,1,7,23
2024,745514,656924,BULLPEN,6,2,0,0,1,1,2,11
2024,745514,676596,BULLPEN,3,0,0,0,0,0,1,3
