PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,746089,666200,STARTER,3
2024,746089,666200,STARTER,3
2024,746089,677053,BULLPEN,7
2024,746089,677053,BULLPEN,7
2024,746089,664350,BULLPEN,8
2024,746089,686539,BULLPEN,12
2024,746091,640462,STARTER,2
2024,746091,640462,STARTER,2
2024,746091,640462,STARTER,3
2024,746091,640462,STARTER,3
2024,746091,663773,BULLPEN,6
2024,746091,572143,BULLPEN,7
2024,746091,572143,BULLPEN,8
2024,746087,677960,STARTER,3
2024,746087,677960,STARTER,4
2024,746087,677960,STARTER,4
2024,746087,664350,BULLPEN,5
2024,746087,664350,BULLPEN,5
2024,746087,677053,BULLPEN,7
2024,746087,677053,BULLPEN,7
2024,746087,677053,BULLPEN,7
2024,746087,677053,BULLPEN,7
2024,746090,669432,STARTER,2
2024,746090,669432,STARTER,2
2024,746090,669432,STARTER,2
2024,746090,669432,STARTER,4
2024,746090,661269,BULLPEN,7
2024,746090,661269,BULLPEN,7
2024,746090,661269,BULLPEN,7
2024,746090,656945,BULLPEN,10
2024,746090,656945,BULLPEN,10
2024,744875,669022,STARTER,2
2024,744875,669022,STARTER,2
2024,744875,669022,STARTER,6
2024,744875,676395,BULLPEN,8
2024,744875,598264,BULLPEN,8
2024,744875,598264,BULLPEN,8
2024,744875,663432,BULLPEN,9
2024,744875,663432,BULLPEN,9
2024,744869,592866,STARTER,2
2024,744869,592866,STARTER,2
2024,744869,676395,BULLPEN,6
2024,744870,680686,STARTER,1
2024,744870,680686,STARTER,1
2024,744870,680686,STARTER,1
2024,744870,680686,STARTER,1
2024,744870,680686,STARTER,2
2024,744870,571882,BULLPEN,5
2024,744870,680686,STARTER,5
2024,745524,680570,STARTER,5
2024,745524,680570,STARTER,7
2024,745522,669330,STARTER,2
2024,745522,669330,STARTER,2
2024,745522,669330,STARTER,2
2024,745522,657508,BULLPEN,10
2024,745522,669169,BULLPEN,11
2024,745523,665152,STARTER,5
2024,745523,666974,BULLPEN,9
2024,745523,666974,BULLPEN,9
2024,745520,681857,STARTER,2
2024,745520,681857,STARTER,2
2024,745520,681857,STARTER,2
2024,745520,681857,STARTER,3
2024,745520,681857,STARTER,3
2024,745520,681857,STARTER,5
2024,745520,663947,BULLPEN,6
2024,745517,663554,STARTER,2
2024,745517,663554,STARTER,3
2024,745517,663947,BULLPEN,6
2024,745601,656793,BULLPEN,9
2024,745596,650911,STARTER,2
2024,745596,650911,STARTER,4
2024,745596,628708,BULLPEN,7
2024,745596,620982,BULLPEN,8
2024,745596,620982,BULLPEN,8
2024,745594,605513,STARTER,1
2024,745594,605513,STARTER,5
2024,745594,605513,STARTER,5
2024,745595,554430,STARTER,4
2024,745595,554430,STARTER,6
2024,745595,554430,STARTER,6
2024,745595,554430,STARTER,6
2024,745595,554430,STARTER,6
2024,745595,622554,BULLPEN,6
2024,745595,620982,BULLPEN,8
2024,745595,620982,BULLPEN,9
2024,745595,620982,BULLPEN,9
2024,745840,605288,STARTER,6
2024,745840,605288,STARTER,6
2024,745840,622098,BULLPEN,6
2024,745837,500779,STARTER,5
2024,745836,622663,STARTER,3
2024,745518,592155,BULLPEN,9
2024,745515,676710,STARTER,4
2024,745515,570257,BULLPEN,8
2024,745514,670174,STARTER,1
2024,745519,605452,STARTER,1
2024,745519,605452,STARTER,6
2024,745519,571948,BULLPEN,6
2024,745519,571948,BULLPEN,6
2024,745516,668964,STARTER,1
2024,745516,657649,BULLPEN,6
2024,745513,669060,STARTER,3
2024,745513,669060,STARTER,3
2024,745512,642547,STARTER,1
2024,745512,642547,STARTER,1
2024,745512,642547,STARTER,1
2024,745512,642547,STARTER,5
2024,745512,642547,STARTER,5
2024,745350,663855,STARTER,7
2024,745350,573124,BULLPEN,10
2024,745350,573124,BULLPEN,10
2024,745350,573124,BULLPEN,10
2024,745349,676775,STARTER,5
2024,745349,666808,BULLPEN,9
2024,745672,671212,STARTER,1
2024,745673,622072,STARTER,1
2024,745673,622072,STARTER,4
2024,745510,656222,BULLPEN,9
2024,745510,656234,BULLPEN,9
2024,745511,683232,BULLPEN,9
2024,745504,663372,STARTER,4
2024,745504,663372,STARTER,6
2024,745504,663372,STARTER,6
2024,745504,663372,STARTER,6
2024,745504,663372,STARTER,6
2024,745509,542881,STARTER,3
2024,745509,542881,STARTER,3
2024,745509,542881,STARTER,3
2024,745509,542881,STARTER,3
2024,745507,667755,STARTER,5
2024,745507,667755,STARTER,5
2024,745507,667755,STARTER,5
2024,745507,667755,STARTER,5
2024,745506,665871,STARTER,1
2024,745506,665871,STARTER,1
2024,745505,657006,STARTER,3
2024,745505,657006,STARTER,3
2024,745505,657006,STARTER,3
2024,745505,657006,STARTER,3
2024,745505,657006,STARTER,4
2024,745505,657006,STARTER,4
2024,745505,624522,BULLPEN,5
2024,745505,624522,BULLPEN,5
2024,745505,624522,BULLPEN,5
2024,745505,663992,BULLPEN,6
2024,745499,543294,STARTER,4
2024,745499,663992,BULLPEN,6
2024,745499,640470,BULLPEN,10
2024,745499,640470,BULLPEN,10
2024,745991,607067,STARTER,1
2024,745991,607067,STARTER,1
2024,745991,607067,STARTER,3
2024,745991,600986,BULLPEN,7
2024,745991,600986,BULLPEN,7
2024,745991,669952,BULLPEN,8
2024,745991,669952,BULLPEN,8
2024,745991,606303,BULLPEN,9
2024,745989,605452,STARTER,4
2024,745989,605452,STARTER,4
2024,745989,656730,BULLPEN,9
2024,745992,688107,STARTER,3
2024,745992,657649,BULLPEN,7
2024,746881,657006,STARTER,1
2024,746881,657006,STARTER,1
2024,746881,657006,STARTER,4
2024,746881,657006,STARTER,5
2024,746881,657006,STARTER,6
2024,746878,543294,STARTER,3
2024,746878,543294,STARTER,3
2024,746878,543294,STARTER,4
2024,746878,543294,STARTER,4
2024,746878,543294,STARTER,4
2024,746878,543294,STARTER,5
2024,746878,543294,STARTER,5
2024,746878,543294,STARTER,5
2024,746878,643410,BULLPEN,8
2024,746880,592791,STARTER,2
2024,746880,592791,STARTER,5
2024,746880,592791,STARTER,5
2024,745503,657277,STARTER,2
2024,745503,657277,STARTER,5
2024,745503,592426,BULLPEN,9
2024,745503,592426,BULLPEN,9
2024,745503,666808,BULLPEN,9
2024,745503,666808,BULLPEN,9
2024,745503,669062,BULLPEN,10
2024,745502,605483,STARTER,4
2024,745502,663546,BULLPEN,4
2024,745502,605483,STARTER,4
2024,745502,605483,STARTER,4
2024,745502,605483,STARTER,4
2024,745500,669062,STARTER,1
2024,745500,696131,BULLPEN,4
2024,745500,696131,BULLPEN,4
2024,745500,696131,BULLPEN,4
2024,745500,696131,BULLPEN,4
2024,745500,592426,BULLPEN,7
2024,745501,678061,STARTER,1
2024,745501,678061,STARTER,1
2024,745501,678061,STARTER,3
2024,745501,678061,STARTER,3
2024,745501,678061,STARTER,3
2024,745501,670241,BULLPEN,5
2024,745501,670241,BULLPEN,5
2024,745501,670241,BULLPEN,6
2024,745501,670241,BULLPEN,6
2024,745501,670241,BULLPEN,6
2024,745501,670241,BULLPEN,7
2024,745493,625643,STARTER,3
2024,745493,625643,STARTER,4
2024,745493,625643,STARTER,4
2024,745493,572955,BULLPEN,7
2024,745498,519242,STARTER,2
2024,746468,672456,STARTER,3
2024,746468,672456,STARTER,3
2024,746468,672456,STARTER,3
2024,746468,672456,STARTER,4
2024,746468,666214,BULLPEN,6
2024,746468,666214,BULLPEN,7
