PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,28,158,48,60,50,90,68,255,19,1126,34,77,3,295,68,363,92,5.642857142857143,3.2142857142857144,2.4285714285714284,7.450980392156863,23.050847457627118,25.34435261707989
2024,DEBIL,HOME,31,148,43,53,52,78,70,267,20,1140,45,102,3,280,63,342,62,4.774193548387097,2.5161290322580645,2.2580645161290325,7.49063670411985,22.5,18.128654970760234
2024,FUERTE,AWAY,18,91,24,32,35,56,35,162,15,716,16,65,3,192,51,217,48,5.055555555555555,3.111111111111111,1.9444444444444444,9.25925925925926,26.5625,22.119815668202765
2024,FUERTE,HOME,18,63,12,26,25,38,25,157,6,648,24,44,4,136,33,209,46,3.5,2.111111111111111,1.3888888888888888,3.821656050955414,24.264705882352942,22.00956937799043
2024,MEDIO,AWAY,35,155,50,58,47,88,67,319,19,1328,29,87,8,335,75,425,96,4.428571428571429,2.5142857142857142,1.9142857142857144,5.956112852664577,22.388059701492537,22.58823529411765
2024,MEDIO,HOME,32,145,52,40,53,87,58,276,19,1154,42,83,9,255,57,368,72,4.53125,2.71875,1.8125,6.884057971014493,22.352941176470587,19.565217391304348
2025,DEBIL,AWAY,31,171,65,54,52,101,70,281,19,1250,31,86,7,379,92,392,89,5.516129032258065,3.2580645161290325,2.2580645161290325,6.761565836298932,24.274406332453825,22.70408163265306
2025,DEBIL,HOME,29,147,53,56,38,104,43,246,17,1067,38,101,9,270,62,345,76,5.068965517241379,3.586206896551724,1.4827586206896552,6.9105691056910565,22.962962962962962,22.028985507246375
2025,FUERTE,AWAY,15,47,18,13,16,30,17,135,5,563,10,47,0,127,22,190,43,3.1333333333333333,2.0,1.1333333333333333,3.7037037037037037,17.322834645669293,22.63157894736842
2025,FUERTE,HOME,24,103,34,29,40,61,42,208,10,901,21,107,3,243,52,292,61,4.291666666666667,2.5416666666666665,1.75,4.8076923076923075,21.39917695473251,20.89041095890411
2025,MEDIO,AWAY,35,120,45,32,43,71,49,320,10,1314,34,88,8,307,51,422,82,3.4285714285714284,2.0285714285714285,1.4,3.125,16.612377850162865,19.43127962085308
2025,MEDIO,HOME,28,114,41,43,30,67,47,240,12,1009,18,81,5,281,57,337,75,4.071428571428571,2.392857142857143,1.6785714285714286,5.0,20.284697508896798,22.255192878338278
2026_CUTOFF,DEBIL,AWAY,18,90,15,25,50,34,56,163,8,699,22,63,4,181,44,234,52,5.0,1.8888888888888888,3.111111111111111,4.9079754601226995,24.30939226519337,22.22222222222222
2026_CUTOFF,DEBIL,HOME,13,65,18,17,30,28,37,116,9,496,17,56,4,151,26,147,25,5.0,2.1538461538461537,2.8461538461538463,7.758620689655173,17.218543046357617,17.006802721088434
2026_CUTOFF,FUERTE,AWAY,16,69,12,31,26,42,27,144,9,597,22,55,2,132,33,197,43,4.3125,2.625,1.6875,6.25,25.0,21.82741116751269
2026_CUTOFF,FUERTE,HOME,15,53,23,15,15,35,18,129,6,541,11,56,2,142,29,168,29,3.533333333333333,2.3333333333333335,1.2,4.651162790697675,20.422535211267604,17.261904761904763
2026_CUTOFF,MEDIO,AWAY,17,74,24,19,31,44,30,154,8,645,24,49,5,146,33,216,49,4.352941176470588,2.588235294117647,1.7647058823529411,5.194805194805195,22.602739726027398,22.685185185185187
2026_CUTOFF,MEDIO,HOME,23,70,24,26,20,39,31,200,7,805,18,70,5,161,32,274,60,3.0434782608695654,1.6956521739130435,1.3478260869565217,3.5,19.875776397515526,21.8978102189781
