DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-20,745444,2,2024
2024-03-21,746175,15,2024
2024-03-28,745445,6,2024
2024-03-29,745435,3,2024
2024-03-30,745436,6,2024
2024-03-31,745438,13,2024
2024-04-01,745437,2,2024
2024-04-02,745439,2,2024
2024-04-03,745440,3,2024
2024-04-05,745361,2,2024
2024-04-06,745359,4,2024
2024-04-07,745362,2,2024
2024-04-08,745432,9,2024
2024-04-09,745433,1,2024
2024-04-10,745429,10,2024
2024-04-12,746162,8,2024
2024-04-13,746161,2,2024
2024-04-14,746164,6,2024
2024-04-15,746002,7,2024
2024-04-16,746004,6,2024
2024-04-17,746005,0,2024
2024-04-19,745430,1,2024
2024-04-20,745431,2,2024
2024-04-21,745434,6,2024
2024-04-22,746565,3,2024
2024-04-23,746566,4,2024
2024-04-24,746567,5,2024
2024-04-25,746564,9,2024
2024-04-26,745424,3,2024
2024-04-27,745425,1,2024
2024-04-28,745428,6,2024
2024-04-29,745427,2,2024
2024-04-30,745426,6,2024
2024-05-01,745423,6,2024
2024-05-03,747208,7,2024
2024-05-04,747209,13,2024
2024-05-05,747206,4,2024
2024-05-06,746886,6,2024
2024-05-07,746885,2,2024
2024-05-08,746879,3,2024
2024-05-10,745421,2,2024
2024-05-11,745422,0,2024
2024-05-12,745419,4,2024
2024-05-13,745420,4,2024
2024-05-14,745418,3,2024
2024-05-15,745417,0,2024
2024-05-17,747122,3,2024
2024-05-19,747120,9,2024
2024-05-20,747119,6,2024
2024-05-20,747121,0,2024
2024-05-21,746716,0,2024
2024-05-22,746712,7,2024
2024-05-23,746714,6,2024
2024-05-24,745415,0,2024
2024-05-25,745411,1,2024
2024-05-26,745413,5,2024
2024-05-27,745416,2,2024
2024-05-28,745412,4,2024
2024-05-29,745414,1,2024
2024-05-31,746303,11,2024
2024-06-01,746305,7,2024
2024-06-02,746301,3,2024
2024-06-03,746224,1,2024
2024-06-04,746222,2,2024
2024-06-05,746221,2,2024
2024-06-06,745408,3,2024
2024-06-07,745406,10,2024
2024-06-08,745410,13,2024
2024-06-09,745407,3,2024
2024-06-10,745409,6,2024
2024-06-11,745404,4,2024
2024-06-12,745405,5,2024
2024-06-14,745810,1,2024
2024-06-15,745805,1,2024
2024-06-16,745807,6,2024
2024-06-17,745567,2,2024
2024-06-18,745563,3,2024
2024-06-19,745561,5,2024
2024-06-20,745401,7,2024
2024-06-21,745403,9,2024
2024-06-22,745402,6,2024
2024-06-23,745396,2,2024
2024-06-24,745397,7,2024
2024-06-25,745399,9,2024
2024-06-26,745400,8,2024
2024-06-28,746939,9,2024
2024-06-29,746940,11,2024
2024-06-30,746938,1,2024
2024-07-02,744999,0,2024
2024-07-03,744998,6,2024
2024-07-04,744996,3,2024
2024-07-05,745398,10,2024
2024-07-06,745395,5,2024
2024-07-07,745391,1,2024
2024-07-09,745393,3,2024
2024-07-10,745394,0,2024
2024-07-12,745390,1,2024
2024-07-13,745392,4,2024
2024-07-14,745385,3,2024
2024-07-19,746618,0,2024
2024-07-20,746613,7,2024
2024-07-21,746610,2,2024
2024-07-23,744828,4,2024
2024-07-24,744824,12,2024
2024-07-25,744827,3,2024
2024-07-26,747010,6,2024
2024-07-27,747006,9,2024
2024-07-28,747008,6,2024
2024-07-30,745389,6,2024
2024-07-31,745386,8,2024
2024-08-02,745387,2,2024
2024-08-03,745388,3,2024
2024-08-04,745384,10,2024
2024-08-06,745467,6,2024
2024-08-07,745469,9,2024
2024-08-08,745466,7,2024
2024-08-09,746032,6,2024
2024-08-10,746026,9,2024
2024-08-11,746025,6,2024
2024-08-12,745383,2,2024
2024-08-13,745382,3,2024
2024-08-14,745381,8,2024
2024-08-16,746518,3,2024
2024-08-17,746515,8,2024
2024-08-18,746516,2,2024
2024-08-19,745380,5,2024
2024-08-20,745374,7,2024
2024-08-21,745375,4,2024
2024-08-22,745379,3,2024
2024-08-23,745378,7,2024
2024-08-24,745377,1,2024
2024-08-25,745376,3,2024
2024-08-26,745133,7,2024
2024-08-27,745132,7,2024
2024-08-28,745134,3,2024
2024-08-29,745135,1,2024
2024-08-30,745052,13,2024
2024-08-31,745050,4,2024
2024-09-01,745048,4,2024
2024-09-02,745373,3,2024
2024-09-04,745370,6,2024
2024-09-05,745369,3,2024
2024-09-06,745371,5,2024
2024-09-07,745372,3,2024
2024-09-08,745368,6,2024
2024-09-10,745210,7,2024
2024-09-11,745214,2,2024
2024-09-13,745286,5,2024
2024-09-14,745284,8,2024
2024-09-15,745287,4,2024
2024-09-16,745367,3,2024
2024-09-17,745366,3,2024
2024-09-18,745365,4,2024
2024-09-20,745364,3,2024
2024-09-21,745360,6,2024
2024-09-22,745358,4,2024
2024-09-24,746093,4,2024
2024-09-25,746095,3,2024
2024-09-26,746088,2,2024
2024-09-27,747145,5,2024
2024-09-28,747146,5,2024
2024-09-29,747147,2,2024
2025-03-27,778545,7,2025
2025-03-28,778542,4,2025
2025-03-29,778520,1,2025
2025-03-30,778514,5,2025
2025-03-31,778499,7,2025
2025-04-01,778485,7,2025
2025-04-02,778476,5,2025
2025-04-04,778460,1,2025
2025-04-05,778450,1,2025
2025-04-06,778430,8,2025
2025-04-07,778414,5,2025
2025-04-08,778395,4,2025
2025-04-09,778381,2,2025
2025-04-11,778361,8,2025
2025-04-12,778352,2,2025
2025-04-13,778330,6,2025
2025-04-14,778315,10,2025
2025-04-15,778305,1,2025
2025-04-16,778288,4,2025
2025-04-18,778269,4,2025
2025-04-19,778259,2,2025
2025-04-20,778237,3,2025
2025-04-21,778228,4,2025
2025-04-22,778221,2,2025
2025-04-23,778209,0,2025
2025-04-25,778172,0,2025
2025-04-26,778160,1,2025
2025-04-27,778146,2,2025
2025-04-29,778126,7,2025
2025-04-30,778105,5,2025
2025-05-02,778090,9,2025
2025-05-03,778065,2,2025
2025-05-04,778051,4,2025
2025-05-05,778045,4,2025
2025-05-06,778041,3,2025
2025-05-07,778019,3,2025
2025-05-09,777993,13,2025
2025-05-10,777976,21,2025
2025-05-11,777955,3,2025
2025-05-12,777947,5,2025
2025-05-13,777932,6,2025
2025-05-14,777914,5,2025
2025-05-16,777896,1,2025
2025-05-17,777875,1,2025
2025-05-18,777868,1,2025
2025-05-20,777845,0,2025
2025-05-21,777837,0,2025
2025-05-22,777816,6,2025
2025-05-23,777813,2,2025
2025-05-24,777803,1,2025
2025-05-25,777783,5,2025
2025-05-26,777756,4,2025
2025-05-27,777742,8,2025
2025-05-28,777726,8,2025
2025-05-30,777707,3,2025
2025-05-31,777691,0,2025
2025-06-01,777681,6,2025
2025-06-02,777676,1,2025
2025-06-03,777656,3,2025
2025-06-04,777641,5,2025
2025-06-05,777633,2,2025
2025-06-06,777617,2,2025
2025-06-07,777597,3,2025
2025-06-08,777586,1,2025
2025-06-09,777579,7,2025
2025-06-10,777560,11,2025
2025-06-11,777543,2,2025
2025-06-13,777521,1,2025
2025-06-14,777515,7,2025
2025-06-15,777491,8,2025
2025-06-16,777490,3,2025
2025-06-17,777471,6,2025
