PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745444,506433,STARTER,11,2,0,0,3,0,3,17
2024,745444,676680,BULLPEN,2,1,0,0,0,1,0,4
2024,745444,660853,BULLPEN,3,0,0,0,0,0,1,3
2024,745444,673513,BULLPEN,2,0,0,0,1,0,1,3
2024,745444,593974,BULLPEN,3,0,1,0,2,0,1,5
2024,745444,666745,BULLPEN,1,1,2,0,1,0,0,3
2024,745444,670970,BULLPEN,2,2,0,0,0,0,0,4
2024,745444,669093,BULLPEN,3,1,0,0,2,0,1,6
2024,746175,605397,STARTER,8,7,5,0,2,0,2,17
2024,746175,676680,BULLPEN,1,2,1,0,0,0,0,3
2024,746175,650633,BULLPEN,10,4,3,1,3,0,5,17
2024,746175,673513,BULLPEN,2,2,0,0,0,0,0,4
2024,746175,663568,BULLPEN,2,0,2,0,1,1,0,4
2024,746175,663158,BULLPEN,4,1,0,0,0,0,2,5
2024,745445,506433,STARTER,15,5,1,0,1,0,7,20
2024,745445,676680,BULLPEN,3,0,0,0,0,0,2,3
2024,745445,666745,BULLPEN,1,3,2,0,0,0,0,4
2024,745445,673513,BULLPEN,5,0,0,0,0,0,0,4
2024,745445,663158,BULLPEN,3,1,1,1,0,0,1,4
2024,745435,605397,STARTER,17,8,4,1,1,2,3,26
2024,745435,663568,BULLPEN,3,3,2,0,0,0,1,6
2024,745435,660853,BULLPEN,4,1,0,0,0,0,1,5
2024,745435,658648,BULLPEN,3,1,2,1,1,0,2,5
2024,745436,656302,STARTER,14,2,2,0,2,0,6,19
2024,745436,666745,BULLPEN,7,0,0,0,0,0,2,7
2024,745436,676680,BULLPEN,1,5,6,2,1,0,1,7
2024,745436,660853,BULLPEN,2,2,0,0,0,0,0,4
2024,745436,663568,BULLPEN,3,0,0,0,0,0,1,3
2024,745438,650633,STARTER,12,2,2,1,7,0,6,21
2024,745438,658648,BULLPEN,9,1,2,0,1,1,2,12
2024,745438,673513,BULLPEN,3,1,0,0,0,0,1,4
2024,745438,593974,BULLPEN,3,1,0,0,0,0,0,3
2024,745437,663362,STARTER,12,9,4,1,1,0,7,22
2024,745437,666745,BULLPEN,3,3,2,1,1,0,1,7
