PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745444,607192,STARTER,3
2024,745444,607192,STARTER,4
2024,746175,808967,STARTER,1
2024,746175,808967,STARTER,1
2024,746175,808967,STARTER,1
2024,746175,808967,STARTER,1
2024,746175,808967,STARTER,1
2024,746175,675627,BULLPEN,3
2024,746175,675627,BULLPEN,3
2024,746175,675627,BULLPEN,3
2024,746175,675627,BULLPEN,3
2024,746175,669165,BULLPEN,5
2024,746175,681911,BULLPEN,6
2024,746175,642232,BULLPEN,7
2024,746175,656420,BULLPEN,9
2024,746175,656420,BULLPEN,9
2024,746175,656420,BULLPEN,9
2024,745445,657277,STARTER,5
2024,745445,657277,STARTER,5
2024,745445,592426,BULLPEN,7
2024,745445,592426,BULLPEN,7
2024,745445,592426,BULLPEN,7
2024,745445,676254,BULLPEN,7
2024,745435,690986,STARTER,4
2024,745435,690986,STARTER,6
2024,745435,643511,BULLPEN,8
2024,745436,573124,BULLPEN,6
2024,745436,669062,BULLPEN,9
2024,745436,669062,BULLPEN,9
2024,745436,666808,BULLPEN,9
2024,745436,669062,BULLPEN,9
2024,745436,666808,BULLPEN,9
2024,745438,641726,STARTER,1
2024,745438,641726,STARTER,1
2024,745438,641726,STARTER,1
2024,745438,641726,STARTER,1
2024,745438,641726,STARTER,1
2024,745438,641726,STARTER,2
2024,745438,641726,STARTER,2
2024,745438,641726,STARTER,2
2024,745438,641726,STARTER,2
2024,745438,678906,BULLPEN,3
2024,745438,678906,BULLPEN,3
2024,745438,678906,BULLPEN,3
2024,745438,666149,BULLPEN,8
2024,745437,502043,STARTER,3
2024,745437,502043,STARTER,6
2024,745439,571945,STARTER,2
2024,745439,571945,STARTER,4
2024,745440,668868,STARTER,1
2024,745440,668868,STARTER,2
2024,745440,668868,STARTER,4
2024,745361,663855,STARTER,1
2024,745361,663855,STARTER,3
2024,745359,676775,STARTER,1
2024,745359,676775,STARTER,1
2024,745359,676775,STARTER,1
2024,745359,676775,STARTER,1
2024,745362,657277,STARTER,1
2024,745362,657277,STARTER,6
2024,745432,665871,STARTER,6
2024,745432,665871,STARTER,6
2024,745432,621016,BULLPEN,6
2024,745432,621016,BULLPEN,6
2024,745432,621016,BULLPEN,6
2024,745432,681432,BULLPEN,6
2024,745432,621016,BULLPEN,6
2024,745432,640470,BULLPEN,8
2024,745432,593576,BULLPEN,8
2024,745433,592767,BULLPEN,6
2024,745429,543294,STARTER,2
2024,745429,543294,STARTER,2
2024,745429,543294,STARTER,4
2024,745429,543294,STARTER,4
2024,745429,543294,STARTER,6
2024,745429,543294,STARTER,6
2024,745429,543294,STARTER,6
2024,745429,694037,BULLPEN,7
2024,745429,694037,BULLPEN,7
2024,745429,621016,BULLPEN,8
2024,746162,808967,STARTER,1
2024,746162,808967,STARTER,1
2024,746162,808967,STARTER,2
2024,746162,543339,BULLPEN,6
2024,746162,518489,BULLPEN,7
2024,746162,518489,BULLPEN,7
2024,746162,518489,BULLPEN,7
2024,746162,681911,BULLPEN,11
2024,746161,694813,STARTER,6
2024,746161,694813,STARTER,7
2024,746164,572020,STARTER,4
2024,746164,572020,STARTER,6
2024,746164,572020,STARTER,6
2024,746164,656420,BULLPEN,7
2024,746164,656420,BULLPEN,7
2024,746164,656420,BULLPEN,7
2024,746002,605452,STARTER,4
2024,746002,605452,STARTER,5
2024,746002,605452,STARTER,5
2024,746002,605452,STARTER,5
2024,746002,605452,STARTER,5
2024,746002,605452,STARTER,5
2024,746002,605452,STARTER,5
2024,746004,489119,STARTER,1
2024,746004,489119,STARTER,1
2024,746004,489119,STARTER,1
2024,746004,489119,STARTER,1
2024,746004,665625,BULLPEN,7
2024,746004,665625,BULLPEN,7
2024,745430,684320,STARTER,3
2024,745431,650893,BULLPEN,7
2024,745431,657024,BULLPEN,8
2024,745434,605135,STARTER,1
2024,745434,605135,STARTER,3
2024,745434,605135,STARTER,6
2024,745434,605135,STARTER,6
2024,745434,663878,BULLPEN,8
2024,745434,663878,BULLPEN,8
2024,746565,596295,STARTER,3
2024,746565,683232,BULLPEN,8
2024,746565,683232,BULLPEN,8
2024,746566,663372,STARTER,1
2024,746566,663372,STARTER,1
2024,746566,663372,STARTER,3
2024,746566,663372,STARTER,3
2024,746567,621389,STARTER,1
2024,746567,621389,STARTER,1
2024,746567,621389,STARTER,1
2024,746567,621389,STARTER,1
2024,746567,680767,BULLPEN,6
2024,746564,641712,STARTER,2
2024,746564,641712,STARTER,3
2024,746564,641712,STARTER,3
2024,746564,641712,STARTER,3
2024,746564,641712,STARTER,4
2024,746564,641712,STARTER,4
2024,746564,683232,BULLPEN,7
2024,746564,683232,BULLPEN,7
2024,746564,641755,BULLPEN,8
2024,745424,605400,STARTER,3
2024,745424,605400,STARTER,7
2024,745424,605400,STARTER,7
2024,745425,624133,STARTER,8
2024,745428,592836,STARTER,3
2024,745428,592836,STARTER,3
2024,745428,592836,STARTER,3
2024,745428,592836,STARTER,7
2024,745428,592836,STARTER,7
2024,745428,592836,STARTER,7
2024,745427,666157,STARTER,1
2024,745427,664747,BULLPEN,9
2024,745426,607259,STARTER,3
2024,745426,607259,STARTER,5
2024,745426,607259,STARTER,5
2024,745426,607259,STARTER,5
2024,745426,607259,STARTER,5
2024,745426,571656,BULLPEN,6
2024,745423,668933,STARTER,4
2024,745423,668933,STARTER,4
2024,745423,518585,BULLPEN,7
2024,745423,518585,BULLPEN,7
2024,745423,518585,BULLPEN,7
2024,745423,518585,BULLPEN,7
2024,747208,677944,STARTER,4
2024,747208,677944,STARTER,4
2024,747208,677944,STARTER,4
2024,747208,677944,STARTER,4
2024,747208,677944,STARTER,5
2024,747208,621199,BULLPEN,5
2024,747208,677944,STARTER,5
2024,747209,694297,STARTER,1
2024,747209,694297,STARTER,4
2024,747209,694297,STARTER,4
2024,747209,694297,STARTER,7
2024,747209,694297,STARTER,7
2024,747209,676714,BULLPEN,7
2024,747209,676714,BULLPEN,7
2024,747209,676714,BULLPEN,7
2024,747209,686826,BULLPEN,7
2024,747209,676714,BULLPEN,7
2024,747209,686826,BULLPEN,7
2024,747209,543518,BULLPEN,9
2024,747209,543518,BULLPEN,9
2024,747206,669194,STARTER,2
2024,747206,669194,STARTER,2
2024,747206,669194,STARTER,2
2024,747206,669194,STARTER,3
2024,746886,663992,BULLPEN,6
2024,746886,663992,BULLPEN,6
2024,746886,663992,BULLPEN,6
2024,746886,694037,BULLPEN,6
2024,746886,694037,BULLPEN,6
2024,746886,694037,BULLPEN,6
2024,746885,684007,STARTER,8
2024,746885,684007,STARTER,8
2024,746879,669713,STARTER,1
2024,746879,669713,STARTER,5
2024,746879,669713,STARTER,5
2024,745421,607192,STARTER,3
2024,745421,675627,BULLPEN,9
2024,745419,621111,STARTER,1
2024,745419,621111,STARTER,1
2024,745419,621111,STARTER,4
2024,745419,681402,BULLPEN,5
2024,745420,641712,STARTER,2
2024,745420,641712,STARTER,6
2024,745420,641712,STARTER,6
2024,745420,656234,BULLPEN,7
2024,745418,615698,STARTER,7
2024,745418,680767,BULLPEN,7
2024,745418,680767,BULLPEN,7
2024,747122,608331,STARTER,5
2024,747122,608331,STARTER,5
2024,747122,608331,STARTER,5
2024,747120,693821,STARTER,1
2024,747120,693821,STARTER,1
2024,747120,693821,STARTER,1
2024,747120,693821,STARTER,4
2024,747120,693821,STARTER,4
2024,747120,693821,STARTER,4
2024,747120,693821,STARTER,4
2024,747120,678061,BULLPEN,5
2024,747120,678061,BULLPEN,7
2024,747119,625643,STARTER,5
2024,747119,625643,STARTER,7
2024,747119,641729,BULLPEN,8
2024,747119,641729,BULLPEN,8
2024,747119,641729,BULLPEN,8
2024,747119,641729,BULLPEN,8
2024,746712,607259,STARTER,1
2024,746712,607259,STARTER,4
2024,746712,607259,STARTER,5
2024,746712,607259,STARTER,5
2024,746712,607259,STARTER,5
2024,746712,608718,BULLPEN,6
2024,746712,608718,BULLPEN,6
2024,746714,593423,STARTER,1
2024,746714,593423,STARTER,1
2024,746714,593423,STARTER,2
2024,746714,593423,STARTER,2
2024,746714,594580,BULLPEN,10
2024,746714,594580,BULLPEN,10
2024,745411,596133,BULLPEN,8
2024,745413,657376,STARTER,6
2024,745413,657376,STARTER,6
2024,745413,624647,BULLPEN,6
2024,745413,624647,BULLPEN,6
2024,745413,657571,BULLPEN,7
2024,745416,669432,STARTER,2
2024,745416,640462,BULLPEN,7
2024,745412,666200,STARTER,1
2024,745412,666200,STARTER,1
2024,745412,666200,STARTER,5
2024,745412,642629,BULLPEN,8
2024,745414,666129,STARTER,3
2024,746303,608379,STARTER,6
2024,746303,608379,STARTER,6
2024,746303,670167,BULLPEN,8
2024,746303,670167,BULLPEN,8
2024,746303,670167,BULLPEN,8
2024,746303,663704,BULLPEN,8
2024,746303,663704,BULLPEN,8
2024,746303,663704,BULLPEN,8
2024,746303,663704,BULLPEN,8
2024,746303,694361,BULLPEN,8
2024,746303,694361,BULLPEN,8
2024,746305,679525,STARTER,1
2024,746305,679525,STARTER,3
2024,746305,679525,STARTER,4
2024,746305,679525,STARTER,4
2024,746305,679525,STARTER,4
2024,746305,623433,BULLPEN,9
2024,746305,623433,BULLPEN,9
2024,746301,666142,STARTER,5
2024,746301,672582,BULLPEN,8
2024,746301,672582,BULLPEN,8
2024,746224,542881,STARTER,1
2024,746222,663776,STARTER,3
2024,746222,472610,BULLPEN,8
2024,746221,667755,STARTER,6
2024,746221,667755,STARTER,6
2024,745408,677944,STARTER,5
2024,745408,677944,STARTER,5
2024,745408,677944,STARTER,5
2024,745406,694297,STARTER,1
2024,745406,694297,STARTER,1
2024,745406,694297,STARTER,4
2024,745406,694297,STARTER,6
2024,745406,694297,STARTER,6
2024,745406,528748,BULLPEN,8
2024,745406,528748,BULLPEN,8
2024,745406,528748,BULLPEN,8
2024,745406,528748,BULLPEN,8
2024,745406,528748,BULLPEN,8
2024,745410,669194,STARTER,2
2024,745410,669194,STARTER,2
2024,745410,669194,STARTER,2
2024,745410,669194,STARTER,2
2024,745410,663531,BULLPEN,4
2024,745410,669194,STARTER,4
2024,745410,669194,STARTER,4
2024,745410,663531,BULLPEN,4
2024,745410,663531,BULLPEN,5
2024,745410,663531,BULLPEN,5
2024,745410,663531,BULLPEN,5
2024,745410,663531,BULLPEN,5
2024,745410,600986,BULLPEN,6
2024,745407,543518,STARTER,1
2024,745407,674072,BULLPEN,2
2024,745407,674072,BULLPEN,3
2024,745409,683155,STARTER,3
2024,745409,683155,STARTER,4
2024,745409,683155,STARTER,5
2024,745409,656794,BULLPEN,7
2024,745409,656794,BULLPEN,7
2024,745409,656794,BULLPEN,7
2024,745404,676664,STARTER,5
2024,745404,676664,STARTER,5
2024,745404,676664,STARTER,5
2024,745404,518397,BULLPEN,9
2024,745405,663687,STARTER,2
2024,745405,663687,STARTER,5
2024,745405,668674,BULLPEN,8
2024,745405,668674,BULLPEN,8
2024,745405,695243,BULLPEN,9
2024,745810,640455,STARTER,5
2024,745805,500779,STARTER,5
2024,745807,656731,STARTER,1
2024,745807,656731,STARTER,5
2024,745807,605288,BULLPEN,8
2024,745807,518617,BULLPEN,8
2024,745807,518617,BULLPEN,8
2024,745807,518617,BULLPEN,8
2024,745567,650911,STARTER,5
2024,745567,650911,STARTER,7
2024,745563,605400,STARTER,6
2024,745563,605400,STARTER,6
2024,745563,605400,STARTER,6
2024,745561,624133,STARTER,2
2024,745561,689147,BULLPEN,7
2024,745561,622554,BULLPEN,8
2024,745561,622554,BULLPEN,8
2024,745561,622554,BULLPEN,8
2024,745401,669060,STARTER,1
2024,745401,669060,STARTER,1
2024,745401,669060,STARTER,1
2024,745401,669060,STARTER,1
2024,745401,669060,STARTER,5
2024,745401,571948,BULLPEN,7
2024,745401,606303,BULLPEN,9
2024,745403,607067,STARTER,2
2024,745403,607067,STARTER,5
2024,745403,607067,STARTER,5
2024,745403,607067,STARTER,6
2024,745403,607067,STARTER,6
2024,745403,571948,BULLPEN,7
2024,745403,571948,BULLPEN,7
2024,745403,665625,BULLPEN,7
2024,745403,660600,BULLPEN,8
2024,745402,692230,STARTER,4
2024,745402,692230,STARTER,4
2024,745402,692230,STARTER,4
2024,745402,692230,STARTER,4
2024,745402,596001,BULLPEN,7
2024,745402,596001,BULLPEN,7
2024,745396,668964,STARTER,5
2024,745396,606303,BULLPEN,8
2024,745397,571578,STARTER,2
2024,745397,571578,STARTER,2
2024,745397,571578,STARTER,2
2024,745397,640451,BULLPEN,10
2024,745397,640451,BULLPEN,10
2024,745397,640451,BULLPEN,10
2024,745397,640451,BULLPEN,10
2024,745399,669022,STARTER,1
2024,745399,669022,STARTER,1
2024,745399,669022,STARTER,5
2024,745399,669022,STARTER,5
2024,745399,669022,STARTER,5
2024,745399,571882,BULLPEN,6
2024,745399,571670,BULLPEN,6
2024,745399,571670,BULLPEN,6
2024,745399,571670,BULLPEN,6
2024,745400,687792,STARTER,2
2024,745400,687792,STARTER,2
2024,745400,687792,STARTER,4
2024,745400,687792,STARTER,4
2024,745400,663432,BULLPEN,8
2024,745400,663432,BULLPEN,8
2024,745400,663432,BULLPEN,8
2024,745400,663432,BULLPEN,8
2024,746939,601713,STARTER,5
2024,746939,601713,STARTER,5
2024,746939,601713,STARTER,5
2024,746939,601713,STARTER,5
2024,746939,669711,BULLPEN,5
2024,746939,601713,STARTER,5
2024,746939,669711,BULLPEN,5
2024,746939,669711,BULLPEN,5
2024,746939,669711,BULLPEN,5
2024,746940,656557,STARTER,2
2024,746940,656557,STARTER,3
2024,746940,656557,STARTER,3
2024,746940,656557,STARTER,4
2024,746940,656557,STARTER,5
2024,746940,656557,STARTER,5
2024,746940,656557,STARTER,5
2024,746940,656557,STARTER,5
2024,746940,690544,BULLPEN,5
2024,746940,690544,BULLPEN,5
2024,746940,677161,BULLPEN,8
2024,746938,686580,BULLPEN,7
2024,744998,592351,STARTER,3
2024,744998,592351,STARTER,3
2024,744998,592351,STARTER,5
2024,744998,600917,BULLPEN,6
2024,744998,641540,BULLPEN,7
2024,744998,641540,BULLPEN,7
