TEAM_ID,ABBR,G,RA,RA_G,FG_TEAM,ERA_MINUS,FIP_MINUS,RANK_RA_G,RANK_ERA_MINUS,RANK_FIP_MINUS,COMPOSITE_RANK_SCORE,PREVENTION_RANK,OPP_STRENGTH
158,MIL,101,378,3.742574257425743,MIL,83.79618894069307,85.0603413665346,2.0,3.0,1.0,2.0,1,FUERTE
119,LAD,102,373,3.656862745098039,LAD,85.60962715399428,89.20912043483389,1.0,4.0,5.0,3.3333333333333335,2,FUERTE
111,BOS,99,373,3.7676767676767677,BOS,83.08529988714412,91.15633610567083,3.0,1.0,6.0,3.3333333333333335,3,FUERTE
147,NYY,99,387,3.909090909090909,NYY,83.16821176325546,88.6642375675582,5.0,2.0,3.0,3.3333333333333335,4,FUERTE
136,SEA,102,393,3.8529411764705883,SEA,92.14957838113403,89.17503275080367,4.0,8.0,4.0,5.333333333333333,5,FUERTE
116,DET,101,404,4.0,DET,87.64614536529658,91.37765260457768,7.0,5.0,7.0,6.333333333333333,6,FUERTE
144,ATL,101,398,3.9405940594059405,ATL,87.70624821373671,99.67395149519157,6.0,6.0,13.0,8.333333333333334,7,FUERTE
114,CLE,102,410,4.019607843137255,CLE,90.23456279360843,95.82622891519443,8.0,7.0,10.0,8.333333333333334,8,FUERTE
143,PHI,102,454,4.450980392156863,PHI,97.95902588167962,87.61030184091196,13.0,11.0,2.0,8.666666666666666,9,FUERTE
146,MIA,102,441,4.323529411764706,MIA,96.70671885787901,95.662725716833,10.0,10.0,9.0,9.666666666666666,10,FUERTE
139,TB,100,424,4.24,TBR,92.50247400273251,99.71733114428444,9.0,9.0,14.0,10.666666666666666,11,MEDIO
145,CWS,100,437,4.37,CHW,98.70917032835861,100.71532595516055,11.0,12.0,17.0,13.333333333333334,12,MEDIO
134,PIT,101,487,4.821782178217822,PIT,100.06841674490839,94.15645846817638,22.0,13.0,8.0,14.333333333333334,13,MEDIO
141,TOR,101,461,4.564356435643564,TOR,102.6663975940431,96.0590864251264,18.0,16.0,11.0,15.0,14,MEDIO
138,STL,100,448,4.48,STL,101.99487884201116,100.86094696528251,15.0,15.0,18.0,16.0,15,MEDIO
121,NYM,102,479,4.696078431372549,NYM,103.73039331862465,96.78771598354423,20.0,18.0,12.0,16.666666666666668,16,MEDIO
135,SD,101,443,4.3861386138613865,SDP,106.22713955227648,101.61825863905479,12.0,20.0,19.0,17.0,17,MEDIO
140,TEX,101,453,4.485148514851486,TEX,106.71956803572162,100.0309542721133,16.0,21.0,15.0,17.333333333333332,18,MEDIO
109,ARI,101,454,4.4950495049504955,ARI,101.23359527210641,108.40678109502173,17.0,14.0,23.0,18.0,19,MEDIO
110,BAL,101,478,4.732673267326732,BAL,103.33446564072173,100.06751450951819,21.0,17.0,16.0,18.0,20,MEDIO
112,CHC,101,450,4.455445544554456,CHC,105.07382735912998,115.43897583394453,14.0,19.0,29.0,20.666666666666668,21,DEBIL
137,SF,101,471,4.663366336633663,SFG,108.10962782126857,106.1437656351862,19.0,23.0,21.0,21.0,22,DEBIL
108,LAA,102,499,4.892156862745098,LAA,111.00646443155577,104.36964527352066,24.0,24.0,20.0,22.666666666666668,23,DEBIL
113,CIN,100,483,4.83,CIN,107.99521858884584,112.21909981590846,23.0,22.0,26.0,23.666666666666668,24,DEBIL
142,MIN,102,521,5.107843137254902,MIN,114.49678692352487,107.72725303838979,26.0,26.0,22.0,24.666666666666668,25,DEBIL
120,WSH,102,541,5.303921568627451,WSN,114.45440056846381,111.03270750808682,28.0,25.0,25.0,26.0,26,DEBIL
117,HOU,103,516,5.009708737864078,HOU,115.16053172919244,117.12998818577108,25.0,27.0,30.0,27.333333333333332,27,DEBIL
118,KC,102,530,5.196078431372549,KCR,116.1038104268155,114.68817865751068,27.0,28.0,28.0,27.666666666666668,28,DEBIL
115,COL,103,588,5.70873786407767,COL,116.88962841373566,110.75150065950892,30.0,29.0,24.0,27.666666666666668,29,DEBIL
133,ATH,101,565,5.594059405940594,ATH,118.68368635213642,113.19454729303818,29.0,30.0,27.0,28.666666666666668,30,DEBIL
