PERIOD,DATE,GAME_PK,RUNNER_ID,RESPONSIBLE_PITCHER_ID,STARTER_ID,CLASS,INNING
2024,2024-03-28,745283,571745,678394,678394,STARTER,4
2024,2024-03-28,745283,663728,678394,678394,STARTER,4
2024,2024-03-28,745283,664238,570257,678394,BULLPEN,7
2024,2024-03-28,745283,571745,663462,678394,BULLPEN,7
2024,2024-03-29,745276,641487,601713,601713,STARTER,6
2024,2024-03-30,745278,641487,676710,676710,STARTER,1
2024,2024-03-30,745278,664034,570257,676710,BULLPEN,10
2024,2024-03-30,745278,670042,570257,676710,BULLPEN,10
2024,2024-03-30,745278,668942,570257,676710,BULLPEN,10
2024,2024-03-31,745279,571745,676477,676477,STARTER,2
2024,2024-04-01,745277,641598,663474,663474,STARTER,2
2024,2024-04-01,745277,686527,663474,663474,STARTER,2
2024,2024-04-01,745277,663728,663474,663474,STARTER,2
2024,2024-04-01,745277,664034,663474,663474,STARTER,2
2024,2024-04-01,745277,663728,663474,663474,STARTER,4
2024,2024-04-02,745273,663728,669212,669456,BULLPEN,7
2024,2024-04-02,745273,664034,669212,669456,BULLPEN,7
2024,2024-04-05,746007,641487,642547,642547,STARTER,6
2024,2024-04-05,746007,677594,642547,642547,STARTER,6
2024,2024-04-05,746007,571745,642547,642547,STARTER,6
2024,2024-04-05,746007,664238,682842,642547,BULLPEN,9
2024,2024-04-05,746007,669392,682842,642547,BULLPEN,9
2024,2024-04-06,746006,669392,669084,669084,STARTER,3
2024,2024-04-06,746006,641487,669084,669084,STARTER,3
2024,2024-04-06,746006,593871,669084,669084,STARTER,3
2024,2024-04-06,746006,593871,669060,669084,BULLPEN,8
2024,2024-04-06,746006,649966,571948,669084,BULLPEN,9
2024,2024-04-07,746003,677594,607067,607067,STARTER,1
2024,2024-04-07,746003,664238,607067,607067,STARTER,2
2024,2024-04-07,746003,686527,600986,607067,BULLPEN,9
2024,2024-04-07,746003,668942,600986,607067,BULLPEN,9
2024,2024-04-08,744956,641487,554340,621244,BULLPEN,8
2024,2024-04-08,744956,663728,643338,621244,BULLPEN,9
2024,2024-04-09,744957,686527,605135,605135,STARTER,7
2024,2024-04-09,744957,571745,670950,605135,BULLPEN,8
2024,2024-04-09,744957,677594,670950,605135,BULLPEN,8
2024,2024-04-10,744950,664238,579328,579328,STARTER,3
2024,2024-04-10,744950,663728,641835,579328,BULLPEN,10
2024,2024-04-10,744950,670042,641835,579328,BULLPEN,10
2024,2024-04-10,744950,686527,641835,579328,BULLPEN,10
2024,2024-04-10,744950,664034,669952,579328,BULLPEN,10
2024,2024-04-10,744950,641487,641835,579328,BULLPEN,10
2024,2024-04-12,745274,571745,696136,696136,STARTER,2
2024,2024-04-12,745274,664238,696136,696136,STARTER,4
2024,2024-04-12,745274,641598,696136,696136,STARTER,4
2024,2024-04-12,745274,641487,696136,696136,STARTER,4
2024,2024-04-13,745272,571745,684007,684007,STARTER,2
2024,2024-04-14,745271,593871,665871,665871,STARTER,6
2024,2024-04-14,745271,641487,665871,665871,STARTER,6
2024,2024-04-15,745268,593871,593423,593423,STARTER,1
2024,2024-04-15,745268,641487,593423,593423,STARTER,1
2024,2024-04-15,745268,677594,593423,593423,STARTER,1
2024,2024-04-15,745268,571745,593423,593423,STARTER,3
2024,2024-04-15,745268,593871,593423,593423,STARTER,3
2024,2024-04-15,745268,664034,607259,593423,BULLPEN,6
2024,2024-04-15,745268,677594,571656,593423,BULLPEN,7
2024,2024-04-15,745268,593871,571656,593423,BULLPEN,7
2024,2024-04-15,745268,571745,571656,593423,BULLPEN,7
2024,2024-04-16,745270,641598,668881,668881,STARTER,4
2024,2024-04-16,745270,677594,641941,668881,BULLPEN,5
2024,2024-04-16,745270,641487,458677,668881,BULLPEN,6
2024,2024-04-17,745267,663728,671096,671096,STARTER,2
2024,2024-04-17,745267,641598,671096,671096,STARTER,6
2024,2024-04-17,745267,668942,608371,671096,BULLPEN,7
2024,2024-04-17,745267,682729,608371,671096,BULLPEN,7
2024,2024-04-17,745267,571745,608371,671096,BULLPEN,7
2024,2024-04-20,746570,663728,641712,641712,STARTER,2
2024,2024-04-20,746570,677594,641712,641712,STARTER,3
2024,2024-04-20,746570,668942,641712,641712,STARTER,4
2024,2024-04-20,746570,664034,680767,641712,BULLPEN,5
2024,2024-04-20,746570,641598,680767,641712,BULLPEN,5
2024,2024-04-20,746570,663728,641712,641712,STARTER,5
2024,2024-04-20,746570,668942,680767,641712,BULLPEN,5
2024,2024-04-21,746568,593871,664875,615698,BULLPEN,10
2024,2024-04-21,746572,664034,663567,663567,STARTER,2
2024,2024-04-21,746572,593871,663567,663567,STARTER,2
2024,2024-04-21,746572,670042,663567,663567,STARTER,2
2024,2024-04-21,746572,649966,663567,663567,STARTER,2
2024,2024-04-21,746572,664874,663567,663567,STARTER,2
2024,2024-04-21,746572,641487,663567,663567,STARTER,2
2024,2024-04-21,746572,664874,663562,663567,BULLPEN,6
2024,2024-04-21,746572,663728,663562,663567,BULLPEN,6
2024,2024-04-21,746572,677594,663562,663567,BULLPEN,6
2024,2024-04-21,746572,641487,656222,663567,BULLPEN,8
2024,2024-04-23,745026,663728,641540,641540,STARTER,1
2024,2024-04-23,745026,641487,641540,641540,STARTER,1
2024,2024-04-23,745026,677594,641540,641540,STARTER,3
2024,2024-04-23,745026,668942,641540,641540,STARTER,3
2024,2024-04-24,745028,668942,592351,592351,STARTER,1
2024,2024-04-25,745027,664034,571760,571760,STARTER,1
2024,2024-04-25,745027,677594,571760,571760,STARTER,1
2024,2024-04-25,745027,649966,571760,571760,STARTER,5
2024,2024-04-25,745027,664238,571760,571760,STARTER,5
2024,2024-04-26,745269,668942,668678,668678,STARTER,1
2024,2024-04-26,745269,641598,668678,668678,STARTER,2
2024,2024-04-26,745269,571745,543518,668678,BULLPEN,6
2024,2024-04-26,745269,668942,668678,668678,STARTER,6
2024,2024-04-26,745269,677594,543518,668678,BULLPEN,6
2024,2024-04-26,745269,663728,543518,668678,BULLPEN,6
2024,2024-04-27,745266,641598,677944,677944,STARTER,5
