PERIOD,DATE,GAME_PK,IS_HOME,OPP_ID,OPP,OPP_STRENGTH,RS,R_1_3,R_4_6,R_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,GAME_HAS_3PLUS,STARTER_ID,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED_RUNS,MISSING_RESPONSIBLE_PITCHER
2024,2024-03-28,745283,True,111,Boston Red Sox,DEBIL,4,0,2,2,9,0,0,678394,2,2,0,0
2024,2024-03-29,745276,True,111,Boston Red Sox,DEBIL,1,0,1,0,8,0,0,601713,1,0,0,0
2024,2024-03-30,745278,True,111,Boston Red Sox,DEBIL,4,1,0,3,10,1,1,676710,1,3,0,0
2024,2024-03-31,745279,True,111,Boston Red Sox,DEBIL,1,1,0,0,9,0,0,676477,1,0,0,0
2024,2024-04-01,745277,True,114,Cleveland Guardians,FUERTE,5,4,1,0,8,1,1,663474,5,0,0,0
2024,2024-04-02,745273,True,114,Cleveland Guardians,FUERTE,2,0,0,2,9,0,0,669456,0,2,0,0
2024,2024-04-03,745275,True,114,Cleveland Guardians,FUERTE,0,0,0,0,9,0,0,671106,0,0,0,0
2024,2024-04-05,746007,False,158,Milwaukee Brewers,FUERTE,5,0,3,2,9,1,1,642547,3,2,0,0
2024,2024-04-06,746006,False,158,Milwaukee Brewers,FUERTE,5,3,0,2,9,1,1,669084,3,2,0,0
2024,2024-04-07,746003,False,158,Milwaukee Brewers,FUERTE,4,2,0,2,9,0,0,607067,2,2,0,0
2024,2024-04-08,744956,False,141,Toronto Blue Jays,DEBIL,2,0,0,2,9,0,0,621244,0,2,0,0
2024,2024-04-09,744957,False,141,Toronto Blue Jays,DEBIL,3,0,0,3,9,0,0,605135,1,2,0,0
2024,2024-04-10,744950,False,141,Toronto Blue Jays,DEBIL,6,1,0,5,10,1,1,579328,1,5,0,0
2024,2024-04-12,745274,True,112,Chicago Cubs,MEDIO,4,1,3,0,8,1,1,696136,4,0,0,0
2024,2024-04-13,745272,True,112,Chicago Cubs,MEDIO,1,1,0,0,9,0,0,684007,1,0,0,0
2024,2024-04-14,745271,True,112,Chicago Cubs,MEDIO,2,0,2,0,9,0,0,665871,2,0,0,0
2024,2024-04-15,745268,True,113,Cincinnati Reds,MEDIO,9,5,1,3,8,2,1,593423,5,4,0,0
2024,2024-04-16,745270,True,113,Cincinnati Reds,MEDIO,3,0,3,0,8,0,0,668881,1,2,0,0
2024,2024-04-17,745267,True,113,Cincinnati Reds,MEDIO,5,1,1,3,8,1,1,671096,2,3,0,0
2024,2024-04-20,746570,False,115,Colorado Rockies,DEBIL,7,2,5,0,9,1,1,641712,4,3,0,0
2024,2024-04-21,746568,False,115,Colorado Rockies,DEBIL,1,0,0,1,10,0,0,615698,0,1,0,0
2024,2024-04-21,746572,False,115,Colorado Rockies,DEBIL,10,6,3,1,9,2,1,663567,6,4,0,0
2024,2024-04-23,745026,False,140,Texas Rangers,DEBIL,4,4,0,0,9,0,0,641540,4,0,0,0
2024,2024-04-24,745028,False,140,Texas Rangers,DEBIL,1,1,0,0,9,0,0,592351,1,0,0,0
2024,2024-04-25,745027,False,140,Texas Rangers,DEBIL,4,2,2,0,9,0,0,571760,4,0,0,0
2024,2024-04-26,745269,True,109,Arizona Diamondbacks,DEBIL,6,2,4,0,8,1,1,668678,3,3,0,0
2024,2024-04-27,745266,True,109,Arizona Diamondbacks,DEBIL,3,0,1,2,8,0,0,677944,1,2,0,0
2024,2024-04-28,745265,True,109,Arizona Diamondbacks,DEBIL,2,2,0,0,9,0,0,694297,2,0,0,0
2024,2024-04-29,745263,True,144,Atlanta Braves,FUERTE,2,0,0,2,9,0,0,608331,0,2,0,0
2024,2024-04-30,745260,True,144,Atlanta Braves,FUERTE,3,2,1,0,8,0,0,625643,3,0,0,0
2024,2024-05-01,745261,True,144,Atlanta Braves,FUERTE,2,0,1,1,9,0,0,519242,1,1,0,0
2024,2024-05-03,746402,False,117,Houston Astros,FUERTE,3,1,2,0,9,0,0,669854,3,0,0,0
2024,2024-05-04,746394,False,117,Houston Astros,FUERTE,5,1,4,0,9,0,0,664285,5,0,0,0
2024,2024-05-05,746395,False,117,Houston Astros,FUERTE,5,2,1,2,9,0,0,686613,2,3,0,0
2024,2024-05-06,745912,False,142,Minnesota Twins,MEDIO,1,0,0,1,9,0,0,680573,0,1,0,0
2024,2024-05-07,745915,False,142,Minnesota Twins,MEDIO,10,2,0,8,9,2,1,641927,2,8,0,0
2024,2024-05-08,745906,False,142,Minnesota Twins,MEDIO,3,0,1,2,9,0,0,663978,1,2,0,0
2024,2024-05-09,745910,False,142,Minnesota Twins,MEDIO,1,1,0,0,9,0,0,641154,1,0,0,0
2024,2024-05-10,745264,True,133,Athletics,DEBIL,8,0,7,1,8,1,1,621112,7,1,0,0
2024,2024-05-11,745262,True,133,Athletics,DEBIL,1,1,0,0,9,0,0,683155,1,0,0,0
