PERIOD,OPP_STRENGTH,VENUE,G,RS,R_1_3,R_4_6,R_7_PLUS,STARTER_RUNS,BULLPEN_RUNS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,PA,HR,BB,ERROR_PA,RISP_PA,RISP_H,TWO_OUT_PA,TWO_OUT_H,R_G,STARTER_RUNS_G,BULLPEN_RUNS_G,HI_3PLUS_PCT,RISP_H_PCT,TWO_OUT_H_PCT
2024,DEBIL,AWAY,27,124,49,30,45,74,50,247,14,1049,36,90,6,253,50,333,67,4.592592592592593,2.740740740740741,1.8518518518518519,5.668016194331984,19.76284584980237,20.12012012012012
2024,DEBIL,HOME,34,163,39,62,62,81,82,291,17,1263,34,102,9,358,82,401,94,4.794117647058823,2.3823529411764706,2.411764705882353,5.841924398625429,22.905027932960895,23.44139650872818
2024,FUERTE,AWAY,25,110,28,48,34,66,44,226,10,933,39,73,8,202,40,296,55,4.4,2.64,1.76,4.424778761061947,19.801980198019802,18.58108108108108
2024,FUERTE,HOME,22,65,25,24,16,42,23,197,6,788,14,52,8,168,27,243,38,2.9545454545454546,1.9090909090909092,1.0454545454545454,3.045685279187817,16.071428571428573,15.637860082304528
2024,MEDIO,AWAY,29,125,32,31,62,60,65,262,10,1103,37,102,5,246,49,341,58,4.310344827586207,2.0689655172413794,2.2413793103448274,3.816793893129771,19.91869918699187,17.008797653958943
2024,MEDIO,HOME,25,106,42,37,27,75,31,221,12,932,17,73,12,256,54,299,63,4.24,3.0,1.24,5.429864253393665,21.09375,21.070234113712374
2025,DEBIL,AWAY,34,137,50,45,42,83,54,310,15,1287,32,113,7,296,66,420,82,4.029411764705882,2.4411764705882355,1.588235294117647,4.838709677419355,22.2972972972973,19.523809523809526
2025,DEBIL,HOME,28,151,59,55,37,91,60,239,21,1042,40,94,7,256,63,316,60,5.392857142857143,3.25,2.142857142857143,8.786610878661088,24.609375,18.9873417721519
2025,FUERTE,AWAY,22,112,39,38,35,67,45,200,11,856,31,80,6,192,52,265,50,5.090909090909091,3.0454545454545454,2.0454545454545454,5.5,27.083333333333332,18.867924528301888
2025,FUERTE,HOME,32,104,34,39,31,66,38,279,8,1154,25,103,6,274,46,348,70,3.25,2.0625,1.1875,2.867383512544803,16.78832116788321,20.114942528735632
2025,MEDIO,AWAY,25,118,37,41,40,66,52,223,19,952,30,97,3,245,48,300,59,4.72,2.64,2.08,8.52017937219731,19.591836734693878,19.666666666666668
2025,MEDIO,HOME,21,83,21,42,20,50,33,192,10,787,15,69,5,225,38,262,56,3.9523809523809526,2.380952380952381,1.5714285714285714,5.208333333333333,16.88888888888889,21.374045801526716
2026_CUTOFF,DEBIL,AWAY,18,94,27,32,35,51,43,165,6,724,24,40,7,199,43,255,80,5.222222222222222,2.8333333333333335,2.388888888888889,3.6363636363636362,21.608040201005025,31.372549019607842
2026_CUTOFF,DEBIL,HOME,13,61,6,23,32,23,38,115,6,512,18,49,3,140,35,180,52,4.6923076923076925,1.7692307692307692,2.923076923076923,5.217391304347826,25.0,28.88888888888889
2026_CUTOFF,FUERTE,AWAY,19,71,25,20,26,42,29,173,8,719,23,48,1,170,37,240,51,3.736842105263158,2.210526315789474,1.5263157894736843,4.624277456647399,21.764705882352942,21.25
2026_CUTOFF,FUERTE,HOME,12,32,11,11,10,20,12,102,6,407,8,29,2,80,16,126,24,2.6666666666666665,1.6666666666666667,1.0,5.882352941176471,20.0,19.047619047619047
2026_CUTOFF,MEDIO,AWAY,18,72,19,38,15,40,32,165,8,682,23,38,2,158,34,228,53,4.0,2.2222222222222223,1.7777777777777777,4.848484848484849,21.518987341772153,23.24561403508772
2026_CUTOFF,MEDIO,HOME,22,87,27,45,15,54,33,190,9,777,18,50,3,171,39,247,42,3.9545454545454546,2.4545454545454546,1.5,4.7368421052631575,22.80701754385965,17.004048582995953
