PERIOD,DATE,GAME_PK,IS_HOME,VENUE,OPP_ID,OPP,OPP_STRENGTH,RS,RA,R_1_3,R_4_6,R_7_PLUS,RA_1_3,RA_4_6,RA_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED
2024,2024-03-28,745445,False,AWAY,135,San Diego Padres,FUERTE,4,6,1,0,3,0,2,4,9,0,1,3,0
2024,2024-03-29,745435,False,AWAY,135,San Diego Padres,FUERTE,8,3,3,1,4,0,2,1,9,1,4,4,0
2024,2024-03-30,745436,False,AWAY,135,San Diego Padres,FUERTE,9,6,2,1,6,0,1,5,9,1,3,6,0
2024,2024-03-31,745438,False,AWAY,135,San Diego Padres,FUERTE,4,13,0,2,2,12,0,1,9,0,2,2,0
2024,2024-04-01,746170,False,AWAY,119,Los Angeles Dodgers,MEDIO,3,8,0,1,2,3,3,2,9,0,0,3,0
2024,2024-04-02,746169,False,AWAY,119,Los Angeles Dodgers,MEDIO,4,5,2,2,0,2,3,0,9,0,0,4,0
2024,2024-04-03,746163,False,AWAY,119,Los Angeles Dodgers,MEDIO,4,5,1,2,1,3,1,1,9,0,3,1,0
2024,2024-04-05,745361,True,HOME,135,San Diego Padres,FUERTE,3,2,1,1,1,2,0,0,9,0,2,1,0
2024,2024-04-06,745359,True,HOME,135,San Diego Padres,FUERTE,0,4,0,0,0,4,0,0,9,0,0,0,0
2024,2024-04-07,745362,True,HOME,135,San Diego Padres,FUERTE,3,2,0,1,2,1,1,0,8,0,1,2,0
2024,2024-04-08,745363,True,HOME,120,Washington Nationals,DEBIL,1,8,1,0,0,3,3,2,9,0,1,0,0
2024,2024-04-09,745357,True,HOME,120,Washington Nationals,DEBIL,3,5,1,2,0,2,1,2,9,0,1,2,0
2024,2024-04-10,745355,True,HOME,120,Washington Nationals,DEBIL,7,1,3,4,0,1,0,0,8,1,7,0,0
2024,2024-04-12,745112,False,AWAY,139,Tampa Bay Rays,FUERTE,1,2,1,0,0,2,0,0,9,0,1,0,0
2024,2024-04-13,745110,False,AWAY,139,Tampa Bay Rays,FUERTE,11,2,1,6,4,1,0,1,9,2,4,7,0
2024,2024-04-14,745113,False,AWAY,139,Tampa Bay Rays,FUERTE,4,9,1,1,2,4,4,1,9,0,1,3,0
2024,2024-04-15,746080,False,AWAY,146,Miami Marlins,DEBIL,4,3,0,1,3,3,0,0,9,1,1,3,0
2024,2024-04-16,746081,False,AWAY,146,Miami Marlins,DEBIL,3,6,2,0,1,0,5,1,9,0,2,1,0
2024,2024-04-17,746076,False,AWAY,146,Miami Marlins,DEBIL,3,1,1,0,2,0,1,0,9,0,1,2,0
2024,2024-04-18,745356,True,HOME,109,Arizona Diamondbacks,DEBIL,5,0,1,0,4,0,0,0,8,1,0,5,0
2024,2024-04-19,745352,True,HOME,109,Arizona Diamondbacks,DEBIL,1,17,0,1,0,1,4,12,9,0,1,0,0
2024,2024-04-20,745354,True,HOME,109,Arizona Diamondbacks,DEBIL,7,3,3,2,2,1,2,0,8,0,5,2,0
2024,2024-04-21,745353,True,HOME,109,Arizona Diamondbacks,DEBIL,3,5,0,2,1,1,2,2,9,0,2,1,0
2024,2024-04-22,745351,True,HOME,121,New York Mets,MEDIO,5,2,4,1,0,0,1,1,8,0,5,0,0
2024,2024-04-23,745348,True,HOME,121,New York Mets,MEDIO,5,1,0,3,2,0,0,1,8,1,3,2,0
2024,2024-04-24,745346,True,HOME,121,New York Mets,MEDIO,2,8,0,0,2,2,4,2,9,0,0,2,0
2024,2024-04-26,745347,True,HOME,134,Pittsburgh Pirates,DEBIL,3,0,0,0,3,0,0,0,9,1,0,3,0
2024,2024-04-27,745350,True,HOME,134,Pittsburgh Pirates,DEBIL,3,4,0,1,2,0,0,4,10,0,1,2,0
2024,2024-04-28,745349,True,HOME,134,Pittsburgh Pirates,DEBIL,3,2,3,0,0,0,1,1,8,1,3,0,0
2024,2024-04-30,746968,False,AWAY,111,Boston Red Sox,DEBIL,0,4,0,0,0,3,1,0,9,0,0,0,0
2024,2024-05-01,746966,False,AWAY,111,Boston Red Sox,DEBIL,2,6,1,1,0,2,3,1,9,0,2,0,0
2024,2024-05-02,746969,False,AWAY,111,Boston Red Sox,DEBIL,3,1,1,0,2,1,0,0,9,0,1,2,0
2024,2024-05-03,745589,False,AWAY,143,Philadelphia Phillies,MEDIO,3,4,2,0,1,3,1,0,9,0,2,1,0
2024,2024-05-04,745583,False,AWAY,143,Philadelphia Phillies,MEDIO,3,14,1,2,0,9,4,1,9,0,3,0,0
2024,2024-05-05,745587,False,AWAY,143,Philadelphia Phillies,MEDIO,4,5,1,0,3,5,0,0,9,0,3,1,0
2024,2024-05-06,745585,False,AWAY,143,Philadelphia Phillies,MEDIO,1,6,0,1,0,0,5,1,9,0,1,0,0
2024,2024-05-07,746559,False,AWAY,115,Colorado Rockies,DEBIL,5,0,0,4,1,0,0,0,9,1,4,1,0
2024,2024-05-08,746562,False,AWAY,115,Colorado Rockies,DEBIL,8,6,7,0,1,1,3,2,9,1,7,1,0
2024,2024-05-09,746563,False,AWAY,115,Colorado Rockies,DEBIL,1,9,0,1,0,0,8,1,9,0,1,0,0
2024,2024-05-10,745340,True,HOME,113,Cincinnati Reds,MEDIO,2,4,2,0,0,2,1,1,9,0,2,0,0
2024,2024-05-11,745344,True,HOME,113,Cincinnati Reds,MEDIO,5,1,4,0,1,0,1,0,8,1,4,1,0
2024,2024-05-12,745345,True,HOME,113,Cincinnati Reds,MEDIO,6,5,0,5,1,3,0,2,10,1,5,1,0
2024,2024-05-13,745343,True,HOME,119,Los Angeles Dodgers,MEDIO,4,6,3,1,0,1,2,3,10,1,4,0,0
2024,2024-05-14,745342,True,HOME,119,Los Angeles Dodgers,MEDIO,2,10,0,1,1,0,5,5,9,0,1,1,0
2024,2024-05-15,745341,True,HOME,119,Los Angeles Dodgers,MEDIO,4,1,2,1,1,0,0,1,8,0,3,1,0
2024,2024-05-17,745335,True,HOME,115,Colorado Rockies,DEBIL,10,5,1,5,4,4,1,0,8,1,5,5,0
2024,2024-05-18,745339,True,HOME,115,Colorado Rockies,DEBIL,14,4,6,1,7,3,1,0,8,2,6,8,0
2024,2024-05-19,745336,True,HOME,115,Colorado Rockies,DEBIL,4,1,0,4,0,1,0,0,8,1,3,1,0
2024,2024-05-21,745503,False,AWAY,134,Pittsburgh Pirates,DEBIL,6,7,2,2,2,1,1,5,10,0,4,2,0
2024,2024-05-22,745502,False,AWAY,134,Pittsburgh Pirates,DEBIL,9,5,0,3,6,0,5,0,10,1,3,6,0
2024,2024-05-23,745500,False,AWAY,134,Pittsburgh Pirates,DEBIL,7,6,0,1,6,1,4,1,9,1,1,6,0
2024,2024-05-24,745822,False,AWAY,121,New York Mets,MEDIO,8,7,2,0,6,1,4,2,9,1,2,6,0
2024,2024-05-25,745823,False,AWAY,121,New York Mets,MEDIO,7,2,0,1,6,1,0,1,10,1,1,6,0
2024,2024-05-26,745824,False,AWAY,121,New York Mets,MEDIO,3,4,2,1,0,1,0,3,9,0,2,1,0
2024,2024-05-27,745338,True,HOME,143,Philadelphia Phillies,MEDIO,8,4,3,3,2,2,2,0,8,1,6,2,0
2024,2024-05-28,745337,True,HOME,143,Philadelphia Phillies,MEDIO,1,0,0,0,1,0,0,0,10,0,0,1,0
2024,2024-05-29,745333,True,HOME,143,Philadelphia Phillies,MEDIO,1,6,0,0,1,2,2,2,9,0,0,1,0
2024,2024-05-31,745331,True,HOME,147,New York Yankees,FUERTE,2,6,1,1,0,3,3,0,9,0,2,0,0
2024,2024-06-01,745332,True,HOME,147,New York Yankees,FUERTE,3,7,2,1,0,4,0,3,9,0,3,0,0
2024,2024-06-02,745330,True,HOME,147,New York Yankees,FUERTE,5,7,2,3,0,1,2,4,9,0,3,2,0
2024,2024-06-03,747194,False,AWAY,109,Arizona Diamondbacks,DEBIL,2,4,0,1,1,2,0,2,9,0,2,0,0
2024,2024-06-04,747196,False,AWAY,109,Arizona Diamondbacks,DEBIL,5,8,0,2,3,3,1,4,9,1,2,3,0
2024,2024-06-05,747195,False,AWAY,109,Arizona Diamondbacks,DEBIL,9,3,6,0,3,1,2,0,9,1,6,3,0
2024,2024-06-07,745008,False,AWAY,140,Texas Rangers,MEDIO,5,2,1,1,3,0,2,0,9,0,2,3,0
2024,2024-06-08,745001,False,AWAY,140,Texas Rangers,MEDIO,3,1,3,0,0,1,0,0,9,0,3,0,0
2024,2024-06-09,745003,False,AWAY,140,Texas Rangers,MEDIO,2,7,1,1,0,5,2,0,9,0,2,0,0
2024,2024-06-10,745334,True,HOME,117,Houston Astros,FUERTE,4,3,0,1,3,0,0,3,10,1,1,3,0
2024,2024-06-11,745327,True,HOME,117,Houston Astros,FUERTE,1,3,1,0,0,1,2,0,9,0,1,0,0
2024,2024-06-12,745328,True,HOME,117,Houston Astros,FUERTE,5,3,2,3,0,0,3,0,8,1,5,0,0
2024,2024-06-14,745326,True,HOME,108,Los Angeles Angels,DEBIL,6,8,0,1,5,4,4,0,9,1,1,5,0
2024,2024-06-15,745329,True,HOME,108,Los Angeles Angels,DEBIL,3,4,2,1,0,1,2,1,9,0,3,0,0
2024,2024-06-16,745321,True,HOME,108,Los Angeles Angels,DEBIL,13,6,0,9,4,2,0,4,8,2,0,13,0
2024,2024-06-17,746868,False,AWAY,112,Chicago Cubs,MEDIO,7,6,0,1,6,0,2,4,9,1,1,6,0
2024,2024-06-18,746867,False,AWAY,112,Chicago Cubs,MEDIO,2,5,0,2,0,2,0,3,9,0,2,0,0
2024,2024-06-19,746864,False,AWAY,112,Chicago Cubs,MEDIO,5,6,0,1,4,0,3,3,9,1,1,4,0
2024,2024-06-20,745164,False,AWAY,138,St. Louis Cardinals,MEDIO,5,6,3,2,0,5,1,0,9,1,5,0,0
2024,2024-06-22,745163,False,AWAY,138,St. Louis Cardinals,MEDIO,4,9,4,0,0,2,5,2,9,1,4,0,0
2024,2024-06-23,745165,False,AWAY,138,St. Louis Cardinals,MEDIO,3,5,0,0,3,4,0,1,9,0,1,2,0
2024,2024-06-24,745323,True,HOME,112,Chicago Cubs,MEDIO,5,4,0,2,3,0,4,0,9,1,2,3,0
2024,2024-06-25,745322,True,HOME,112,Chicago Cubs,MEDIO,5,1,2,0,3,1,0,0,8,1,2,3,0
2024,2024-06-26,745325,True,HOME,112,Chicago Cubs,MEDIO,4,3,3,1,0,1,2,0,8,1,3,1,0
2024,2024-06-27,745324,True,HOME,112,Chicago Cubs,MEDIO,3,5,0,3,0,3,0,2,10,1,3,0,0
2024,2024-06-28,745319,True,HOME,119,Los Angeles Dodgers,MEDIO,5,3,0,3,2,0,2,1,9,0,1,4,0
2024,2024-06-29,745317,True,HOME,119,Los Angeles Dodgers,MEDIO,7,14,5,1,1,2,4,8,11,1,5,2,0
2024,2024-06-30,745320,True,HOME,119,Los Angeles Dodgers,MEDIO,10,4,4,5,1,0,1,3,8,1,9,1,0
2024,2024-07-02,747102,False,AWAY,144,Atlanta Braves,FUERTE,5,3,0,3,2,2,0,1,9,0,2,3,0
2024,2024-07-03,747100,False,AWAY,144,Atlanta Braves,FUERTE,1,3,0,1,0,1,2,0,9,0,1,0,0
2024,2024-07-04,747103,False,AWAY,144,Atlanta Braves,FUERTE,4,2,0,4,0,2,0,0,9,1,4,0,0
2024,2024-07-05,746620,False,AWAY,114,Cleveland Guardians,FUERTE,4,2,3,1,0,0,2,0,9,1,4,0,0
2024,2024-07-06,746615,False,AWAY,114,Cleveland Guardians,FUERTE,4,5,0,3,1,4,1,0,9,1,2,2,0
2024,2024-07-07,746616,False,AWAY,114,Cleveland Guardians,FUERTE,4,5,3,0,1,0,5,0,9,0,3,1,0
2024,2024-07-09,745316,True,HOME,141,Toronto Blue Jays,DEBIL,4,3,0,1,3,0,0,3,9,0,2,2,0
2024,2024-07-10,745318,True,HOME,141,Toronto Blue Jays,DEBIL,6,10,2,2,2,0,9,1,9,0,3,3,0
2024,2024-07-11,745313,True,HOME,141,Toronto Blue Jays,DEBIL,3,5,2,0,1,3,2,0,9,0,2,1,0
2024,2024-07-12,745312,True,HOME,142,Minnesota Twins,MEDIO,7,1,3,2,2,0,1,0,8,0,5,2,0
2024,2024-07-13,745311,True,HOME,142,Minnesota Twins,MEDIO,2,4,0,2,0,0,3,1,9,0,2,0,0
2024,2024-07-14,745314,True,HOME,142,Minnesota Twins,MEDIO,3,2,2,0,1,0,0,2,9,0,2,1,0
2024,2024-07-19,746531,False,AWAY,115,Colorado Rockies,DEBIL,3,7,3,0,0,0,2,5,9,0,3,0,0
2024,2024-07-20,746527,False,AWAY,115,Colorado Rockies,DEBIL,3,4,1,2,0,2,2,0,9,0,3,0,0
2024,2024-07-21,746528,False,AWAY,115,Colorado Rockies,DEBIL,3,2,2,1,0,0,2,0,9,0,3,0,0
2024,2024-07-22,746124,False,AWAY,119,Los Angeles Dodgers,MEDIO,2,3,0,1,1,0,2,1,9,0,1,1,0
2024,2024-07-23,746118,False,AWAY,119,Los Angeles Dodgers,MEDIO,2,5,1,0,1,2,2,1,9,0,1,1,0
2024,2024-07-24,746119,False,AWAY,119,Los Angeles Dodgers,MEDIO,8,3,0,2,6,1,0,2,9,1,2,6,0
2024,2024-07-25,746117,False,AWAY,119,Los Angeles Dodgers,MEDIO,4,6,2,0,2,1,3,2,9,0,2,2,0
2024,2024-07-26,745315,True,HOME,115,Colorado Rockies,DEBIL,11,4,3,5,3,1,0,3,8,2,6,5,0
2024,2024-07-27,745307,True,HOME,115,Colorado Rockies,DEBIL,4,1,1,0,3,0,0,1,8,0,1,3,0
2024,2024-07-27,745310,True,HOME,115,Colorado Rockies,DEBIL,5,0,2,2,1,0,0,0,8,0,4,1,0
2024,2024-07-28,745305,True,HOME,115,Colorado Rockies,DEBIL,5,4,3,2,0,0,2,2,8,0,3,2,0
