DATE,GAME_PK,RS_GAMELOG,PERIOD
2024-03-28,745445,4,2024
2024-03-29,745435,8,2024
2024-03-30,745436,9,2024
2024-03-31,745438,4,2024
2024-04-01,746170,3,2024
2024-04-02,746169,4,2024
2024-04-03,746163,4,2024
2024-04-05,745361,3,2024
2024-04-06,745359,0,2024
2024-04-07,745362,3,2024
2024-04-08,745363,1,2024
2024-04-09,745357,3,2024
2024-04-10,745355,7,2024
2024-04-12,745112,1,2024
2024-04-13,745110,11,2024
2024-04-14,745113,4,2024
2024-04-15,746080,4,2024
2024-04-16,746081,3,2024
2024-04-17,746076,3,2024
2024-04-18,745356,5,2024
2024-04-19,745352,1,2024
2024-04-20,745354,7,2024
2024-04-21,745353,3,2024
2024-04-22,745351,5,2024
2024-04-23,745348,5,2024
2024-04-24,745346,2,2024
2024-04-26,745347,3,2024
2024-04-27,745350,3,2024
2024-04-28,745349,3,2024
2024-04-30,746968,0,2024
2024-05-01,746966,2,2024
2024-05-02,746969,3,2024
2024-05-03,745589,3,2024
2024-05-04,745583,3,2024
2024-05-05,745587,4,2024
2024-05-06,745585,1,2024
2024-05-07,746559,5,2024
2024-05-08,746562,8,2024
2024-05-09,746563,1,2024
2024-05-10,745340,2,2024
2024-05-11,745344,5,2024
2024-05-12,745345,6,2024
2024-05-13,745343,4,2024
2024-05-14,745342,2,2024
2024-05-15,745341,4,2024
2024-05-17,745335,10,2024
2024-05-18,745339,14,2024
2024-05-19,745336,4,2024
2024-05-21,745503,6,2024
2024-05-22,745502,9,2024
2024-05-23,745500,7,2024
2024-05-24,745822,8,2024
2024-05-25,745823,7,2024
2024-05-26,745824,3,2024
2024-05-27,745338,8,2024
2024-05-28,745337,1,2024
2024-05-29,745333,1,2024
2024-05-31,745331,2,2024
2024-06-01,745332,3,2024
2024-06-02,745330,5,2024
2024-06-03,747194,2,2024
2024-06-04,747196,5,2024
2024-06-05,747195,9,2024
2024-06-07,745008,5,2024
2024-06-08,745001,3,2024
2024-06-09,745003,2,2024
2024-06-10,745334,4,2024
2024-06-11,745327,1,2024
2024-06-12,745328,5,2024
2024-06-14,745326,6,2024
2024-06-15,745329,3,2024
2024-06-16,745321,13,2024
2024-06-17,746868,7,2024
2024-06-18,746867,2,2024
2024-06-19,746864,5,2024
2024-06-20,745164,5,2024
2024-06-22,745163,4,2024
2024-06-23,745165,3,2024
2024-06-24,745323,5,2024
2024-06-25,745322,5,2024
2024-06-26,745325,4,2024
2024-06-27,745324,3,2024
2024-06-28,745319,5,2024
2024-06-29,745317,7,2024
2024-06-30,745320,10,2024
2024-07-02,747102,5,2024
2024-07-03,747100,1,2024
2024-07-04,747103,4,2024
2024-07-05,746620,4,2024
2024-07-06,746615,4,2024
2024-07-07,746616,4,2024
2024-07-09,745316,4,2024
2024-07-10,745318,6,2024
2024-07-11,745313,3,2024
2024-07-12,745312,7,2024
2024-07-13,745311,2,2024
2024-07-14,745314,3,2024
2024-07-19,746531,3,2024
2024-07-20,746527,3,2024
2024-07-21,746528,3,2024
2024-07-22,746124,2,2024
2024-07-23,746118,2,2024
2024-07-24,746119,8,2024
2024-07-25,746117,4,2024
2024-07-26,745315,11,2024
2024-07-27,745307,4,2024
2024-07-27,745310,5,2024
2024-07-28,745305,5,2024
2024-07-30,745309,2,2024
2024-07-31,745306,1,2024
2024-08-02,746679,3,2024
2024-08-03,746681,4,2024
2024-08-04,746680,8,2024
2024-08-05,744821,4,2024
2024-08-06,744817,5,2024
2024-08-07,744822,7,2024
2024-08-08,744819,9,2024
2024-08-09,745308,3,2024
2024-08-10,745304,3,2024
2024-08-11,745303,4,2024
2024-08-12,745300,0,2024
2024-08-13,745302,3,2024
2024-08-14,745301,2,2024
2024-08-15,745298,6,2024
2024-08-17,745626,0,2024
2024-08-18,745621,4,2024
2024-08-19,745294,5,2024
2024-08-20,745295,4,2024
2024-08-21,745297,2,2024
2024-08-23,745217,5,2024
2024-08-24,745218,4,2024
2024-08-25,745212,3,2024
2024-08-27,745946,5,2024
2024-08-28,745943,3,2024
2024-08-29,745945,0,2024
2024-08-30,745299,3,2024
2024-08-31,745296,3,2024
2024-09-01,745292,5,2024
2024-09-03,745293,7,2024
2024-09-04,745290,4,2024
2024-09-05,745289,3,2024
2024-09-06,745371,1,2024
2024-09-07,745372,6,2024
2024-09-08,745368,7,2024
2024-09-10,745291,2,2024
2024-09-11,745285,13,2024
2024-09-12,745288,0,2024
2024-09-13,745286,0,2024
2024-09-14,745284,0,2024
2024-09-15,745287,3,2024
2024-09-17,746987,10,2024
2024-09-18,746988,5,2024
2024-09-19,746985,3,2024
2024-09-20,746256,2,2024
2024-09-21,746255,9,2024
2024-09-22,746253,2,2024
2024-09-23,747150,6,2024
2024-09-24,747149,11,2024
2024-09-25,747144,2,2024
2024-09-27,745280,3,2024
2024-09-28,745281,6,2024
2024-09-29,745282,1,2024
2025-03-27,778561,6,2025
2025-03-29,778540,2,2025
2025-03-30,778522,6,2025
2025-03-31,778505,7,2025
2025-04-01,778489,3,2025
2025-04-02,778475,6,2025
2025-04-04,778444,10,2025
2025-04-05,778436,4,2025
2025-04-06,778427,5,2025
2025-04-07,778410,0,2025
2025-04-08,778397,0,2025
2025-04-09,778376,8,2025
2025-04-11,778370,9,2025
2025-04-12,778355,4,2025
2025-04-13,778339,5,2025
2025-04-14,778320,10,2025
2025-04-15,778313,4,2025
2025-04-16,778296,11,2025
2025-04-17,778279,4,2025
2025-04-18,778260,0,2025
2025-04-19,778243,3,2025
2025-04-20,778232,4,2025
2025-04-21,778226,5,2025
2025-04-22,778210,3,2025
2025-04-23,778198,4,2025
2025-04-24,778194,6,2025
2025-04-25,778171,0,2025
2025-04-26,778159,3,2025
2025-04-27,778151,3,2025
2025-04-29,778126,4,2025
2025-04-30,778105,3,2025
2025-05-01,778098,3,2025
2025-05-02,778082,4,2025
2025-05-03,778069,6,2025
2025-05-04,778048,9,2025
2025-05-05,778044,2,2025
2025-05-06,778027,14,2025
2025-05-07,778020,3,2025
2025-05-09,777992,1,2025
2025-05-10,777974,1,2025
2025-05-11,777956,6,2025
2025-05-12,777939,1,2025
2025-05-13,777930,10,2025
2025-05-14,777916,7,2025
2025-05-16,777891,9,2025
2025-05-17,777879,1,2025
2025-05-18,777867,3,2025
2025-05-19,777855,1,2025
2025-05-20,777836,3,2025
2025-05-21,777819,4,2025
2025-05-23,777801,4,2025
2025-05-24,777793,0,2025
2025-05-25,777778,3,2025
2025-05-26,777770,1,2025
2025-05-27,777755,1,2025
2025-05-28,777738,3,2025
2025-05-30,777717,2,2025
2025-05-31,777705,0,2025
2025-06-01,777689,4,2025
2025-06-02,777676,0,2025
2025-06-03,777656,2,2025
2025-06-04,777641,6,2025
2025-06-05,777633,3,2025
2025-06-06,777619,5,2025
2025-06-07,777598,3,2025
2025-06-08,777587,4,2025
2025-06-10,777563,6,2025
2025-06-11,777547,10,2025
2025-06-12,777534,7,2025
2025-06-13,777522,6,2025
2025-06-14,777506,5,2025
2025-06-15,777498,4,2025
2025-06-17,777472,2,2025
2025-06-18,777454,2,2025
2025-06-19,777440,2,2025
2025-06-20,777425,5,2025
2025-06-21,777417,3,2025
2025-06-22,777395,9,2025
2025-06-24,777364,2,2025
2025-06-25,777355,5,2025
2025-06-26,777347,5,2025
2025-06-27,777338,3,2025
2025-06-28,777327,0,2025
2025-06-29,777311,2,2025
2025-06-30,777291,2,2025
2025-07-01,777278,2,2025
2025-07-02,777270,6,2025
2025-07-03,777256,7,2025
2025-07-04,777244,2,2025
2025-07-05,777227,7,2025
2025-07-06,777210,6,2025
2025-07-07,777199,3,2025
2025-07-08,777186,4,2025
2025-07-09,777163,0,2025
2025-07-11,777143,8,2025
2025-07-12,777127,1,2025
2025-07-13,777119,2,2025
2025-07-18,777108,0,2025
2025-07-19,777094,3,2025
2025-07-20,777079,6,2025
2025-07-21,777069,5,2025
2025-07-22,777058,9,2025
2025-07-23,777041,9,2025
2025-07-25,777004,1,2025
2025-07-26,776985,1,2025
2025-07-27,776974,3,2025
2025-07-28,776964,5,2025
2025-07-29,776943,1,2025
2025-07-30,776933,1,2025
2025-08-01,776926,4,2025
2025-08-02,776911,6,2025
2025-08-03,776887,12,2025
2025-08-04,776879,4,2025
2025-08-05,776866,8,2025
2025-08-06,776844,4,2025
2025-08-08,776822,5,2025
2025-08-09,776802,2,2025
2025-08-10,776793,0,2025
2025-08-11,776780,1,2025
2025-08-12,776767,1,2025
2025-08-13,776749,1,2025
2025-08-15,776729,6,2025
2025-08-16,776711,1,2025
2025-08-17,776703,7,2025
2025-08-18,776683,4,2025
2025-08-19,776667,1,2025
2025-08-20,776656,1,2025
2025-08-21,776642,4,2025
2025-08-22,776634,4,2025
2025-08-23,776621,7,2025
2025-08-24,776608,4,2025
2025-08-26,776576,5,2025
2025-08-27,776557,12,2025
2025-08-28,776550,4,2025
2025-08-29,776533,15,2025
2025-08-30,776516,1,2025
2025-08-31,776507,13,2025
2025-09-01,776492,8,2025
2025-09-02,776486,7,2025
2025-09-03,776467,10,2025
2025-09-05,776445,8,2025
2025-09-06,776437,2,2025
2025-09-07,776416,3,2025
2025-09-08,776399,11,2025
2025-09-09,776394,5,2025
2025-09-10,776374,3,2025
2025-09-12,776350,5,2025
2025-09-13,776328,7,2025
2025-09-14,776325,2,2025
2025-09-15,776309,1,2025
2025-09-16,776294,5,2025
2025-09-17,776279,5,2025
2025-09-18,776271,1,2025
2025-09-19,776256,3,2025
2025-09-20,776233,5,2025
2025-09-21,776227,3,2025
2025-09-22,776220,5,2025
2025-09-23,776211,8,2025
2025-09-24,776196,4,2025
2025-09-26,776166,6,2025
2025-09-27,776146,4,2025
2025-09-28,776137,4,2025
2026-03-25,823244,0,2026_CUTOFF
2026-03-27,823243,0,2026_CUTOFF
2026-03-28,823241,1,2026_CUTOFF
2026-03-30,823320,3,2026_CUTOFF
2026-03-31,823322,9,2026_CUTOFF
2026-04-01,823321,1,2026_CUTOFF
2026-04-02,823242,7,2026_CUTOFF
2026-04-03,823240,3,2026_CUTOFF
2026-04-04,823239,0,2026_CUTOFF
2026-04-05,823238,2,2026_CUTOFF
2026-04-06,823237,4,2026_CUTOFF
2026-04-07,823235,6,2026_CUTOFF
2026-04-08,823234,5,2026_CUTOFF
2026-04-10,824858,6,2026_CUTOFF
2026-04-11,824857,2,2026_CUTOFF
