PERIOD,GAME_PK,PITCHER_ID,ROLE,OUTS,H,ER,HR,BB,HBP,SO,BF
2024,745445,657277,STARTER,18,5,2,0,2,0,5,24
2024,745445,592426,BULLPEN,0,2,3,0,1,0,0,3
2024,745445,676254,BULLPEN,3,2,1,0,0,0,1,5
2024,745445,669062,BULLPEN,3,0,0,0,0,0,1,3
2024,745435,690986,STARTER,18,6,2,2,0,0,5,23
2024,745435,694738,BULLPEN,3,1,0,0,0,0,0,4
2024,745435,643511,BULLPEN,3,1,1,1,0,1,0,4
2024,745435,676254,BULLPEN,3,1,0,0,0,0,0,3
2024,745436,663855,STARTER,15,3,0,0,1,1,6,20
2024,745436,573124,BULLPEN,5,2,1,0,0,0,3,7
2024,745436,643511,BULLPEN,1,0,0,0,0,0,0,1
2024,745436,669062,BULLPEN,4,1,3,1,3,0,1,8
2024,745436,666808,BULLPEN,2,1,2,1,1,0,0,4
2024,745438,641726,STARTER,6,9,5,2,0,0,1,16
2024,745438,678906,BULLPEN,9,4,3,0,3,0,4,16
2024,745438,676254,BULLPEN,3,1,0,0,0,0,1,4
2024,745438,694738,BULLPEN,3,0,0,0,1,0,1,4
2024,745438,666149,BULLPEN,3,2,1,0,0,0,0,4
2024,746170,676775,STARTER,15,4,3,0,1,0,6,20
2024,746170,669062,BULLPEN,1,1,2,0,1,0,0,3
2024,746170,643511,BULLPEN,2,1,1,1,0,0,2,3
2024,746170,687014,BULLPEN,6,3,2,0,0,0,2,9
2024,746169,657277,STARTER,11,7,5,1,2,0,5,20
2024,746169,694738,BULLPEN,6,1,0,0,1,0,4,8
2024,746169,573124,BULLPEN,2,1,0,0,1,0,0,4
2024,746169,676254,BULLPEN,5,0,0,0,1,0,2,5
2024,746163,690986,STARTER,15,6,4,1,3,1,4,23
2024,746163,669062,BULLPEN,3,0,0,0,0,0,2,3
2024,746163,573124,BULLPEN,3,1,1,1,0,0,0,4
2024,746163,643511,BULLPEN,3,2,0,0,0,0,0,4
2024,745361,663855,STARTER,21,5,1,0,0,0,5,25
2024,745361,643511,BULLPEN,3,0,0,0,0,0,1,3
2024,745361,666808,BULLPEN,3,1,0,0,1,0,2,5
2024,745359,676775,STARTER,18,3,4,1,3,0,1,22
2024,745359,694738,BULLPEN,3,1,0,0,0,0,0,4
2024,745359,687014,BULLPEN,6,1,0,0,0,0,1,7
2024,745362,657277,STARTER,21,10,2,0,0,0,3,29
2024,745362,676254,BULLPEN,3,0,0,0,0,0,2,3
2024,745362,666808,BULLPEN,3,1,0,0,0,0,3,4
2024,745363,605483,STARTER,9,3,3,0,2,0,5,14
2024,745363,669062,BULLPEN,4,1,1,0,1,0,1,6
2024,745363,694738,BULLPEN,2,3,2,1,1,0,1,6
2024,745363,678906,BULLPEN,10,3,2,0,2,1,2,15
2024,745363,573124,BULLPEN,2,0,0,0,1,0,1,3
2024,745357,690986,STARTER,18,5,3,1,0,0,8,22
2024,745357,676254,BULLPEN,3,1,1,0,0,1,0,5
2024,745357,573124,BULLPEN,2,0,0,0,0,1,0,3
2024,745357,643511,BULLPEN,4,2,1,0,0,0,1,6
2024,745355,663855,STARTER,18,4,1,1,2,0,2,21
2024,745355,676254,BULLPEN,3,0,0,0,0,1,0,4
2024,745355,694738,BULLPEN,3,0,0,0,0,0,0,3
2024,745355,669062,BULLPEN,3,0,0,0,0,0,3,3
2024,745112,676775,STARTER,15,5,2,0,3,1,6,24
2024,745112,694738,BULLPEN,6,0,0,0,0,0,0,6
2024,745112,676254,BULLPEN,3,1,0,0,0,0,3,4
2024,745110,657277,STARTER,21,6,1,0,1,1,4,27
2024,745110,687014,BULLPEN,3,2,1,0,1,0,1,6
2024,745110,669062,BULLPEN,3,0,0,0,0,0,2,3
2024,745113,605483,STARTER,12,6,7,2,2,0,4,20
2024,745113,678906,BULLPEN,11,4,2,2,0,0,1,15
2024,745113,573124,BULLPEN,1,0,0,0,0,0,1,1
2024,746080,690986,STARTER,18,8,3,1,1,0,2,26
2024,746080,643511,BULLPEN,3,0,0,0,0,0,0,4
2024,746080,676254,BULLPEN,2,1,0,0,0,0,1,3
2024,746080,666808,BULLPEN,4,1,0,0,0,0,2,5
2024,746081,663855,STARTER,15,3,2,0,3,0,5,21
2024,746081,676254,BULLPEN,2,2,3,0,2,0,0,6
2024,746081,573124,BULLPEN,1,1,0,0,0,0,0,2
2024,746081,687014,BULLPEN,3,2,1,0,1,0,1,6
2024,746081,669062,BULLPEN,3,0,0,0,0,0,1,3
2024,746076,676775,STARTER,18,4,1,1,1,0,4,21
2024,746076,669062,BULLPEN,3,0,0,0,0,0,1,3
2024,746076,643511,BULLPEN,3,2,0,0,0,0,0,4
2024,746076,666808,BULLPEN,3,0,0,0,0,0,1,3
2024,745356,657277,STARTER,21,2,0,0,1,0,5,23
2024,745356,643511,BULLPEN,3,1,0,0,0,0,0,4
2024,745356,676254,BULLPEN,3,0,0,0,0,0,3,3
2024,745352,605483,STARTER,14,9,5,0,1,0,3,24
2024,745352,694738,BULLPEN,5,4,3,0,1,0,1,10
2024,745352,678906,BULLPEN,3,4,5,0,3,0,0,9
2024,745352,687014,BULLPEN,2,1,1,1,0,0,1,3
2024,745352,666149,BULLPEN,3,4,2,0,0,0,0,7
2024,745354,690986,STARTER,12,6,3,0,1,1,5,20
2024,745354,676254,BULLPEN,3,0,0,0,0,0,2,3
2024,745354,669062,BULLPEN,3,0,0,0,0,0,2,3
2024,745354,573124,BULLPEN,3,0,0,0,0,0,0,3
2024,745354,643511,BULLPEN,3,1,0,0,0,0,1,3
2024,745354,666808,BULLPEN,3,0,0,0,0,0,3,3
2024,745353,663855,STARTER,15,1,1,0,4,2,0,21
2024,745353,669062,BULLPEN,3,3,2,0,0,0,1,5
2024,745353,663546,BULLPEN,6,1,0,0,0,0,0,7
2024,745353,687014,BULLPEN,3,2,1,0,0,0,1,6
2024,745351,676775,STARTER,18,4,1,1,1,0,6,21
2024,745351,676254,BULLPEN,3,0,0,0,0,0,0,3
2024,745351,643511,BULLPEN,3,0,0,0,0,0,1,3
2024,745351,666808,BULLPEN,3,0,1,0,2,0,0,6
2024,745348,657277,STARTER,24,6,0,0,1,0,4,30
2024,745348,643511,BULLPEN,1,3,1,0,0,0,0,4
2024,745348,666808,BULLPEN,2,0,0,0,0,0,1,2
2024,745346,676254,STARTER,3,1,0,0,0,1,2,5
2024,745346,663546,BULLPEN,8,3,3,2,1,0,2,12
2024,745346,694738,BULLPEN,4,3,3,0,2,0,1,9
2024,745346,669062,BULLPEN,3,0,0,0,0,0,1,3
2024,745346,592426,BULLPEN,3,1,0,0,0,0,0,3
2024,745346,573124,BULLPEN,3,1,0,0,0,0,0,4
2024,745346,669952,BULLPEN,3,2,2,1,1,0,0,6
2024,745347,690986,STARTER,18,5,0,0,0,0,7,23
2024,745347,676254,BULLPEN,3,1,0,0,1,1,2,6
2024,745347,643511,BULLPEN,3,0,0,0,0,0,1,4
2024,745347,666808,BULLPEN,3,2,0,0,1,0,1,5
2024,745350,663855,STARTER,18,5,1,0,0,0,9,22
2024,745350,592426,BULLPEN,3,1,0,0,1,0,0,5
2024,745350,643511,BULLPEN,3,2,0,0,0,0,1,5
2024,745350,666808,BULLPEN,3,1,0,0,0,0,1,4
2024,745350,573124,BULLPEN,3,2,2,2,0,0,2,5
2024,745349,676775,STARTER,18,3,1,0,1,1,5,22
2024,745349,669062,BULLPEN,3,0,0,0,1,0,1,4
2024,745349,676254,BULLPEN,3,0,0,0,0,1,1,4
2024,745349,666808,BULLPEN,3,2,1,0,1,0,0,6
2024,746968,657277,STARTER,11,9,4,0,3,0,4,22
2024,746968,663546,BULLPEN,4,1,0,0,0,1,1,6
2024,746968,573124,BULLPEN,3,0,0,0,1,0,2,4
2024,746968,694738,BULLPEN,6,1,0,0,2,1,4,9
2024,746966,669062,STARTER,3,0,0,0,2,0,1,4
2024,746966,641726,BULLPEN,8,5,4,0,2,0,3,15
2024,746966,573124,BULLPEN,3,1,1,0,0,0,0,4
2024,746966,592426,BULLPEN,4,2,0,0,0,0,2,6
2024,746966,669952,BULLPEN,6,2,1,0,0,0,1,8
2024,746969,690986,STARTER,15,3,1,0,5,1,7,22
2024,746969,676254,BULLPEN,3,1,0,0,0,0,1,4
2024,746969,669062,BULLPEN,3,0,0,0,0,0,1,3
2024,746969,643511,BULLPEN,3,0,0,0,0,0,1,3
2024,746969,666808,BULLPEN,3,0,0,0,0,0,1,3
2024,745589,663855,STARTER,12,4,2,0,4,0,3,22
2024,745589,663546,BULLPEN,6,0,0,0,0,0,4,6
2024,745589,592426,BULLPEN,3,1,0,0,0,0,0,4
2024,745589,573124,BULLPEN,3,1,0,0,0,0,3,4
2024,745583,676775,STARTER,2,4,5,0,2,1,0,8
2024,745583,669952,BULLPEN,7,4,4,0,4,0,0,15
2024,745583,678495,BULLPEN,7,2,1,0,2,0,2,13
2024,745583,592426,BULLPEN,2,1,0,0,0,0,1,3
2024,745583,669062,BULLPEN,3,1,1,1,2,0,1,6
2024,745583,666149,BULLPEN,3,0,0,0,0,0,0,3
2024,745587,657277,STARTER,12,7,4,1,2,0,6,22
2024,745587,663546,BULLPEN,6,2,0,0,0,0,6,8
2024,745587,573124,BULLPEN,3,1,0,0,0,0,2,4
2024,745587,676254,BULLPEN,3,0,0,0,0,0,3,3
2024,745585,696131,STARTER,13,8,5,1,3,0,4,24
2024,745585,669062,BULLPEN,4,0,0,0,0,0,2,4
2024,745585,592426,BULLPEN,4,1,0,0,1,0,1,6
2024,745585,643511,BULLPEN,3,1,1,1,0,0,0,4
2024,746559,690986,STARTER,21,4,0,0,2,0,2,27
2024,746559,676254,BULLPEN,3,0,0,0,0,0,3,3
2024,746559,666808,BULLPEN,3,0,0,0,2,0,2,5
2024,746562,663855,STARTER,15,7,3,0,2,0,5,23
2024,746562,663546,BULLPEN,2,2,1,0,0,0,0,4
2024,746562,573124,BULLPEN,1,1,0,0,0,0,0,2
2024,746562,676254,BULLPEN,3,0,0,0,0,0,1,3
2024,746562,643511,BULLPEN,3,1,0,0,0,0,1,4
2024,746562,666808,BULLPEN,3,1,2,1,2,0,0,5
2024,746563,676775,STARTER,11,8,7,1,0,0,1,19
2024,746563,678495,BULLPEN,7,4,1,0,0,0,4,11
2024,746563,592426,BULLPEN,3,0,0,0,0,0,1,3
2024,746563,573124,BULLPEN,3,2,1,0,0,0,3,5
2024,745340,657277,STARTER,21,8,2,0,2,0,6,29
2024,745340,669062,BULLPEN,3,1,1,1,2,0,0,5
2024,745340,643511,BULLPEN,3,0,0,0,0,0,0,3
2024,745344,696131,STARTER,13,4,1,1,2,1,2,18
2024,745344,573124,BULLPEN,2,0,0,0,0,1,2,3
2024,745344,676254,BULLPEN,3,2,0,0,0,0,1,4
2024,745344,669062,BULLPEN,3,0,0,0,1,1,0,4
2024,745344,643511,BULLPEN,3,1,0,0,0,0,1,4
2024,745344,663546,BULLPEN,3,1,0,0,0,0,1,4
2024,745345,690986,STARTER,15,3,3,0,5,1,5,23
2024,745345,663546,BULLPEN,5,2,1,0,0,0,1,7
2024,745345,676254,BULLPEN,3,4,1,1,0,0,1,7
2024,745345,666808,BULLPEN,4,1,0,0,1,0,2,6
2024,745345,592426,BULLPEN,3,0,0,0,1,0,2,4
2024,745343,663855,STARTER,15,7,2,1,0,0,4,21
2024,745343,592426,BULLPEN,3,1,1,0,1,0,2,5
2024,745343,669062,BULLPEN,3,1,1,1,0,0,2,4
2024,745343,643511,BULLPEN,3,1,0,0,0,0,1,4
2024,745343,666808,BULLPEN,3,0,0,0,0,0,2,3
2024,745343,573124,BULLPEN,3,1,1,0,1,0,2,5
2024,745342,676775,STARTER,12,5,5,1,3,0,4,20
2024,745342,678495,BULLPEN,9,3,1,0,0,0,5,12
2024,745342,687014,BULLPEN,6,5,4,0,0,0,3,11
2024,745341,657277,STARTER,18,3,0,0,3,1,5,25
2024,745341,663546,BULLPEN,2,1,0,0,0,0,1,3
2024,745341,669062,BULLPEN,1,0,0,0,0,0,1,1
2024,745341,643511,BULLPEN,3,2,1,0,0,0,1,5
2024,745341,666808,BULLPEN,3,1,0,0,1,0,2,5
2024,745335,696131,STARTER,9,6,4,1,0,1,2,16
2024,745335,663546,BULLPEN,6,3,0,0,0,0,1,9
2024,745335,592426,BULLPEN,2,1,1,0,1,0,1,4
2024,745335,669062,BULLPEN,1,0,0,0,1,0,0,2
2024,745335,676254,BULLPEN,3,0,0,0,0,0,1,3
2024,745335,643511,BULLPEN,3,0,0,0,0,1,1,4
2024,745335,678495,BULLPEN,3,1,0,0,1,0,1,5
2024,745339,690986,STARTER,15,5,3,0,2,0,4,22
2024,745339,676254,BULLPEN,3,2,1,0,0,0,2,5
2024,745339,669062,BULLPEN,3,2,0,0,0,0,3,5
2024,745339,643511,BULLPEN,3,1,0,0,0,0,1,5
2024,745339,573124,BULLPEN,3,0,0,0,1,0,0,3
2024,745336,663855,STARTER,15,3,1,1,1,0,1,19
2024,745336,663546,BULLPEN,3,0,0,0,0,0,0,3
2024,745336,592426,BULLPEN,3,0,0,0,0,0,3,3
2024,745336,573124,BULLPEN,3,0,0,0,2,0,0,5
2024,745336,666808,BULLPEN,3,0,0,0,0,0,1,3
2024,745503,657277,STARTER,18,6,2,0,1,0,6,24
2024,745503,676254,BULLPEN,3,0,0,0,0,0,2,3
2024,745503,643511,BULLPEN,3,1,0,0,0,0,0,4
2024,745503,592426,BULLPEN,1,1,2,0,1,0,0,3
2024,745503,666808,BULLPEN,2,2,0,0,1,0,1,6
2024,745503,669062,BULLPEN,0,1,0,0,0,0,0,1
2024,745502,605483,STARTER,10,4,4,0,4,1,5,19
2024,745502,663546,BULLPEN,5,2,1,1,1,0,3,8
2024,745502,678495,BULLPEN,6,0,0,0,0,0,4,6
2024,745502,643511,BULLPEN,3,0,0,0,0,0,1,3
2024,745502,676254,BULLPEN,3,0,0,0,0,0,1,3
2024,745502,666808,BULLPEN,3,0,0,0,1,0,1,4
2024,745500,669062,STARTER,5,2,1,1,0,0,3,7
2024,745500,696131,BULLPEN,8,3,4,1,2,1,2,14
2024,745500,573124,BULLPEN,5,1,0,0,0,0,2,6
2024,745500,592426,BULLPEN,3,2,1,1,0,0,2,5
2024,745500,678495,BULLPEN,3,0,0,0,0,0,0,3
2024,745500,643511,BULLPEN,3,1,0,0,0,0,0,4
2024,745822,690986,STARTER,15,6,4,2,2,1,6,24
2024,745822,687014,BULLPEN,6,1,1,1,1,0,4,7
2024,745822,676254,BULLPEN,3,0,0,0,0,0,1,3
