PERIOD,GAME_PK,RESP_PITCHER,CLASS,INNING
2024,745445,506433,STARTER,3
2024,745445,666745,BULLPEN,7
2024,745445,666745,BULLPEN,7
2024,745445,663158,BULLPEN,9
2024,745435,605397,STARTER,1
2024,745435,605397,STARTER,1
2024,745435,605397,STARTER,1
2024,745435,605397,STARTER,4
2024,745435,663568,BULLPEN,7
2024,745435,663568,BULLPEN,7
2024,745435,658648,BULLPEN,9
2024,745435,658648,BULLPEN,9
2024,745436,656302,STARTER,2
2024,745436,656302,STARTER,2
2024,745436,656302,STARTER,5
2024,745436,676680,BULLPEN,8
2024,745436,676680,BULLPEN,8
2024,745436,676680,BULLPEN,8
2024,745436,676680,BULLPEN,8
2024,745436,676680,BULLPEN,8
2024,745436,676680,BULLPEN,8
2024,745438,650633,STARTER,4
2024,745438,650633,STARTER,4
2024,745438,658648,BULLPEN,7
2024,745438,658648,BULLPEN,7
2024,746170,518489,BULLPEN,6
2024,746170,523260,BULLPEN,7
2024,746170,659275,BULLPEN,9
2024,746169,642232,BULLPEN,2
2024,746169,642232,BULLPEN,3
2024,746169,642232,BULLPEN,6
2024,746169,642232,BULLPEN,6
2024,746163,607192,STARTER,3
2024,746163,607192,STARTER,6
2024,746163,607192,STARTER,6
2024,746163,543339,BULLPEN,8
2024,745361,656302,STARTER,1
2024,745361,656302,STARTER,6
2024,745361,660853,BULLPEN,9
2024,745362,663362,STARTER,6
2024,745362,666745,BULLPEN,8
2024,745362,666745,BULLPEN,8
2024,745363,592866,STARTER,1
2024,745357,672851,STARTER,2
2024,745357,607179,BULLPEN,6
2024,745357,607179,BULLPEN,6
2024,745355,571578,STARTER,2
2024,745355,571578,STARTER,2
2024,745355,571578,STARTER,2
2024,745355,571578,STARTER,5
2024,745355,571578,STARTER,5
2024,745355,571578,STARTER,6
2024,745355,571578,STARTER,6
2024,745112,621097,STARTER,3
2024,745110,686752,STARTER,1
2024,745110,686752,STARTER,4
2024,745110,686752,STARTER,5
2024,745110,686752,STARTER,5
2024,745110,606965,BULLPEN,6
2024,745110,606965,BULLPEN,6
2024,745110,606965,BULLPEN,6
2024,745110,606965,BULLPEN,7
2024,745110,606965,BULLPEN,7
2024,745110,606965,BULLPEN,7
2024,745110,666163,BULLPEN,9
2024,745113,542888,STARTER,1
2024,745113,641302,BULLPEN,6
2024,745113,641302,BULLPEN,7
2024,745113,687330,BULLPEN,9
2024,746080,665795,STARTER,4
2024,746080,666277,BULLPEN,7
2024,746080,666277,BULLPEN,7
2024,746080,666277,BULLPEN,7
2024,746081,677960,STARTER,2
2024,746081,677960,STARTER,3
2024,746081,572143,BULLPEN,7
2024,746076,669432,STARTER,2
2024,746076,686539,BULLPEN,7
2024,746076,669622,BULLPEN,8
2024,745356,663531,BULLPEN,3
2024,745356,686826,BULLPEN,8
2024,745356,686826,BULLPEN,8
2024,745356,669459,BULLPEN,8
2024,745356,686826,BULLPEN,8
2024,745352,656756,STARTER,4
2024,745354,668678,STARTER,1
2024,745354,668678,STARTER,1
2024,745354,668678,STARTER,3
2024,745354,668678,STARTER,5
2024,745354,668678,STARTER,5
2024,745354,612434,BULLPEN,8
2024,745354,612434,BULLPEN,8
2024,745353,677944,STARTER,5
2024,745353,677944,STARTER,5
2024,745353,656464,BULLPEN,9
2024,745351,500779,STARTER,2
2024,745351,500779,STARTER,2
2024,745351,500779,STARTER,3
2024,745351,500779,STARTER,3
2024,745351,500779,STARTER,6
2024,745348,622663,STARTER,5
2024,745348,622663,STARTER,5
2024,745348,622663,STARTER,5
2024,745348,622098,BULLPEN,7
2024,745348,622098,BULLPEN,7
2024,745346,657585,BULLPEN,7
2024,745346,621242,BULLPEN,9
2024,745347,670280,BULLPEN,9
2024,745347,670280,BULLPEN,9
2024,745347,670280,BULLPEN,9
2024,745350,527048,STARTER,6
2024,745350,670280,BULLPEN,10
2024,745350,670280,BULLPEN,10
2024,745349,683003,STARTER,3
2024,745349,683003,STARTER,3
2024,745349,683003,STARTER,3
2024,746966,676710,STARTER,3
2024,746966,676710,STARTER,4
2024,746969,670174,STARTER,3
2024,746969,677161,BULLPEN,7
2024,746969,677161,BULLPEN,7
2024,745589,605400,STARTER,2
2024,745589,605400,STARTER,2
2024,745589,689147,BULLPEN,7
2024,745583,624133,STARTER,3
2024,745583,624133,STARTER,5
2024,745583,624133,STARTER,5
2024,745587,592836,STARTER,1
2024,745587,592836,STARTER,7
2024,745587,592836,STARTER,7
2024,745587,621237,BULLPEN,9
2024,745585,554430,STARTER,6
2024,746559,641712,STARTER,4
2024,746559,641712,STARTER,4
2024,746559,641712,STARTER,4
