PERIOD,DATE,GAME_PK,IS_HOME,OPP_ID,OPP,OPP_STRENGTH,RS,R_1_3,R_4_6,R_7_PLUS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,GAME_HAS_3PLUS,STARTER_ID,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED_RUNS,MISSING_RESPONSIBLE_PITCHER
2024,2024-03-28,746165,False,119,Los Angeles Dodgers,MEDIO,1,0,1,0,9,0,0,607192,1,0,0,0
2024,2024-03-29,746167,False,119,Los Angeles Dodgers,MEDIO,3,0,0,3,9,1,1,676272,0,3,0,0
2024,2024-03-30,746168,False,119,Los Angeles Dodgers,MEDIO,6,0,0,6,10,1,1,808967,0,6,0,0
2024,2024-03-31,746166,False,119,Los Angeles Dodgers,MEDIO,4,1,3,0,9,0,0,694813,3,1,0,0
2024,2024-04-01,745437,False,135,San Diego Padres,FUERTE,6,4,2,0,9,1,1,663362,4,2,0,0
2024,2024-04-02,745439,False,135,San Diego Padres,FUERTE,5,1,2,2,9,0,0,506433,3,2,0,0
2024,2024-04-03,745440,False,135,San Diego Padres,FUERTE,2,0,1,1,9,0,0,605397,1,1,0,0
2024,2024-04-04,745200,True,146,Miami Marlins,DEBIL,8,1,2,5,8,1,1,677960,3,5,0,0
2024,2024-04-06,745197,True,146,Miami Marlins,DEBIL,3,0,3,0,8,0,0,669432,3,0,0,0
2024,2024-04-07,745198,True,146,Miami Marlins,DEBIL,3,0,1,2,9,0,0,676974,1,2,0,0
2024,2024-04-08,745194,True,143,Philadelphia Phillies,FUERTE,3,0,0,3,10,0,0,605513,0,3,0,0
2024,2024-04-09,745195,True,143,Philadelphia Phillies,FUERTE,3,0,3,0,8,0,0,554430,3,0,0,0
2024,2024-04-10,745196,True,143,Philadelphia Phillies,FUERTE,3,2,0,1,9,0,0,605400,2,1,0,0
2024,2024-04-12,747217,False,109,Arizona Diamondbacks,DEBIL,9,6,0,3,9,1,1,694297,6,3,0,0
2024,2024-04-13,747215,False,109,Arizona Diamondbacks,DEBIL,2,0,1,1,9,0,0,669194,1,1,0,0
2024,2024-04-14,747216,False,109,Arizona Diamondbacks,DEBIL,0,0,0,0,9,0,0,668678,0,0,0,0
2024,2024-04-15,745677,False,133,Athletics,DEBIL,3,1,2,0,9,0,0,548389,3,0,0,0
2024,2024-04-16,745674,False,133,Athletics,DEBIL,3,1,2,0,9,0,0,676664,1,2,0,0
2024,2024-04-17,745671,False,133,Athletics,DEBIL,3,0,3,0,9,1,1,621112,3,0,0,0
2024,2024-04-19,745189,True,158,Milwaukee Brewers,FUERTE,1,0,0,1,10,0,0,642547,0,1,0,0
2024,2024-04-20,745190,True,158,Milwaukee Brewers,FUERTE,5,4,0,1,9,1,1,669084,4,1,0,0
2024,2024-04-21,745192,True,158,Milwaukee Brewers,FUERTE,0,0,0,0,9,0,0,607067,0,0,0,0
2024,2024-04-22,745191,True,109,Arizona Diamondbacks,DEBIL,5,0,2,3,9,0,0,694297,2,3,0,0
2024,2024-04-23,745193,True,109,Arizona Diamondbacks,DEBIL,1,1,0,0,9,0,0,674072,1,0,0,0
2024,2024-04-24,745188,True,109,Arizona Diamondbacks,DEBIL,5,0,2,3,8,0,0,656756,3,2,0,0
2024,2024-04-26,745835,False,121,New York Mets,MEDIO,4,4,0,0,9,1,1,676130,4,0,0,0
2024,2024-04-27,745833,False,121,New York Mets,MEDIO,7,5,1,1,9,1,1,605288,6,1,0,0
2024,2024-04-28,745834,False,121,New York Mets,MEDIO,2,0,1,1,11,0,0,500779,1,1,0,0
2024,2024-04-30,746477,False,116,Detroit Tigers,FUERTE,2,0,0,2,9,0,0,656427,0,2,0,0
2024,2024-04-30,746481,False,116,Detroit Tigers,FUERTE,6,0,5,1,9,1,1,666159,4,2,0,0
2024,2024-05-01,746478,False,116,Detroit Tigers,FUERTE,1,0,1,0,9,0,0,628317,1,0,0,0
2024,2024-05-03,745187,True,145,Chicago White Sox,DEBIL,3,2,1,0,8,0,0,641745,3,0,0,0
2024,2024-05-04,745183,True,145,Chicago White Sox,DEBIL,5,0,5,0,10,1,1,607200,5,0,0,0
2024,2024-05-05,745185,True,145,Chicago White Sox,DEBIL,1,0,1,0,9,0,0,676979,1,0,0,0
2024,2024-05-06,745182,True,121,New York Mets,MEDIO,3,0,3,0,9,1,1,640455,3,0,0,0
2024,2024-05-07,745186,True,121,New York Mets,MEDIO,5,3,1,1,9,1,1,676130,3,2,0,0
2024,2024-05-09,745995,False,158,Milwaukee Brewers,FUERTE,1,1,0,0,9,0,0,668964,1,0,0,0
2024,2024-05-10,745993,False,158,Milwaukee Brewers,FUERTE,2,0,0,2,9,0,0,688107,0,2,0,0
2024,2024-05-11,745994,False,158,Milwaukee Brewers,FUERTE,3,0,3,0,9,0,0,642547,3,0,0,0
2024,2024-05-12,745990,False,158,Milwaukee Brewers,FUERTE,4,1,2,1,9,0,0,669060,2,2,0,0
2024,2024-05-13,746233,False,108,Los Angeles Angels,DEBIL,10,0,0,10,9,1,1,667755,0,10,0,0
2024,2024-05-14,746235,False,108,Los Angeles Angels,DEBIL,7,5,0,2,9,1,1,672282,5,2,0,0
2024,2024-05-15,746231,False,108,Los Angeles Angels,DEBIL,2,0,1,1,9,0,0,656288,1,1,0,0
2024,2024-05-17,745178,True,111,Boston Red Sox,DEBIL,10,3,4,3,8,0,0,678394,5,5,0,0
2024,2024-05-18,745177,True,111,Boston Red Sox,DEBIL,7,1,0,6,8,1,1,676710,1,6,0,0
2024,2024-05-19,745179,True,111,Boston Red Sox,DEBIL,3,0,1,2,9,0,0,601713,1,2,0,0
2024,2024-05-20,745181,True,110,Baltimore Orioles,MEDIO,6,1,4,1,8,1,1,665152,5,1,0,0
2024,2024-05-21,745180,True,110,Baltimore Orioles,MEDIO,3,1,2,0,8,0,0,680694,1,2,0,0
2024,2024-05-22,745173,True,110,Baltimore Orioles,MEDIO,5,0,4,1,8,1,1,607644,0,5,0,0
2024,2024-05-25,745176,True,112,Chicago Cubs,MEDIO,7,2,1,4,8,1,1,592791,3,4,0,0
2024,2024-05-26,745172,True,112,Chicago Cubs,MEDIO,4,2,2,0,8,0,0,665871,4,0,0,0
2024,2024-05-27,746708,False,113,Cincinnati Reds,MEDIO,1,1,0,0,9,0,0,666157,1,0,0,0
2024,2024-05-28,746709,False,113,Cincinnati Reds,MEDIO,7,1,2,4,9,1,1,671096,6,1,0,0
2024,2024-05-29,746706,False,113,Cincinnati Reds,MEDIO,5,1,2,2,9,0,0,593423,3,2,0,0
