PERIOD,DATE,GAME_PK,RUNNER_ID,RESPONSIBLE_PITCHER_ID,RESPONSIBILITY_SOURCE,STARTER_ID,CLASS,INNING
2024,2024-03-28,745116,543807,621107,responsiblePitcher,621107,STARTER,4
2024,2024-03-28,745116,624415,621107,responsiblePitcher,621107,STARTER,6
2024,2024-03-28,745116,665489,621107,responsiblePitcher,621107,STARTER,6
2024,2024-03-28,745116,457759,621107,responsiblePitcher,621107,STARTER,6
2024,2024-03-28,745116,666182,621107,responsiblePitcher,621107,STARTER,6
2024,2024-03-28,745116,662139,621107,responsiblePitcher,621107,STARTER,6
2024,2024-03-28,745116,543807,542888,responsiblePitcher,621107,BULLPEN,7
2024,2024-03-28,745116,624415,542888,responsiblePitcher,621107,BULLPEN,7
2024,2024-03-29,745117,543807,650644,responsiblePitcher,650644,STARTER,3
2024,2024-03-29,745117,457759,592094,responsiblePitcher,650644,BULLPEN,9
2024,2024-03-30,745119,662139,621363,responsiblePitcher,641793,BULLPEN,7
2024,2024-03-31,745115,543807,542888,responsiblePitcher,542888,STARTER,1
2024,2024-03-31,745115,665489,542888,responsiblePitcher,542888,STARTER,1
2024,2024-03-31,745115,643396,641302,responsiblePitcher,542888,BULLPEN,2
2024,2024-03-31,745115,543807,641302,responsiblePitcher,542888,BULLPEN,2
2024,2024-03-31,745115,457759,641302,responsiblePitcher,542888,BULLPEN,5
2024,2024-03-31,745115,676914,641302,responsiblePitcher,542888,BULLPEN,5
2024,2024-03-31,745115,676391,641302,responsiblePitcher,542888,BULLPEN,5
2024,2024-03-31,745115,457759,621097,responsiblePitcher,542888,BULLPEN,7
2024,2024-03-31,745115,676391,621097,responsiblePitcher,542888,BULLPEN,7
2024,2024-04-02,746411,676914,623352,responsiblePitcher,664285,BULLPEN,9
2024,2024-04-02,746411,662139,623352,responsiblePitcher,664285,BULLPEN,9
2024,2024-04-05,745764,676391,657571,responsiblePitcher,573186,BULLPEN,7
2024,2024-04-05,745764,661531,642701,responsiblePitcher,573186,BULLPEN,9
2024,2024-04-05,745764,662139,642701,responsiblePitcher,573186,BULLPEN,9
2024,2024-04-06,745766,595281,657376,responsiblePitcher,657376,STARTER,3
2024,2024-04-06,745766,676391,657376,responsiblePitcher,657376,STARTER,4
2024,2024-04-06,745766,665489,596133,responsiblePitcher,657376,BULLPEN,7
2024,2024-04-06,745766,666182,596133,responsiblePitcher,657376,BULLPEN,7
2024,2024-04-06,745766,457759,596133,responsiblePitcher,657376,BULLPEN,7
2024,2024-04-06,745766,457759,641656,responsiblePitcher,657376,BULLPEN,9
2024,2024-04-06,745766,676391,641656,responsiblePitcher,657376,BULLPEN,9
2024,2024-04-06,745766,676914,641656,responsiblePitcher,657376,BULLPEN,9
2024,2024-04-07,745765,543807,661563,responsiblePitcher,661563,STARTER,3
2024,2024-04-07,745765,665489,661563,responsiblePitcher,661563,STARTER,5
2024,2024-04-07,745765,643396,664776,responsiblePitcher,661563,BULLPEN,6
2024,2024-04-08,744956,457759,622491,responsiblePitcher,622491,STARTER,2
2024,2024-04-08,744956,666182,622491,responsiblePitcher,622491,STARTER,3
2024,2024-04-08,744956,665489,622491,responsiblePitcher,622491,STARTER,3
2024,2024-04-08,744956,595281,622491,responsiblePitcher,622491,STARTER,4
2024,2024-04-08,744956,662139,676969,responsiblePitcher,622491,BULLPEN,8
2024,2024-04-09,744957,662139,669923,responsiblePitcher,669923,STARTER,3
2024,2024-04-09,744957,666182,669923,responsiblePitcher,669923,STARTER,3
2024,2024-04-09,744957,665489,669923,responsiblePitcher,669923,STARTER,3
2024,2024-04-09,744957,624415,669923,responsiblePitcher,669923,STARTER,4
2024,2024-04-09,744957,643396,669923,responsiblePitcher,669923,STARTER,4
2024,2024-04-10,744950,665489,669302,responsiblePitcher,669302,STARTER,7
2024,2024-04-12,744954,666182,663372,responsiblePitcher,663372,STARTER,1
2024,2024-04-12,744954,662139,663372,responsiblePitcher,663372,STARTER,2
2024,2024-04-12,744954,643396,641755,responsiblePitcher,663372,BULLPEN,9
2024,2024-04-12,744954,676914,641755,responsiblePitcher,663372,BULLPEN,9
2024,2024-04-13,744953,543807,641712,responsiblePitcher,641712,STARTER,1
2024,2024-04-13,744953,662139,641712,responsiblePitcher,641712,STARTER,1
2024,2024-04-13,744953,666182,641712,responsiblePitcher,641712,STARTER,1
2024,2024-04-13,744953,596129,641712,responsiblePitcher,641712,STARTER,1
2024,2024-04-13,744953,676914,641712,responsiblePitcher,641712,STARTER,1
2024,2024-04-14,744952,543807,607536,responsiblePitcher,607536,STARTER,1
2024,2024-04-14,744952,595281,607536,responsiblePitcher,607536,STARTER,3
2024,2024-04-14,744952,665489,607536,responsiblePitcher,607536,STARTER,3
2024,2024-04-14,744952,543807,607536,responsiblePitcher,607536,STARTER,5
2024,2024-04-14,744952,676391,683627,responsiblePitcher,607536,BULLPEN,8
2024,2024-04-15,744951,624415,661563,responsiblePitcher,661563,STARTER,2
2024,2024-04-15,744951,672386,661563,responsiblePitcher,661563,STARTER,2
2024,2024-04-15,744951,666182,661563,responsiblePitcher,661563,STARTER,3
2024,2024-04-16,744944,662139,607074,responsiblePitcher,607074,STARTER,3
2024,2024-04-16,744944,662139,607074,responsiblePitcher,607074,STARTER,4
2024,2024-04-16,744944,676391,607074,responsiblePitcher,607074,STARTER,4
2024,2024-04-16,744944,676391,596133,responsiblePitcher,607074,BULLPEN,6
2024,2024-04-16,744944,643396,596133,responsiblePitcher,607074,BULLPEN,6
2024,2024-04-17,744948,662139,573186,responsiblePitcher,573186,STARTER,2
2024,2024-04-17,744948,676914,573186,responsiblePitcher,573186,STARTER,2
2024,2024-04-17,744948,662139,657571,responsiblePitcher,573186,BULLPEN,7
2024,2024-04-17,744948,595281,657571,responsiblePitcher,573186,BULLPEN,7
2024,2024-04-19,745430,457759,663362,responsiblePitcher,663362,STARTER,1
2024,2024-04-19,745430,624415,663362,responsiblePitcher,663362,STARTER,2
2024,2024-04-19,745430,643376,663362,responsiblePitcher,663362,STARTER,2
2024,2024-04-19,745430,595281,663362,responsiblePitcher,663362,STARTER,2
2024,2024-04-19,745430,666182,663362,responsiblePitcher,663362,STARTER,2
2024,2024-04-20,745431,662139,681190,responsiblePitcher,681190,STARTER,1
2024,2024-04-20,745431,665489,681190,responsiblePitcher,681190,STARTER,1
2024,2024-04-20,745431,666182,681190,responsiblePitcher,681190,STARTER,1
2024,2024-04-20,745431,643396,681190,responsiblePitcher,681190,STARTER,2
2024,2024-04-20,745431,662139,673513,responsiblePitcher,681190,BULLPEN,9
2024,2024-04-21,745434,676914,605397,responsiblePitcher,605397,STARTER,2
2024,2024-04-21,745434,676391,605397,responsiblePitcher,605397,STARTER,3
2024,2024-04-21,745434,457759,605397,responsiblePitcher,605397,STARTER,7
2024,2024-04-22,746319,643396,663903,responsiblePitcher,663903,STARTER,3
2024,2024-04-22,746319,624415,663903,responsiblePitcher,663903,STARTER,3
2024,2024-04-22,746319,665489,663903,responsiblePitcher,663903,STARTER,3
2024,2024-04-22,746319,662139,663903,responsiblePitcher,663903,STARTER,6
2024,2024-04-22,746319,457759,663903,responsiblePitcher,663903,STARTER,6
2024,2024-04-23,746321,543807,608379,responsiblePitcher,608379,STARTER,3
2024,2024-04-23,746321,457759,608379,responsiblePitcher,608379,STARTER,5
2024,2024-04-24,746317,543807,672582,responsiblePitcher,679525,BULLPEN,5
2024,2024-04-24,746317,662139,672582,responsiblePitcher,679525,BULLPEN,6
2024,2024-04-25,746320,457759,666142,responsiblePitcher,666142,STARTER,4
2024,2024-04-26,744949,643376,694813,responsiblePitcher,694813,STARTER,4
2024,2024-04-26,744949,624415,598286,responsiblePitcher,694813,BULLPEN,8
2024,2024-04-27,744946,643376,607192,responsiblePitcher,607192,STARTER,7
2024,2024-04-27,744946,676914,623465,responsiblePitcher,607192,BULLPEN,9
2024,2024-04-28,744947,457759,675627,responsiblePitcher,675627,STARTER,2
2024,2024-04-28,744947,676914,675627,responsiblePitcher,675627,STARTER,2
2024,2024-04-28,744947,672386,675627,responsiblePitcher,675627,STARTER,2
