PERIOD,DATE,GAME_PK,IS_HOME,OPP_ID,RS,OFF_HALF_INNINGS,HALF_INNINGS_3PLUS,GAME_HAS_3PLUS,STARTER_ID,STARTER_RUNS,BULLPEN_RUNS,UNRESOLVED_RUNS,MISSING_RESPONSIBLE_PITCHER
2024,2024-03-28,745116,False,139,8,9,1,1,621107,6,2,0,0
2024,2024-03-29,745117,False,139,2,9,0,0,650644,1,1,0,0
2024,2024-03-30,745119,False,139,1,9,0,0,641793,0,1,0,0
2024,2024-03-31,745115,False,139,9,9,1,1,542888,2,7,0,0
2024,2024-04-01,746409,False,117,0,9,0,0,669854,0,0,0,0
2024,2024-04-02,746411,False,117,2,9,0,0,664285,0,2,0,0
2024,2024-04-03,746407,False,117,0,9,0,0,664299,0,0,0,0
2024,2024-04-05,745764,False,147,3,9,0,0,573186,0,3,0,0
2024,2024-04-06,745766,False,147,8,9,2,1,657376,2,6,0,0
2024,2024-04-07,745765,False,147,3,9,0,0,661563,2,1,0,0
2024,2024-04-08,744956,True,136,5,8,0,0,622491,4,1,0,0
2024,2024-04-09,744957,True,136,5,8,1,1,669923,5,0,0,0
2024,2024-04-10,744950,True,136,1,10,0,0,669302,1,0,0,0
2024,2024-04-12,744954,True,115,4,9,0,0,663372,2,2,0,0
2024,2024-04-13,744953,True,115,5,8,1,1,641712,5,0,0,0
2024,2024-04-14,744952,True,115,5,8,0,0,607536,4,1,0,0
2024,2024-04-15,744951,True,147,3,8,0,0,661563,3,0,0,0
2024,2024-04-16,744944,True,147,5,8,0,0,607074,3,2,0,0
2024,2024-04-17,744948,True,147,4,9,0,0,573186,2,2,0,0
2024,2024-04-19,745430,False,135,5,9,1,1,663362,5,0,0,0
2024,2024-04-20,745431,False,135,5,9,1,1,681190,4,1,0,0
2024,2024-04-21,745434,False,135,3,9,0,0,605397,3,0,0,0
2024,2024-04-22,746319,False,118,5,9,1,1,663903,5,0,0,0
2024,2024-04-23,746321,False,118,2,9,0,0,608379,2,0,0,0
2024,2024-04-24,746317,False,118,2,9,0,0,679525,0,2,0,0
2024,2024-04-25,746320,False,118,1,5,0,0,666142,1,0,0,0
2024,2024-04-26,744949,True,119,2,9,0,0,694813,1,1,0,0
2024,2024-04-27,744946,True,119,2,9,0,0,607192,1,1,0,0
2024,2024-04-28,744947,True,119,3,8,1,1,675627,3,0,0,0
2024,2024-04-29,744945,True,118,6,8,0,0,680742,4,2,0,0
2024,2024-04-30,744942,True,118,1,9,0,0,666142,1,0,0,0
2024,2024-05-01,744939,True,118,1,9,0,0,607625,1,0,0,0
